Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
1965 ,AC,Shelby Cobra,Used,2468,0,Blue,Black,Manual,Unknown,Fusion Luxury Motors,7,5.0,1374.0,79950,cars.com/vehicledetail/detail/791059467/overview/
1965 ,AC,Shelby Cobra,Used,1415,0,Blue,Black,Manual,Unknown,Motorcar Classics,5,5.0,1459.0,52900,cars.com/vehicledetail/detail/781799264/overview/
1967 ,AC,Shelby Cobra * REPLICA *,Used,4100,0,Red,Black,Manual,RWD,Martin Auto Gallery,29,5.0,1145.0,39988,cars.com/vehicledetail/detail/784829087/overview/
1967 ,AC,Shelby Cobra * REPLICA *,Used,3611,0,Yellow,Black,Manual,RWD,Auto Gallery Chicago,79,2.6,944.0,44990,cars.com/vehicledetail/detail/782990557/overview/
1965 ,AC,Shelby Cobra,Used,2092,0,Black,Gray,Manual,RWD,"CNC Motors, Inc.",7,5.0,1320.0,59427,cars.com/vehicledetail/detail/786874141/overview/
1965 ,AC,Shelby Cobra Mk III,Used,14250,0,Black,Black,Manual,RWD,Brian (Private Seller),0,0.0,1385.0,49999,cars.com/vehicledetail/detail/786970891/overview/
1965 ,AC,Shelby Cobra,Used,2165,0,Other,Black,Manual,Unknown,Exit 5 auto group LLC,105,5.0,1505.0,51500,cars.com/vehicledetail/detail/770445978/overview/
1965 ,AC,Shelby Cobra,Used,5529,0,Black,Black,Manual,Unknown,GR Auto Gallery,108,4.1,1066.0,68900,cars.com/vehicledetail/detail/786424045/overview/
1965 ,AC,Shelby Cobra Daytona,Used,8000,0,White,Black,Manual,RWD,Carey (Private Seller),0,0.0,1191.0,28850,cars.com/vehicledetail/detail/790544273/overview/
1963 ,AC,Shelby Cobra Mk II,Used,63880,0,Black,Red,Manual,RWD,Rosner Motorsports,2,5.0,931.0,950000,cars.com/vehicledetail/detail/783446518/overview/
1965 ,AC,Shelby Cobra Mk III,Used,1363,0,Black,Black,Manual,RWD,Friesen Motorsports,11,5.0,1869.0,46999,cars.com/vehicledetail/detail/791305995/overview/
1965 ,AC,Shelby Cobra * REPLICA *,Used,4112,0,Silver,Black,Manual,Unknown,Exotic Motorsports of Oklahoma,0,0.0,423.0,65000,cars.com/vehicledetail/detail/779187995/overview/
1965 ,AC,Shelby Cobra,Used,428,0,Blue,Black,Other,Unknown,GR Auto Gallery,108,4.1,1066.0,67900,cars.com/vehicledetail/detail/795852129/overview/
1966 ,AC,Shelby Cobra,Used,1162,0,Gray,Black,Manual,Unknown,Motorcar Classics,5,5.0,1459.0,84900,cars.com/vehicledetail/detail/795958547/overview/
1965 ,AC,Shelby Cobra,Used,4800,0,Black,Black,Manual,RWD,Craig and Landreth Cars,41,3.7,808.0,48500,cars.com/vehicledetail/detail/792147133/overview/
1965 ,AC,Shelby Cobra,Used,2308,0,Silver,Black,Manual,RWD,Porsche Colorado Springs,0,0.0,817.0,45000,cars.com/vehicledetail/detail/786471131/overview/
1966 ,AC,Shelby Cobra MOTOR CARRIAGES,Used,6567,0,Blue,Black,Manual,Unknown,AutoQuest USA Inc,0,0.0,861.0,33950,cars.com/vehicledetail/detail/797527152/overview/
1965 ,AC,Shelby Cobra Mk II,Used,8000,0,Red,Red,Manual,RWD,Rich (Private Seller),0,0.0,871.0,44000,cars.com/vehicledetail/detail/797782668/overview/
1965 ,AC,Shelby Cobra CSX4862,Used,2208,0,Blue,Black,Manual,RWD,Rosner Motorsports,2,5.0,931.0,139900,cars.com/vehicledetail/detail/792876569/overview/
1965 ,AC,Shelby Cobra * REPLICA *,Used,400,0,Orange,Beige,Other,Unknown,Towbin Motor Cars,54,4.9,1213.0,59995,cars.com/vehicledetail/detail/797320814/overview/
1965 ,AC,Shelby Cobra BKDRAFT RING,Used,84552,0,Silver,Black,Manual,RWD,Klasse Auto,7,5.0,1333.0,0,cars.com/vehicledetail/detail/797710484/overview/
1966 ,AC,Shelby Cobra Mk III,Used,71883,0,Gray,Black,Manual,RWD,Roadsport,0,0.0,1593.0,46800,cars.com/vehicledetail/detail/796791092/overview/
1965 ,AC,Shelby Cobra * REPLICA *,Used,17767,0,Red,Black,Manual,RWD,Specialty Sales Classics,0,0.0,1617.0,39900,cars.com/vehicledetail/detail/789866907/overview/
