Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
2017 ,Acura,RDX Advance Package,Used,36850,0,Black,Black,Automatic,FWD,Sterling McCall Nissan,151,4.2,5.0,22978,cars.com/vehicledetail/detail/795556581/overview/
2019 ,Acura,ILX w/Technology Pkg,New,0,30545,White,Black,Automatic,FWD,John Eagle Acura,624,4.6,6.0,30545,cars.com/vehicledetail/detail/786719071/overview/
2019 ,Acura,ILX Technology Package,Acura Certified,5458,0,White,Black,Automatic,FWD,John Eagle Acura,624,4.6,6.0,24994,cars.com/vehicledetail/detail/793619435/overview/
2019 ,Acura,RDX A-Spec,Used,21326,0,White,Red,Automatic,FWD,Momentum Jaguar Volvo Cars Land Rover,197,4.2,6.0,34984,cars.com/vehicledetail/detail/792949100/overview/
2020 ,Acura,RDX Advance Package,New,0,48695,White,Other,Automatic,AWD,Sterling McCall Acura,102,4.7,6.0,48695,cars.com/vehicledetail/detail/794997194/overview/
2018 ,Acura,MDX 3.5L,Used,11768,0,Black,Beige,Automatic,FWD,Sterling McCall Acura,102,4.7,6.0,33991,cars.com/vehicledetail/detail/790563093/overview/
2013 ,Acura,TSX 2.4,Used,48940,0,Blue,Beige,Automatic,FWD,John Eagle Acura,624,4.6,6.0,14991,cars.com/vehicledetail/detail/794777170/overview/
2020 ,Acura,RLX FWD w/Technology Package,New,0,55895,Gray,Other,Automatic,FWD,Sterling McCall Acura,102,4.7,6.0,55895,cars.com/vehicledetail/detail/791961892/overview/
2019 ,Acura,ILX,New,0,26895,White,Black,Automatic,FWD,John Eagle Acura,624,4.6,6.0,26895,cars.com/vehicledetail/detail/790337348/overview/
2016 ,Acura,MDX 3.5L w/Advance Package,Used,68830,0,White,Beige,Automatic,AWD,Momentum BMW MINI,370,3.4,6.0,23882,cars.com/vehicledetail/detail/794515224/overview/
2020 ,Acura,RDX Technology Package,New,0,43795,White,Other,Automatic,AWD,Sterling McCall Acura,102,4.7,6.0,43795,cars.com/vehicledetail/detail/781505904/overview/
2020 ,Acura,ILX w/Premium Pkg,New,0,28745,Silver,Black,Automatic,FWD,John Eagle Acura,624,4.6,6.0,28745,cars.com/vehicledetail/detail/791869774/overview/
2020 ,Acura,RLX Sport Hybrid w/Advance Pkg,New,0,62895,White,Black,Automatic,AWD,John Eagle Acura,624,4.6,6.0,62895,cars.com/vehicledetail/detail/791485250/overview/
2016 ,Acura,MDX 3.5L,Used,43555,0,Silver,Black,Automatic,FWD,John Eagle Acura,624,4.6,6.0,22994,cars.com/vehicledetail/detail/789294452/overview/
2018 ,Acura,ILX Technology Plus Package,New,0,34095,White,Other,Automatic,FWD,Sterling McCall Acura,102,4.7,6.0,34095,cars.com/vehicledetail/detail/751749885/overview/
2019 ,Acura,ILX Technology & A-Spec,New,0,32945,Other,Black,Automatic,FWD,Sterling McCall Acura Sugar Land,10,4.7,7.0,32945,cars.com/vehicledetail/detail/768462256/overview/
2019 ,Acura,ILX Technology Package,New,0,30945,Blue,Black,Automatic,FWD,Sterling McCall Acura Sugar Land,10,4.7,7.0,30945,cars.com/vehicledetail/detail/770518965/overview/
2014 ,Acura,ILX 2.0L,Used,56572,0,Silver,Black,Automatic,FWD,Houston Direct Auto,218,4.3,7.0,12691,cars.com/vehicledetail/detail/792656908/overview/
2012 ,Acura,TL 3.5,Used,94575,0,Silver,Black,Automatic,FWD,Houston Direct Auto,218,4.3,7.0,9991,cars.com/vehicledetail/detail/792855269/overview/
2017 ,Acura,RLX Advance Package,Used,48102,0,Gray,Other,Automatic,FWD,Mac Haik Ford,914,4.7,8.0,26000,cars.com/vehicledetail/detail/796749225/overview/
2018 ,Acura,MDX 3.5L w/Technology Package,Used,17100,0,White,Brown,Automatic,4x2/2-wheel,Winston (Private Seller),0,0.0,12.0,37500,cars.com/vehicledetail/detail/791726390/overview/
2019 ,Acura,NSX Base,Used,472,0,Other,Black,Automatic,AWD,Porsche North Houston,509,4.9,23.0,144991,cars.com/vehicledetail/detail/792343369/overview/
2016 ,Acura,MDX 3.5L w/Advance & Entertainment Pkgs,Used,59959,0,White,Black,Automatic,FWD,DeMontrond Houston,85,3.8,23.0,23988,cars.com/vehicledetail/detail/789005528/overview/
2007 ,Acura,TSX,Used,190216,0,Black,Black,Automatic,FWD,Oasis Park and Sell,21,2.3,28.0,1500,cars.com/vehicledetail/detail/786411347/overview/
2016 ,Acura,RDX Technology Package,Used,46360,0,Black,Other,Automatic,AWD,Auto Boutique Texas,21,3.9,33.0,18000,cars.com/vehicledetail/detail/780179615/overview/
2010 ,Acura,RL 3.7,Used,11773,0,Green,Beige,Automatic,AWD,Emmons Autoplex,364,4.4,33.0,16999,cars.com/vehicledetail/detail/794450782/overview/
2019 ,Acura,ILX w/Premium/A-Spec Pkg,New,0,31045,Black,Red,Automatic,FWD,AutoNation Acura Gulf Freeway,306,4.9,35.0,29825,cars.com/vehicledetail/detail/768598326/overview/
2020 ,Acura,MDX w/Technology Pkg,New,0,52395,White,Black,Automatic,AWD,AutoNation Acura Gulf Freeway,306,4.9,35.0,52395,cars.com/vehicledetail/detail/784122588/overview/
2020 ,Acura,ILX w/Premium/A-Spec Pkg,New,0,31145,Black,Red,Automatic,FWD,AutoNation Acura Gulf Freeway,306,4.9,35.0,31145,cars.com/vehicledetail/detail/792924357/overview/
2020 ,Acura,TLX PMC Edition,New,0,0,Red,Black,Automatic,AWD,AutoNation Acura Gulf Freeway,306,4.9,35.0,50945,cars.com/vehicledetail/detail/790202724/overview/
2017 ,Acura,MDX 3.5L w/Technology Package,Used,53040,0,Gray,Black,Automatic,FWD,Sabine River Ford,62,4.2,117.0,27807,cars.com/vehicledetail/detail/788297207/overview/
2017 ,Acura,MDX 3.5L w/Technology Package,Used,23112,0,Gray,Black,Automatic,FWD,Audi North Austin,77,4.1,136.0,33291,cars.com/vehicledetail/detail/793467121/overview/
2014 ,Acura,RLX Technology Package,Used,66261,0,Other,Black,Automatic,FWD,David McDavid Acura of Austin,341,4.1,138.0,15984,cars.com/vehicledetail/detail/793731874/overview/
2019 ,Acura,TLX V6 A-Spec,Acura Certified,18241,0,Black,Black,Automatic,FWD,David McDavid Acura of Austin,341,4.1,138.0,29589,cars.com/vehicledetail/detail/788717140/overview/
2018 ,Acura,MDX 3.5L w/Advance Package,Used,22840,0,White,Black,Automatic,FWD,Bill Mcrae Ford Lincoln,14,4.3,158.0,38000,cars.com/vehicledetail/detail/793730733/overview/
2018 ,Acura,MDX 3.5L w/Technology Package,Used,17831,0,White,Other,Automatic,FWD,Gillman Honda,41,4.7,159.0,34882,cars.com/vehicledetail/detail/794085556/overview/
2009 ,Acura,RL 3.7,Used,119118,0,Black,Beige,Automatic,AWD,Mike Shaw Toyota,503,4.7,175.0,8465,cars.com/vehicledetail/detail/795690995/overview/
2014 ,Acura,RLX Advance Package,Used,63896,0,Black,Black,Automatic,FWD,BMW of San Antonio,499,4.6,176.0,18968,cars.com/vehicledetail/detail/796330153/overview/
1991 ,Acura,NSX,Used,59562,0,Red,Black,Manual,RWD,Bird Imports,0,0.0,182.0,50000,cars.com/vehicledetail/detail/783032904/overview/
2017 ,Acura,NSX Base,Used,10792,0,Black,Black,Automatic,AWD,Mark Motors,1,5.0,182.0,120888,cars.com/vehicledetail/detail/785827643/overview/
2019 ,Acura,RDX A-Spec,Used,7040,0,White,Red,Automatic,AWD,Holmes European Motors,72,4.8,219.0,36977,cars.com/vehicledetail/detail/789852756/overview/
2019 ,Acura,ILX Technology & A-Spec,New,0,31950,Red,Black,Automatic,FWD,Vandergriff Acura,1179,4.7,223.0,31222,cars.com/vehicledetail/detail/776328642/overview/
2013 ,Acura,ILX 2.0L w/Premium Package,Used,122235,0,Black,Beige,Automatic,FWD,Vandergriff Acura,1177,4.7,223.0,9724,cars.com/vehicledetail/detail/796332161/overview/
2019 ,Acura,ILX Technology Package,New,0,29550,Gray,Black,Automatic,FWD,Vandergriff Acura,1177,4.7,223.0,29054,cars.com/vehicledetail/detail/773179589/overview/
2018 ,Acura,RLX Technology Package,Acura Certified,19103,0,White,Black,Automatic,FWD,Vandergriff Acura,1177,4.7,223.0,34223,cars.com/vehicledetail/detail/792451532/overview/
2020 ,Acura,RDX A-Spec,New,0,43800,Silver,Black,Automatic,FWD,Vandergriff Acura,1179,4.7,223.0,43800,cars.com/vehicledetail/detail/788693073/overview/
2018 ,Acura,MDX 3.5L w/Advance Package,Acura Certified,50990,0,White,Black,Automatic,FWD,Vandergriff Acura,1177,4.7,223.0,34983,cars.com/vehicledetail/detail/793258575/overview/
2020 ,Acura,RLX FWD w/Technology Package,New,0,54900,Gray,Gray,Automatic,FWD,Vandergriff Acura,1177,4.7,223.0,54900,cars.com/vehicledetail/detail/786821822/overview/
2017 ,Acura,ILX Premium Package,Acura Certified,46914,0,Red,Beige,Automatic,FWD,Vandergriff Acura,1177,4.7,223.0,16393,cars.com/vehicledetail/detail/791816128/overview/
2020 ,Acura,RDX A-Spec,New,0,43800,White,Red,Automatic,FWD,Vandergriff Acura,1179,4.7,223.0,43800,cars.com/vehicledetail/detail/795719667/overview/
2020 ,Acura,RDX A-Spec,New,0,43800,Gray,Red,Automatic,FWD,Vandergriff Acura,1177,4.7,223.0,43800,cars.com/vehicledetail/detail/794224609/overview/
2017 ,Acura,RDX Technology Package,Acura Certified,26426,0,White,Beige,Automatic,FWD,Vandergriff Acura,1177,4.7,223.0,25973,cars.com/vehicledetail/detail/793176181/overview/
2020 ,Acura,ILX Premium & A-SPEC Packages,New,0,29750,White,Black,Automatic,FWD,Vandergriff Acura,1179,4.7,223.0,29750,cars.com/vehicledetail/detail/795545177/overview/
2020 ,Acura,ILX Premium Package,New,0,27750,White,Black,Automatic,FWD,Vandergriff Acura,1177,4.7,223.0,27750,cars.com/vehicledetail/detail/796029551/overview/
2020 ,Acura,TLX A-Spec,New,0,39400,White,Black,Automatic,FWD,Vandergriff Acura,1177,4.7,223.0,39400,cars.com/vehicledetail/detail/793644303/overview/
2020 ,Acura,ILX Premium & A-SPEC Packages,New,0,29750,White,Black,Automatic,FWD,Vandergriff Acura,1177,4.7,223.0,29750,cars.com/vehicledetail/detail/793758723/overview/
2020 ,Acura,MDX 3.5L Technology & A-Spec Pkgs,New,0,54900,White,Black,Automatic,AWD,Vandergriff Acura,1177,4.7,223.0,54900,cars.com/vehicledetail/detail/795477210/overview/
2020 ,Acura,MDX 3.5L,New,0,44400,Gray,Black,Automatic,FWD,Vandergriff Acura,1177,4.7,223.0,44400,cars.com/vehicledetail/detail/794224605/overview/
2019 ,Acura,ILX Technology Package,New,0,29550,White,Gray,Automatic,FWD,Vandergriff Acura,1179,4.7,223.0,29054,cars.com/vehicledetail/detail/766633302/overview/
2016 ,Acura,ILX 2.4L,Acura Certified,53505,0,White,Black,Automatic,FWD,Vandergriff Acura,1177,4.7,223.0,16585,cars.com/vehicledetail/detail/793982900/overview/
2017 ,Acura,NSX NSX,Acura Certified,14927,0,Other,Black,Automanual,AWD,Goodson Acura,811,4.8,226.0,117000,cars.com/vehicledetail/detail/783839853/overview/
2016 ,Acura,MDX 3.5L,Used,53227,0,Black,Other,Automatic,FWD,Nissan of Rockwall,594,4.3,226.0,24822,cars.com/vehicledetail/detail/781912737/overview/
2017 ,Acura,TLX V6 w/Technology Package,Used,38878,0,White,Gray,Automatic,FWD,Jupiter Chevrolet Inc,61,3.9,227.0,20296,cars.com/vehicledetail/detail/792464914/overview/
2016 ,Acura,MDX 3.5L w/Technology Package,Used,51929,0,White,Beige,Automatic,AWD,Sewell Lexus of Dallas,95,4.2,227.0,24488,cars.com/vehicledetail/detail/792002880/overview/
2019 ,Acura,ILX Technology & A-Spec,Used,13695,0,Other,Other,Automatic,FWD,BMW MINI of Arlington,672,4.7,228.0,22669,cars.com/vehicledetail/detail/791260343/overview/
2014 ,Acura,RLX Technology Package,Used,52050,0,Black,Black,Automatic,FWD,Freeman Hyundai,1308,4.9,229.0,18450,cars.com/vehicledetail/detail/795889796/overview/
2013 ,Acura,ILX 2.0L,Used,77706,0,White,Black,Automatic,FWD,"OttoSource, Corp.",148,3.9,233.0,11597,cars.com/vehicledetail/detail/793739619/overview/
2016 ,Acura,MDX 3.5L w/Technology Package,Used,67738,0,White,Beige,Automatic,FWD,DallasLeaseReturns.com,2352,4.9,234.0,22305,cars.com/vehicledetail/detail/792115728/overview/
2014 ,Acura,RLX Advance Package,Used,57261,0,Black,Black,Automatic,FWD,Honda of Fort Worth,2005,4.9,235.0,18800,cars.com/vehicledetail/detail/795713297/overview/
2005 ,Acura,RL 3.5,Used,122222,0,Silver,Black,Automatic,AWD,Sundance Auto Sales L.L.C.,22,2.1,235.0,2299,cars.com/vehicledetail/detail/780808169/overview/
2007 ,Acura,TL,Used,101527,0,White,Beige,Automatic,FWD,Texas Carz,95,4.2,236.0,7899,cars.com/vehicledetail/detail/756131394/overview/
2014 ,Acura,RDX Technology,Used,23880,0,Black,Beige,Automatic,FWD,Texas Carz,95,4.2,236.0,18000,cars.com/vehicledetail/detail/759330606/overview/
2017 ,Acura,MDX Sport Hybrid 3.0L w/Advance Package,Acura Certified,62984,0,Gray,Gray,Automatic,AWD,Hiley Acura of Fort Worth,37,3.7,237.0,34796,cars.com/vehicledetail/detail/785499685/overview/
2014 ,Acura,RLX Base,Used,58586,0,Black,Other,Automatic,FWD,Grubbs INFINITI,765,4.7,237.0,18000,cars.com/vehicledetail/detail/791396193/overview/
2005 ,Acura,RL 3.5,Used,125707,0,Silver,Black,Automatic,AWD,FIVE STAR SUBARU,996,4.9,237.0,6000,cars.com/vehicledetail/detail/796467058/overview/
2018 ,Acura,ILX Base,Acura Certified,9629,0,Gray,Other,Automatic,FWD,Hiley Acura of Fort Worth,37,3.7,237.0,18596,cars.com/vehicledetail/detail/787029124/overview/
2020 ,Acura,RLX FWD w/Technology Package,New,0,54900,White,Black,Automatic,FWD,Hiley Acura of Fort Worth,37,3.7,237.0,54900,cars.com/vehicledetail/detail/790029887/overview/
2018 ,Acura,TLX FWD,Acura Certified,12539,0,Red,Beige,Automatic,FWD,Hiley Acura of Fort Worth,37,3.7,237.0,21795,cars.com/vehicledetail/detail/787648595/overview/
2019 ,Acura,RDX A-Spec,Acura Certified,6972,0,White,Black,Automatic,FWD,Hiley Acura of Fort Worth,37,3.7,237.0,38692,cars.com/vehicledetail/detail/795947404/overview/
2018 ,Acura,RDX Technology Package,New,0,39700,Gray,Black,Automatic,FWD,Hiley Acura of Fort Worth,37,3.7,237.0,37693,cars.com/vehicledetail/detail/781547557/overview/
2020 ,Acura,TLX A-Spec,Used,9980,0,Black,Other,Automatic,FWD,Alfa Romeo of Fort Worth,100,4.3,237.0,28995,cars.com/vehicledetail/detail/795660635/overview/
2020 ,Acura,RDX A-Spec,New,0,44200,Black,Black,Automatic,FWD,Hiley Acura of Fort Worth,37,3.7,237.0,44200,cars.com/vehicledetail/detail/794304222/overview/
2015 ,Acura,TLX FWD,Used,46367,0,Silver,Black,Automatic,FWD,Texas Toyota of Grapevine,466,3.2,237.0,14999,cars.com/vehicledetail/detail/795881171/overview/
2020 ,Acura,ILX Premium Package,New,0,27750,White,Black,Automatic,FWD,Hiley Acura of Fort Worth,37,3.7,237.0,27750,cars.com/vehicledetail/detail/793777369/overview/
2020 ,Acura,RDX A-Spec,New,0,44200,Black,Black,Automatic,FWD,Hiley Acura of Fort Worth,37,3.7,237.0,44200,cars.com/vehicledetail/detail/794705049/overview/
2020 ,Acura,RDX A-Spec,New,0,43800,White,Black,Automatic,FWD,Hiley Acura of Fort Worth,37,3.7,237.0,43800,cars.com/vehicledetail/detail/794140222/overview/
2018 ,Acura,MDX Sport Hybrid 3.0L w/Technology Package,Used,13418,0,Black,Beige,Automatic,AWD,Crest Volvo Cars,914,4.8,238.0,39900,cars.com/vehicledetail/detail/792205500/overview/
2017 ,Acura,ILX Base,Used,34022,0,Black,Black,Automatic,FWD,Autos of Dallas,1117,4.1,238.0,17190,cars.com/vehicledetail/detail/788733539/overview/
2012 ,Acura,TSX Technology,Used,101048,0,White,Beige,Automatic,FWD,Toyota of Plano,5082,4.8,238.0,9777,cars.com/vehicledetail/detail/791018132/overview/
2017 ,Acura,ILX Premium Package,Used,37053,0,Silver,Black,Automatic,FWD,Autos of Dallas,1117,4.1,238.0,17390,cars.com/vehicledetail/detail/788733548/overview/
2017 ,Acura,RDX SUNROOF HTD STS KEY-GO 18IN WHLS,Used,16601,0,Black,Black,Automatic,AWD,Autos of Dallas,1117,4.1,238.0,24790,cars.com/vehicledetail/detail/787095432/overview/
2017 ,Acura,ILX Base,Used,11438,0,White,Beige,Automatic,FWD,Autos of Dallas,1117,4.1,238.0,18290,cars.com/vehicledetail/detail/791965516/overview/
2017 ,Acura,RDX Technology Package,Used,34252,0,White,Beige,Automatic,FWD,AutoNation Honda Lewisville,562,4.7,241.0,24229,cars.com/vehicledetail/detail/790998056/overview/
