Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
2017 ,Alfa Romeo,4C Base,Used,4471,0,Gray,Black,Automatic,RWD,Don McGill Toyota of Houston,900,4.6,7.0,45989,cars.com/vehicledetail/detail/794502444/overview/
2019 ,Alfa Romeo,Stelvio Ti,New,0,47990,Black,Other,Automatic,AWD,Helfman Dodge Chrysler Jeep Ram FIAT Alfa Romeo Maserati,298,4.9,12.0,42990,cars.com/vehicledetail/detail/771702715/overview/
2019 ,Alfa Romeo,Giulia Ti,New,0,52040,White,Other,Automatic,RWD,Helfman Dodge Chrysler Jeep Ram FIAT Alfa Romeo Maserati,298,4.9,12.0,47040,cars.com/vehicledetail/detail/752980217/overview/
2019 ,Alfa Romeo,Giulia Ti,New,0,47590,Gray,Black,Automatic,RWD,Helfman Dodge Chrysler Jeep Ram FIAT Alfa Romeo Maserati,298,4.9,12.0,42590,cars.com/vehicledetail/detail/778676768/overview/
2019 ,Alfa Romeo,Stelvio Quadrifoglio,New,0,85990,Black,Red,Automatic,AWD,Helfman Dodge Chrysler Jeep Ram FIAT Alfa Romeo Maserati,298,4.9,12.0,80990,cars.com/vehicledetail/detail/791795951/overview/
2019 ,Alfa Romeo,Giulia Base,New,0,45990,Blue,Black,Automatic,RWD,Helfman Dodge Chrysler Jeep Ram FIAT Alfa Romeo Maserati,298,4.9,12.0,40990,cars.com/vehicledetail/detail/792319732/overview/
2019 ,Alfa Romeo,Giulia Base,New,0,43240,Silver,Black,Automatic,RWD,Helfman Dodge Chrysler Jeep Ram FIAT Alfa Romeo Maserati,298,4.9,12.0,38240,cars.com/vehicledetail/detail/792319719/overview/
2019 ,Alfa Romeo,Stelvio Sport,New,0,48390,White,Red,Automatic,AWD,Helfman Dodge Chrysler Jeep Ram FIAT Alfa Romeo Maserati,298,4.9,12.0,43390,cars.com/vehicledetail/detail/790765817/overview/
2019 ,Alfa Romeo,Giulia Quadrifoglio,New,0,91735,Gray,Black,Automatic,RWD,Helfman Dodge Chrysler Jeep Ram FIAT Alfa Romeo Maserati,298,4.9,12.0,86735,cars.com/vehicledetail/detail/784713084/overview/
2019 ,Alfa Romeo,Stelvio Ti,New,0,51490,Gray,Black,Automatic,AWD,Helfman Dodge Chrysler Jeep Ram FIAT Alfa Romeo Maserati,298,4.9,12.0,46490,cars.com/vehicledetail/detail/764909713/overview/
2019 ,Alfa Romeo,Giulia Ti,New,0,49640,Red,Other,Automatic,RWD,Helfman Dodge Chrysler Jeep Ram FIAT Alfa Romeo Maserati,298,4.9,12.0,43640,cars.com/vehicledetail/detail/756985767/overview/
2019 ,Alfa Romeo,Stelvio Ti,New,0,51890,Black,Black,Automatic,AWD,Helfman Dodge Chrysler Jeep Ram FIAT Alfa Romeo Maserati,298,4.9,12.0,46890,cars.com/vehicledetail/detail/790765813/overview/
2019 ,Alfa Romeo,Giulia Base,New,0,44915,White,Black,Automatic,RWD,Helfman Dodge Chrysler Jeep Ram FIAT Alfa Romeo Maserati,298,4.9,12.0,39915,cars.com/vehicledetail/detail/792319731/overview/
2019 ,Alfa Romeo,Giulia Ti,New,0,49090,Gray,Black,Automatic,RWD,Helfman Dodge Chrysler Jeep Ram FIAT Alfa Romeo Maserati,298,4.9,12.0,44090,cars.com/vehicledetail/detail/792319609/overview/
2019 ,Alfa Romeo,Stelvio Ti,Used,12492,0,Blue,Beige,Automatic,AWD,Helfman Dodge Chrysler Jeep Ram FIAT Alfa Romeo Maserati,298,4.9,12.0,38945,cars.com/vehicledetail/detail/794082326/overview/
2019 ,Alfa Romeo,Giulia Base,New,0,43390,Red,Black,Automatic,RWD,Helfman Dodge Chrysler Jeep Ram FIAT Alfa Romeo Maserati,298,4.9,12.0,38390,cars.com/vehicledetail/detail/792319718/overview/
2019 ,Alfa Romeo,Stelvio Ti,New,0,52940,White,Red,Automatic,AWD,Helfman Dodge Chrysler Jeep Ram FIAT Alfa Romeo Maserati,298,4.9,12.0,47940,cars.com/vehicledetail/detail/790765873/overview/
2019 ,Alfa Romeo,Giulia Ti,New,0,52640,Red,Black,Automatic,RWD,Helfman Dodge Chrysler Jeep Ram FIAT Alfa Romeo Maserati,298,4.9,12.0,47640,cars.com/vehicledetail/detail/790642959/overview/
2019 ,Alfa Romeo,Giulia Base,New,0,43040,Black,Black,Automatic,RWD,Helfman Dodge Chrysler Jeep Ram FIAT Alfa Romeo Maserati,298,4.9,12.0,38040,cars.com/vehicledetail/detail/792319730/overview/
2019 ,Alfa Romeo,Giulia Ti,New,0,51890,Red,Black,Automatic,RWD,Helfman Dodge Chrysler Jeep Ram FIAT Alfa Romeo Maserati,298,4.9,12.0,46890,cars.com/vehicledetail/detail/771324533/overview/
2019 ,Alfa Romeo,Stelvio Sport,New,0,52590,Red,Other,Automatic,AWD,Helfman Dodge Chrysler Jeep Ram FIAT Alfa Romeo Maserati,298,4.9,12.0,46444,cars.com/vehicledetail/detail/755679260/overview/
2019 ,Alfa Romeo,Giulia Ti,New,0,46790,Red,Black,Automatic,RWD,Helfman Dodge Chrysler Jeep Ram FIAT Alfa Romeo Maserati,298,4.9,12.0,41790,cars.com/vehicledetail/detail/790642731/overview/
2019 ,Alfa Romeo,Stelvio Ti,New,0,52140,Gray,Other,Automatic,AWD,Helfman Dodge Chrysler Jeep Ram FIAT Alfa Romeo Maserati,298,4.9,12.0,47140,cars.com/vehicledetail/detail/752980202/overview/
2019 ,Alfa Romeo,Stelvio Ti,New,0,53540,Gray,Other,Automatic,AWD,Helfman Dodge Chrysler Jeep Ram FIAT Alfa Romeo Maserati,298,4.9,12.0,48540,cars.com/vehicledetail/detail/752783518/overview/
2019 ,Alfa Romeo,Stelvio Ti,New,0,53640,Black,Other,Automatic,AWD,Helfman Dodge Chrysler Jeep Ram FIAT Alfa Romeo Maserati,298,4.9,12.0,48640,cars.com/vehicledetail/detail/753375766/overview/
2019 ,Alfa Romeo,Stelvio Ti,New,0,47690,Brown,Other,Automatic,AWD,Helfman Dodge Chrysler Jeep Ram FIAT Alfa Romeo Maserati,298,4.9,12.0,42690,cars.com/vehicledetail/detail/757151255/overview/
2019 ,Alfa Romeo,Stelvio Ti,New,0,52590,Black,Other,Automatic,AWD,Helfman Dodge Chrysler Jeep Ram FIAT Alfa Romeo Maserati,298,4.9,12.0,47590,cars.com/vehicledetail/detail/759218943/overview/
2019 ,Alfa Romeo,Stelvio Quadrifoglio,New,0,85390,Red,Other,Automatic,AWD,Helfman Dodge Chrysler Jeep Ram FIAT Alfa Romeo Maserati,298,4.9,12.0,80390,cars.com/vehicledetail/detail/759099999/overview/
2019 ,Alfa Romeo,Giulia Ti,New,0,47590,Black,Black,Automatic,RWD,Helfman Dodge Chrysler Jeep Ram FIAT Alfa Romeo Maserati,298,4.9,12.0,42590,cars.com/vehicledetail/detail/790642836/overview/
