Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
2020 ,Aston Martin,DB11 Volante,New,0,0,Other,Other,Other,Unknown,Star Motor Cars,32,5.0,13.0,263631,cars.com/vehicledetail/detail/791372556/overview/
2020 ,Aston Martin,DB11 Volante,New,0,0,Other,Other,Other,Unknown,Star Motor Cars,32,5.0,13.0,228291,cars.com/vehicledetail/detail/790609040/overview/
2019 ,Aston Martin,DBS Superleggera,New,0,331771,Silver,Black,Automatic,RWD,Aston Martin of Dallas,12,5.0,226.0,331771,cars.com/vehicledetail/detail/772111811/overview/
2012 ,Aston Martin,Rapide Luxe,Used,38869,0,Black,Black,Automatic,RWD,Porsche of West Houston,250,4.7,7.0,57484,cars.com/vehicledetail/detail/784956830/overview/
2019 ,Aston Martin,DB11 AMR,New,0,268506,Gray,Black,Automatic,RWD,Aston Martin of Dallas,12,5.0,226.0,268506,cars.com/vehicledetail/detail/777829431/overview/
2019 ,Aston Martin,DB11 Volante,New,0,250324,Silver,Black,Automatic,RWD,Star Motor Cars,32,5.0,13.0,250324,cars.com/vehicledetail/detail/770157136/overview/
2020 ,Aston Martin,DB11 AMR,New,0,268486,White,Black,Automatic,RWD,Aston Martin of Dallas,12,5.0,226.0,268486,cars.com/vehicledetail/detail/793296312/overview/
2015 ,Aston Martin,DB9 Carbon Edition,Used,12863,0,Black,Black,Automatic,RWD,Tactical Fleet,3,5.0,235.0,96900,cars.com/vehicledetail/detail/788950703/overview/
2019 ,Aston Martin,DBS Superleggera,New,0,387611,Blue,Blue,Automatic,RWD,Aston Martin of Dallas,12,5.0,226.0,387611,cars.com/vehicledetail/detail/785543319/overview/
2011 ,Aston Martin,Rapide,Used,56802,0,Gray,Other,Automatic,RWD,Commerce Chevrolet Buick,22,4.7,245.0,59999,cars.com/vehicledetail/detail/789307879/overview/
2019 ,Aston Martin,DB11 AMR,New,0,0,Black,Other,Automatic,RWD,Star Motor Cars,32,5.0,13.0,277416,cars.com/vehicledetail/detail/750083558/overview/
2020 ,Aston Martin,Vantage Base,New,0,174212,Blue,Brown,Automatic,RWD,Aston Martin of Dallas,12,5.0,226.0,174212,cars.com/vehicledetail/detail/793296331/overview/
2010 ,Aston Martin,V8 Vantage,Used,23350,0,Black,Black,Automatic,RWD,Tactical Fleet,3,5.0,235.0,48900,cars.com/vehicledetail/detail/780351541/overview/
2020 ,Aston Martin,Vantage,New,0,197377,Black,Blue,Automatic,RWD,Aston Martin of Dallas,12,5.0,226.0,197377,cars.com/vehicledetail/detail/793296314/overview/
2020 ,Aston Martin,DB11,New,0,0,Other,Other,Other,Unknown,Star Motor Cars,32,5.0,13.0,219761,cars.com/vehicledetail/detail/791372465/overview/
2012 ,Aston Martin,V8 Vantage,Used,18234,0,Silver,Black,Automatic,RWD,Reserve Auto Group,0,0.0,244.0,59000,cars.com/vehicledetail/detail/792523491/overview/
2010 ,Aston Martin,V8 Vantage,Used,61585,0,Silver,Black,Manual,RWD,Houston Direct Auto,218,4.3,7.0,34991,cars.com/vehicledetail/detail/766878717/overview/
2020 ,Aston Martin,Vantage Base,New,0,0,Silver,Black,Automatic,RWD,Star Motor Cars,32,5.0,13.0,156831,cars.com/vehicledetail/detail/788748001/overview/
2020 ,Aston Martin,DB11 Volante,New,0,0,Other,Other,Other,Unknown,Star Motor Cars,32,5.0,13.0,212076,cars.com/vehicledetail/detail/790608952/overview/
2020 ,Aston Martin,Vantage Base,New,0,0,Other,Other,Automatic,RWD,Star Motor Cars,32,5.0,13.0,224568,cars.com/vehicledetail/detail/791372463/overview/
2016 ,Aston Martin,Vanquish V12,Used,13019,0,Black,Black,Automatic,RWD,Hi Tech Luxury Imports,3,2.3,136.0,156800,cars.com/vehicledetail/detail/783048074/overview/
2017 ,Aston Martin,DB11,Used,11124,0,Silver,Other,Automatic,RWD,Mark Motors,1,5.0,182.0,129888,cars.com/vehicledetail/detail/787831814/overview/
2014 ,Aston Martin,Vanquish Volante,Used,9420,0,Black,Black,Automatic,RWD,MW Carline,0,0.0,10.0,125750,cars.com/vehicledetail/detail/787247332/overview/
2007 ,Aston Martin,V8 Vantage,Used,59798,0,Other,Beige,Automatic,RWD,Auto Park Dallas,21,4.4,235.0,30995,cars.com/vehicledetail/detail/784760333/overview/
2016 ,Aston Martin,V8 Vantage S Base,Used,15155,0,Silver,Black,Manual,RWD,Hi Tech Luxury Imports,3,2.3,136.0,79800,cars.com/vehicledetail/detail/771067732/overview/
2018 ,Aston Martin,DB11 V8,Used,10077,0,White,Black,Automatic,RWD,Mark Motors,1,5.0,182.0,144777,cars.com/vehicledetail/detail/776455196/overview/
2019 ,Aston Martin,Vantage Base,New,0,223444,Other,Other,Automatic,RWD,Aston Martin of Dallas,12,5.0,226.0,223444,cars.com/vehicledetail/detail/769484515/overview/
2018 ,Aston Martin,Vanquish S,Aston Martin Certified,10848,0,Black,Black,Automatic,RWD,Star Motor Cars,32,5.0,13.0,194900,cars.com/vehicledetail/detail/784153953/overview/
2019 ,Aston Martin,Rapide AMR,New,0,266720,Black,Black,Other,Unknown,Aston Martin of Dallas,12,5.0,226.0,266720,cars.com/vehicledetail/detail/777173238/overview/
2019 ,Aston Martin,Vantage Base,Used,1445,0,Black,Other,Automatic,RWD,Hi Tech Luxury Imports,3,2.3,136.0,147600,cars.com/vehicledetail/detail/783217566/overview/
2019 ,Aston Martin,DBS Superleggera,New,0,331771,Silver,Black,Automatic,RWD,Star Motor Cars,32,5.0,13.0,331771,cars.com/vehicledetail/detail/775029957/overview/
2014 ,Aston Martin,DB9 Volante,Aston Martin Certified,17936,0,Black,Other,Automatic,RWD,Star Motor Cars,32,5.0,13.0,79999,cars.com/vehicledetail/detail/751098489/overview/
2019 ,Aston Martin,Vantage Base,Used,1527,0,Gray,Black,Automatic,RWD,Hi Tech Luxury Imports,3,2.3,136.0,152700,cars.com/vehicledetail/detail/785033227/overview/
2018 ,Aston Martin,DB11 V12,Aston Martin Certified,3661,0,Silver,Other,Automatic,RWD,Star Motor Cars,32,5.0,13.0,159399,cars.com/vehicledetail/detail/728409625/overview/
2015 ,Aston Martin,V12 Vantage S Base,Used,7013,0,Black,Other,Automatic,RWD,Star Motor Cars,32,5.0,13.0,91500,cars.com/vehicledetail/detail/778899472/overview/
