Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
2014 ,Audi,S8 4.0T,Used,56295,0,Gray,Black,Automatic,AWD,Audi Sugar Land,31,4.9,5.0,36991,cars.com/vehicledetail/detail/794805588/overview/
2019 ,Audi,TTS 2.0T,Audi Certified,5999,0,Black,Other,Automatic,AWD,Audi Sugar Land,31,4.9,5.0,50991,cars.com/vehicledetail/detail/795278251/overview/
2016 ,Audi,S8 4.0T Plus,Used,16809,0,White,Brown,Automatic,AWD,Sterling McCall Acura,102,4.7,6.0,62991,cars.com/vehicledetail/detail/794517906/overview/
2015 ,Audi,Q7 3.0T S line Prestige,Used,42937,0,Black,Black,Automatic,AWD,Mercedes-Benz of West Houston,23,4.1,6.0,28999,cars.com/vehicledetail/detail/792852654/overview/
2013 ,Audi,S6 4.0T Prestige quattro,Used,44411,0,Silver,Black,Automatic,AWD,Don McGill Toyota of Houston,900,4.6,7.0,28998,cars.com/vehicledetail/detail/791853546/overview/
2019 ,Audi,Q8 Prestige,Used,26308,0,White,Beige,Automatic,AWD,Westside Lexus,4714,4.8,7.0,62949,cars.com/vehicledetail/detail/795201366/overview/
2019 ,Audi,A8 L 55,New,0,94045,White,Beige,Automatic,AWD,Audi West Houston,527,4.6,7.0,85393,cars.com/vehicledetail/detail/773020423/overview/
2011 ,Audi,A8 4.2 quattro,Used,34810,0,Gray,Brown,Automatic,AWD,Houston Direct Auto,218,4.3,7.0,19291,cars.com/vehicledetail/detail/794953506/overview/
2019 ,Audi,Q7 45 Premium,Audi Certified,6870,0,Gray,Gray,Automatic,AWD,Audi West Houston,527,4.6,7.0,41992,cars.com/vehicledetail/detail/796270113/overview/
2013 ,Audi,S8 4.0T quattro,Used,73137,0,Black,Brown,Automatic,AWD,Nxcess Motorcars,107,2.0,10.0,29991,cars.com/vehicledetail/detail/785089750/overview/
2019 ,Audi,RS 5 2.9T quattro,Used,2161,0,Other,Black,Automatic,AWD,Net Car Showroom,12,5.0,11.0,82999,cars.com/vehicledetail/detail/787470929/overview/
2019 ,Audi,Q7 55 Prestige,New,0,85775,Black,Brown,Automatic,AWD,Audi Central Houston,412,4.4,14.0,83632,cars.com/vehicledetail/detail/780782848/overview/
