Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
2013 ,BMW,X6 xDrive50i,Used,78132,0,Black,Black,Automatic,AWD,ABZ Motors,52,4.0,5.0,20995,cars.com/vehicledetail/detail/795277859/overview/
2017 ,BMW,530 i xDrive,Used,54403,0,Blue,Gray,Automatic,AWD,AutoNation USA Katy,8,3.1,6.0,29983,cars.com/vehicledetail/detail/794511062/overview/
2013 ,BMW,650 Gran Coupe i,Used,48276,0,Gray,Black,Automatic,RWD,Sterling McCall Toyota,276,4.6,6.0,23499,cars.com/vehicledetail/detail/790610368/overview/
2018 ,BMW,M550 i xDrive,Used,15000,0,Black,Black,Automatic,AWD,Mac Haik Chevrolet,211,3.9,7.0,53995,cars.com/vehicledetail/detail/786664050/overview/
2011 ,BMW,128 i,Used,83782,0,White,Black,Automatic,RWD,Motors on Wheels,39,5.0,7.0,8881,cars.com/vehicledetail/detail/796658971/overview/
2013 ,BMW,X5 M Base,Used,94703,0,White,Silver,Automatic,AWD,Houston Direct Auto,218,4.3,7.0,18991,cars.com/vehicledetail/detail/791325051/overview/
2013 ,BMW,128 i,Used,72989,0,Blue,Other,Automatic,RWD,Bemer Motor Cars,176,4.8,7.0,12890,cars.com/vehicledetail/detail/757998342/overview/
2012 ,BMW,750 Li,Used,89000,0,Gray,Beige,Automatic,RWD,SW Auto LLC,16,3.5,8.0,13950,cars.com/vehicledetail/detail/793212923/overview/
2020 ,BMW,430 Gran Coupe i,Used,4733,0,Blue,Beige,Automatic,RWD,BMW of West Houston,470,4.0,8.0,40981,cars.com/vehicledetail/detail/791987385/overview/
2018 ,BMW,740 i,Used,40976,0,Black,Black,Automatic,RWD,ICON Exotics,2,5.0,10.0,37995,cars.com/vehicledetail/detail/791474858/overview/
2017 ,BMW,M6 Gran Coupe Base,Used,40899,0,White,Black,Manual,RWD,Advantage BMW Midtown,131,4.4,17.0,53444,cars.com/vehicledetail/detail/793643528/overview/
2019 ,BMW,M850 i xDrive,New,0,118370,Blue,Other,Automatic,AWD,Advantage BMW Midtown,131,4.4,17.0,118370,cars.com/vehicledetail/detail/772603436/overview/
2016 ,BMW,i8 Base,Used,21671,0,Gray,Brown,Automatic,AWD,Advantage BMW Midtown,131,4.4,17.0,65064,cars.com/vehicledetail/detail/790899919/overview/
