Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
2018 ,Bentley,Bentayga Onyx Edition,Used,13056,0,White,Other,Automatic,AWD,Porsche of West Houston,250,4.7,7.0,154394,cars.com/vehicledetail/detail/792867472/overview/
2017 ,Bentley,Bentayga W12,Used,27572,0,Gray,Beige,Automatic,AWD,Autos of Dallas,1117,4.1,238.0,133990,cars.com/vehicledetail/detail/793854278/overview/
2018 ,Bentley,Bentayga Activity Edition,Used,16348,0,White,Black,Automatic,AWD,Hi Tech Luxury Imports,3,2.3,136.0,176800,cars.com/vehicledetail/detail/765665447/overview/
2006 ,Bentley,Continental Flying Spur,Used,48677,0,Other,Other,Automatic,AWD,Dallas Autos Direct,307,4.6,237.0,31990,cars.com/vehicledetail/detail/789839322/overview/
2008 ,Bentley,Continental Flying Spur,Used,59780,0,Black,Other,Automatic,AWD,Nxcess Motorcars,107,2.0,10.0,37888,cars.com/vehicledetail/detail/785259059/overview/
2005 ,Bentley,Continental GT,Used,92015,0,Black,Beige,Automatic,AWD,Fidelity Ventures,94,3.7,232.0,29990,cars.com/vehicledetail/detail/782003807/overview/
2018 ,Bentley,Bentayga W12 Signature,Used,10555,0,Other,Gold,Automatic,AWD,Tactical Fleet,3,5.0,235.0,189900,cars.com/vehicledetail/detail/789752502/overview/
2005 ,Bentley,Continental GT,Used,37854,0,Black,Blue,Automatic,AWD,Houston Direct Auto,218,4.3,7.0,33391,cars.com/vehicledetail/detail/785883469/overview/
2013 ,Bentley,Continental GT V8,Used,30175,0,Other,Other,Automatic,AWD,ICON Exotics,2,5.0,10.0,84995,cars.com/vehicledetail/detail/795954817/overview/
2006 ,Bentley,Continental Flying Spur,Used,51060,0,Gray,Other,Automatic,AWD,Earth Motorcars,375,4.5,236.0,39990,cars.com/vehicledetail/detail/785780469/overview/
2013 ,Bentley,Continental Flying Spur Speed,Used,23578,0,Black,Black,Automatic,AWD,Wells Auto Group,29,3.5,248.0,75995,cars.com/vehicledetail/detail/773570356/overview/
2006 ,Bentley,Continental Flying Spur,Used,24100,0,Black,Other,Automatic,AWD,Excellence Auto Direct,285,4.2,233.0,43981,cars.com/vehicledetail/detail/793846275/overview/
2007 ,Bentley,Arnage T,Used,21491,0,Black,Other,Automatic,RWD,NESCO,37,3.9,227.0,44995,cars.com/vehicledetail/detail/786698330/overview/
2013 ,Bentley,Continental GT Speed,Used,31568,0,Other,Other,Automatic,AWD,BMW of San Antonio,499,4.6,176.0,73964,cars.com/vehicledetail/detail/785248266/overview/
2006 ,Bentley,Continental Flying Spur,Used,37215,0,White,Other,Automatic,AWD,Texas Cars Direct,182,4.8,233.0,36999,cars.com/vehicledetail/detail/788191741/overview/
2013 ,Bentley,Continental GT V8,Used,76526,0,Silver,Gray,Automatic,AWD,Austin Direct Auto Sales,64,2.5,137.0,58900,cars.com/vehicledetail/detail/781334644/overview/
2006 ,Bentley,Continental Flying Spur,Used,51086,0,Gray,Other,Automatic,AWD,Sundance Auto Sales L.L.C.,22,2.1,235.0,32000,cars.com/vehicledetail/detail/786205900/overview/
2016 ,Bentley,Flying Spur W12,Used,5808,0,Red,Black,Automatic,AWD,Cassa (Private Seller),0,0.0,244.0,134900,cars.com/vehicledetail/detail/792617605/overview/
2013 ,Bentley,Continental GTC V8,Used,30852,0,Black,Black,Automatic,AWD,SC Sales,6,5.0,10.0,84850,cars.com/vehicledetail/detail/791556249/overview/
2008 ,Bentley,Azure,Used,14403,0,Black,Black,Automatic,RWD,DallasLeaseReturns.com,2352,4.9,234.0,90597,cars.com/vehicledetail/detail/779144740/overview/
2016 ,Bentley,Mulsanne Speed,Used,3634,0,Black,Black,Automatic,RWD,Hi Tech Luxury Imports,3,2.3,136.0,169700,cars.com/vehicledetail/detail/792363916/overview/
2014 ,Bentley,Continental GT,Used,26043,0,Beige,Beige,Automatic,AWD,Mercedes-Benz of Houston Greenway,1059,4.7,12.0,88756,cars.com/vehicledetail/detail/794773074/overview/
2017 ,Bentley,Bentayga W12 First Edition,Used,18975,0,Gray,Other,Automatic,AWD,Mark Motors,1,5.0,182.0,148888,cars.com/vehicledetail/detail/793928654/overview/
2013 ,Bentley,Continental GT Speed,Used,29875,0,Red,Beige,Automatic,AWD,Vehicle Warehouse,2,5.0,230.0,69990,cars.com/vehicledetail/detail/787401613/overview/
2011 ,Bentley,Mulsanne,Used,44028,0,Other,Other,Automatic,RWD,Earth Motorcars,374,4.5,236.0,89991,cars.com/vehicledetail/detail/776226659/overview/
2017 ,Bentley,Continental GT V8 S,Used,4760,0,Blue,Brown,Automatic,AWD,Hi Tech Luxury Imports,3,2.3,136.0,157900,cars.com/vehicledetail/detail/787965755/overview/
2013 ,Bentley,Continental GT Speed,Used,45958,0,Black,Black,Automatic,AWD,Dallas Auto Exchange,8,5.0,237.0,79989,cars.com/vehicledetail/detail/778554534/overview/
2012 ,Bentley,Mulsanne Base,Used,7145,0,Black,Other,Automatic,RWD,Tactical Fleet,3,5.0,235.0,122900,cars.com/vehicledetail/detail/793886658/overview/
2018 ,Bentley,Bentayga W12,Used,1035,0,Black,Black,Automatic,AWD,Hi Tech Luxury Imports,3,2.3,136.0,219925,cars.com/vehicledetail/detail/789077474/overview/
2012 ,Bentley,Continental GT,Used,20402,0,Other,Other,Automatic,AWD,Earth Motorcars,374,4.5,236.0,73991,cars.com/vehicledetail/detail/792461331/overview/
2008 ,Bentley,Continental GT Speed,Used,35569,0,Gray,Black,Automatic,AWD,Hi Line Motors,64,3.5,237.0,57500,cars.com/vehicledetail/detail/783341366/overview/
2011 ,Bentley,Mulsanne Base,Used,33985,0,Black,Gray,Automatic,RWD,ICON Exotics,2,5.0,10.0,95995,cars.com/vehicledetail/detail/790605079/overview/
2014 ,Bentley,Continental GT V8 S,Used,23950,0,White,Other,Automatic,AWD,Tactical Fleet,3,5.0,235.0,99900,cars.com/vehicledetail/detail/763702741/overview/
2009 ,Bentley,Arnage T,Used,27500,0,Black,Black,Automatic,RWD,Mark (Private Seller),0,0.0,35.0,105000,cars.com/vehicledetail/detail/750635974/overview/
2014 ,Bentley,Continental GT Speed,Used,6012,0,Gray,Gold,Automatic,AWD,Mark Motors,1,5.0,182.0,128888,cars.com/vehicledetail/detail/765878353/overview/
