Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
2019 ,Buick,Encore Preferred,New,0,26390,Silver,Black,Automatic,FWD,West Point Buick GMC,1859,4.9,6.0,16973,cars.com/vehicledetail/detail/771193728/overview/
2019 ,Buick,Encore Preferred,New,0,26390,Red,Black,Automatic,FWD,West Point Buick GMC,1859,4.9,6.0,17681,cars.com/vehicledetail/detail/767383230/overview/
2019 ,Buick,Encore Preferred,New,0,26390,Red,Gray,Automatic,FWD,West Point Buick GMC,1859,4.9,6.0,17681,cars.com/vehicledetail/detail/769217223/overview/
2019 ,Buick,Encore Preferred,New,0,26390,Black,Black,Automatic,FWD,West Point Buick GMC,1859,4.9,6.0,17681,cars.com/vehicledetail/detail/768328623/overview/
2019 ,Buick,Encore Preferred,New,0,26390,Black,Gray,Automatic,FWD,West Point Buick GMC,1859,4.9,6.0,16973,cars.com/vehicledetail/detail/770533743/overview/
2019 ,Buick,Encore Preferred,New,0,26390,Red,Gray,Automatic,FWD,West Point Buick GMC,1859,4.9,6.0,17681,cars.com/vehicledetail/detail/766976361/overview/
2019 ,Buick,Encore Preferred,New,0,26390,Black,Gray,Automatic,FWD,West Point Buick GMC,1859,4.9,6.0,16973,cars.com/vehicledetail/detail/772171559/overview/
2019 ,Buick,Encore Preferred,New,0,26390,Silver,Black,Automatic,FWD,West Point Buick GMC,1859,4.9,6.0,16973,cars.com/vehicledetail/detail/773447999/overview/
2019 ,Buick,Encore Preferred,New,0,26390,Red,Black,Automatic,FWD,West Point Buick GMC,1859,4.9,6.0,17681,cars.com/vehicledetail/detail/767383228/overview/
2019 ,Buick,Encore Preferred,New,0,26390,Red,Gray,Automatic,FWD,West Point Buick GMC,1859,4.9,6.0,17681,cars.com/vehicledetail/detail/769784904/overview/
2019 ,Buick,Encore Preferred,New,0,26390,Black,Black,Automatic,FWD,West Point Buick GMC,1859,4.9,6.0,17681,cars.com/vehicledetail/detail/767728051/overview/
2009 ,Buick,Lucerne CXL,Used,45084,0,White,Gray,Automatic,FWD,Houston Direct Auto,218,4.3,7.0,7991,cars.com/vehicledetail/detail/779656116/overview/
2002 ,Buick,LeSabre Custom,Used,112200,0,Blue,Gray,Automatic,FWD,Universal Auto Credit,70,4.0,13.0,2995,cars.com/vehicledetail/detail/789556290/overview/
2011 ,Buick,Regal CXL,Used,138642,0,Black,Black,Automatic,FWD,Universal Auto Credit,70,4.0,13.0,5995,cars.com/vehicledetail/detail/793967233/overview/
2017 ,Buick,LaCrosse Preferred,Used,48371,0,Gray,Beige,Automatic,FWD,Joe Myers Ford,3516,4.7,13.0,15855,cars.com/vehicledetail/detail/794105064/overview/
