Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
2006 ,Chrysler,PT Cruiser Touring,Used,88990,0,Silver,Gray,Automatic,FWD,Adam's Cars,163,4.4,1.0,2999,cars.com/vehicledetail/detail/772902696/overview/
2009 ,Chrysler,Town & Country Touring,Used,105919,0,Black,Black,Automatic,FWD,Z Auto Place,0,0.0,5.0,5995,cars.com/vehicledetail/detail/789447615/overview/
2014 ,Chrysler,300 Base,Used,71213,0,Black,Black,Automatic,RWD,Houston Direct Auto,218,4.3,7.0,8991,cars.com/vehicledetail/detail/789278961/overview/
2012 ,Chrysler,200 Touring,Used,121749,0,Black,Black,Automatic,FWD,Texas Perfect Auto,6,3.5,7.0,4599,cars.com/vehicledetail/detail/780089387/overview/
2017 ,Chrysler,Pacifica Touring-L,Used,61756,0,Silver,Other,Automatic,FWD,Houston Direct Auto,218,4.3,7.0,17991,cars.com/vehicledetail/detail/789316311/overview/
2014 ,Chrysler,300C Base,Used,46092,0,White,Beige,Automatic,RWD,Houston Auto Sales,63,4.2,10.0,15801,cars.com/vehicledetail/detail/793604443/overview/
2018 ,Chrysler,Pacifica Hybrid Touring L,Used,3448,0,Gray,Other,Automatic,FWD,River Oaks Chrysler Jeep Dodge RAM,74,3.4,14.0,33400,cars.com/vehicledetail/detail/783960190/overview/
2018 ,Chrysler,Pacifica Hybrid Touring L,Used,1989,0,Blue,Other,Automatic,FWD,River Oaks Chrysler Jeep Dodge RAM,74,3.4,14.0,33400,cars.com/vehicledetail/detail/792546241/overview/
2020 ,Chrysler,Pacifica Limited,New,0,51265,White,Beige,Automatic,FWD,River Oaks Chrysler Jeep Dodge RAM,74,3.4,14.0,51265,cars.com/vehicledetail/detail/792223660/overview/
2019 ,Chrysler,300 Touring,Used,18329,0,Gray,Black,Automatic,RWD,Toyo Financial Group,2,3.0,16.0,18680,cars.com/vehicledetail/detail/792835452/overview/
2011 ,Chrysler,Town & Country Limited,Used,89500,0,White,Beige,Automatic,FWD,Texas Auto North,28,4.4,21.0,9500,cars.com/vehicledetail/detail/789072016/overview/
2020 ,Chrysler,Pacifica Limited,New,0,50275,White,Black,Automatic,FWD,Gulfgate Dodge,1739,4.5,21.0,50275,cars.com/vehicledetail/detail/792840507/overview/
2018 ,Chrysler,Pacifica Limited,Used,34043,0,Silver,Black,Automatic,FWD,Hertz Car Sales Houston South,9,5.0,24.0,25745,cars.com/vehicledetail/detail/788261300/overview/
2016 ,Chrysler,Town & Country LX,Used,72887,0,Red,Black,Automatic,FWD,Don Auto World,15,1.8,24.0,12995,cars.com/vehicledetail/detail/789254606/overview/
2014 ,Chrysler,Town & Country Touring,Used,60565,0,Gray,Other,Automatic,FWD,DriveTime Gulf Freeway,2,1.0,25.0,15295,cars.com/vehicledetail/detail/795164167/overview/
2016 ,Chrysler,200 Limited,Used,21124,0,Gray,Gray,Automatic,FWD,Texans Auto Group,98,4.1,27.0,8950,cars.com/vehicledetail/detail/782970347/overview/
2008 ,Chrysler,Sebring Limited,Used,147326,0,Beige,Beige,Automatic,FWD,Oasis Park and Sell,21,2.3,28.0,3500,cars.com/vehicledetail/detail/786411855/overview/
2020 ,Chrysler,Pacifica Limited,New,0,50570,Gray,Other,Automatic,FWD,AutoNation Chrysler Dodge Jeep Ram Spring,860,4.3,28.0,46198,cars.com/vehicledetail/detail/792277982/overview/
2012 ,Chrysler,200 LX,Used,81492,0,Blue,Beige,Automatic,FWD,Ron Carter Cadillac Hyundai,7187,4.1,30.0,5988,cars.com/vehicledetail/detail/795994540/overview/
2019 ,Chrysler,Pacifica Limited,New,0,50270,White,Black,Automatic,FWD,DeMontrond Conroe,25,4.0,42.0,42171,cars.com/vehicledetail/detail/749352682/overview/
2020 ,Chrysler,Voyager L,New,0,28925,Red,Other,Automatic,FWD,Lithia Chrysler Dodge Jeep Ram Fiat of Bryan College Station,31,3.3,77.0,28714,cars.com/vehicledetail/detail/786578150/overview/
2018 ,Chrysler,Pacifica L,Used,11158,0,White,Other,Automatic,FWD,Lithia Chrysler Dodge Jeep Ram Fiat of Bryan College Station,31,3.3,77.0,24990,cars.com/vehicledetail/detail/792131918/overview/
2011 ,Chrysler,300C Base,Used,100518,0,Gray,Black,Automatic,RWD,Hyundai of Silsbee,602,4.6,99.0,10238,cars.com/vehicledetail/detail/790796599/overview/
2018 ,Chrysler,Pacifica Touring-L,Used,43504,0,White,Black,Automatic,FWD,Mid County Chrysler Dodge Jeep Ram,157,4.4,100.0,21903,cars.com/vehicledetail/detail/791786584/overview/
2014 ,Chrysler,Town & Country Touring,Used,71205,0,Brown,Black,Automatic,FWD,Austin Direct Auto Sales,64,2.5,137.0,11500,cars.com/vehicledetail/detail/791025487/overview/
2012 ,Chrysler,Town & Country Touring,Used,76845,0,Black,Black,Automatic,FWD,Austin Direct Auto Sales,64,2.5,137.0,9500,cars.com/vehicledetail/detail/791789312/overview/
2011 ,Chrysler,Town & Country Limited,Used,98070,0,Brown,Beige,Automatic,FWD,Austin Direct Auto Sales,64,2.5,137.0,9250,cars.com/vehicledetail/detail/792355868/overview/
2016 ,Chrysler,200 Limited,Used,67029,0,White,Black,Automatic,FWD,David McDavid Acura of Austin,341,4.1,138.0,9985,cars.com/vehicledetail/detail/793731871/overview/
2014 ,Chrysler,Town & Country Touring-L,Used,53368,0,Black,Other,Automatic,FWD,Shelley's Auto Sales,9,3.0,142.0,16995,cars.com/vehicledetail/detail/768228803/overview/
2008 ,Chrysler,Crossfire Limited,Used,55708,0,Blue,Gray,Automatic,RWD,World Car Kia New Braunfels,107,2.8,150.0,9000,cars.com/vehicledetail/detail/779418694/overview/
2018 ,Chrysler,Pacifica Limited,Used,41188,0,White,Black,Automatic,FWD,Hertz Car Sales Killeen,17,4.0,154.0,24399,cars.com/vehicledetail/detail/790699842/overview/
