Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
1971 ,DeTomaso,Pantera,Used,29929,0,Silver,Black,Manual,RWD,Fusion Luxury Motors,7,5.0,1374.0,124950,cars.com/vehicledetail/detail/732172455/overview/
1974 ,DeTomaso,Pantera,Used,7426,0,Red,Black,Automatic,Unknown,Paradise Automotive Group,19,5.0,1316.0,129000,cars.com/vehicledetail/detail/728556609/overview/
1972 ,DeTomaso,Pantera,Used,70571,0,Other,Other,Manual,RWD,Motorcar Classics,5,5.0,1459.0,199900,cars.com/vehicledetail/detail/784795045/overview/
1972 ,DeTomaso,Pantera,Used,56591,0,Beige,Black,Manual,RWD,"John Kufleitners Galleria of Vintage, Classic & Pristine Cars",0,0.0,1130.0,98500,cars.com/vehicledetail/detail/751486992/overview/
1972 ,DeTomaso,Pantera L,Used,7800,0,Red,Black,Manual,Unknown,"Autosport Designs, Inc.",1,1.0,1461.0,109500,cars.com/vehicledetail/detail/791342664/overview/
1972 ,DeTomaso,Pantera,Used,50768,0,Yellow,Black,Manual,RWD,Rosner Motorsports,2,5.0,931.0,84900,cars.com/vehicledetail/detail/783446520/overview/
1974 ,DeTomaso,Pantera,Used,32713,0,Red,Black,Other,RWD,Holcomb's Auto Sales and Service,52,5.0,793.0,79500,cars.com/vehicledetail/detail/774583577/overview/
1983 ,DeTomaso,Pantera GT5,Used,4571,0,Red,Beige,Manual,Unknown,Daniel Schmitt & Company,0,0.0,690.0,249900,cars.com/vehicledetail/detail/771537262/overview/
1974 ,DeTomaso,Pantera,Used,0,0,Red,Black,Other,RWD,Holcomb's Auto Sales and Service,52,5.0,793.0,79500,cars.com/vehicledetail/detail/791824672/overview/
1970 ,DeTomaso,Mangusta,Used,0,0,Red,Black,Other,Unknown,"Gullwing Motor Cars, Inc.",0,0.0,1436.0,189500,cars.com/vehicledetail/detail/787440007/overview/
