Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
2012 ,Dodge,Avenger SE,Used,100760,0,White,Black,Automatic,FWD,Texas Perfect Auto,6,3.5,7.0,4899,cars.com/vehicledetail/detail/768819336/overview/
2009 ,Dodge,Ram 3500 ST Quad Cab DRW,Used,199000,0,White,Gray,Automatic,4x4/4-wheel,SW Auto LLC,16,3.5,8.0,13450,cars.com/vehicledetail/detail/753908600/overview/
2009 ,Dodge,Journey SE,Used,131894,0,Green,Black,Automatic,FWD,Universal Auto Credit,70,4.0,13.0,3495,cars.com/vehicledetail/detail/794195742/overview/
2016 ,Dodge,Grand Caravan AVP/SE,Used,63146,0,White,Black,Automatic,FWD,ANF Auto Finance,121,2.9,17.0,13995,cars.com/vehicledetail/detail/765699982/overview/
2019 ,Dodge,Journey SE,New,0,25390,White,Black,Automatic,FWD,Gulfgate Dodge,1739,4.5,21.0,17332,cars.com/vehicledetail/detail/780036895/overview/
2019 ,Dodge,Journey SE,New,0,25390,White,Black,Automatic,FWD,Gulfgate Dodge,1739,4.5,21.0,17332,cars.com/vehicledetail/detail/780193525/overview/
2019 ,Dodge,Journey SE,New,0,26035,Red,Black,Automatic,FWD,Gulfgate Dodge,1739,4.5,21.0,17880,cars.com/vehicledetail/detail/779028181/overview/
2019 ,Dodge,Journey SE,New,0,26035,Silver,Black,Automatic,FWD,Gulfgate Dodge,1739,4.5,21.0,17880,cars.com/vehicledetail/detail/786693658/overview/
2019 ,Dodge,Journey SE Value Package,New,0,24740,Gray,Black,Automatic,FWD,Gulfgate Dodge,1739,4.5,21.0,16779,cars.com/vehicledetail/detail/788479688/overview/
2019 ,Dodge,Journey SE,New,0,25390,Silver,Black,Automatic,FWD,Gulfgate Dodge,1739,4.5,21.0,17332,cars.com/vehicledetail/detail/790859738/overview/
2019 ,Dodge,Journey SE Value Package,New,0,24740,Gray,Black,Automatic,FWD,Gulfgate Dodge,1739,4.5,21.0,16779,cars.com/vehicledetail/detail/793850074/overview/
