Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
2015 ,FIAT,500L Trekking,Used,70147,0,White,Black,Other,FWD,Archer Kia,284,4.0,5.0,10888,cars.com/vehicledetail/detail/791393256/overview/
2012 ,FIAT,500 Lounge,Used,67368,0,White,Other,Automatic,FWD,Bemer Motor Cars,176,4.8,7.0,8242,cars.com/vehicledetail/detail/786649122/overview/
2014 ,FIAT,500L Easy,Used,89000,0,Beige,Gray,Automatic,FWD,SW Auto LLC,16,3.5,8.0,7650,cars.com/vehicledetail/detail/763804662/overview/
2018 ,FIAT,500X Lounge,Used,18522,0,Brown,Black,Automatic,FWD,CarMax Southwest Freeway,5,4.7,8.0,16998,cars.com/vehicledetail/detail/796505476/overview/
2018 ,FIAT,124 Spider Abarth,Used,13483,0,Gray,Black,Automatic,RWD,Nxcess Motorcars,107,2.0,10.0,21888,cars.com/vehicledetail/detail/783100017/overview/
2014 ,FIAT,500L Trekking,Used,65030,0,Green,Black,Automatic,FWD,TX Auto Group,21,3.8,10.0,8500,cars.com/vehicledetail/detail/784645226/overview/
2016 ,FIAT,500X Pop,Used,22537,0,Gray,Black,Automatic,FWD,CarMax Fort Bend,1,1.0,10.0,12998,cars.com/vehicledetail/detail/791647169/overview/
2019 ,FIAT,124 Spider Classica,Used,141,0,Gray,Black,Automatic,RWD,Helfman Dodge Chrysler Jeep Ram FIAT Alfa Romeo Maserati,298,4.9,12.0,20945,cars.com/vehicledetail/detail/790668509/overview/
2013 ,FIAT,500 Pop,Used,37475,0,White,Other,Automatic,FWD,Houston Used Auto Sales,0,0.0,18.0,6895,cars.com/vehicledetail/detail/790579332/overview/
2016 ,FIAT,500X Pop,Used,13629,0,White,Black,Manual,FWD,CarMax North Houston,0,0.0,25.0,12998,cars.com/vehicledetail/detail/795979899/overview/
2013 ,FIAT,500 Sport Turbo,Used,84081,0,White,Other,Manual,FWD,Nexcar,1277,4.8,28.0,6800,cars.com/vehicledetail/detail/787043300/overview/
2018 ,FIAT,124 Spider Classica,Used,254,0,Other,Black,Manual,RWD,AutoNation Chrysler Dodge Jeep Ram Spring,860,4.3,28.0,18691,cars.com/vehicledetail/detail/791454103/overview/
2019 ,FIAT,500L Lounge,New,0,28255,Gray,Black,Automatic,FWD,Clear Lake Chrysler Jeep Dodge RAM FIAT,89,2.0,29.0,22887,cars.com/vehicledetail/detail/794662809/overview/
2019 ,FIAT,500X Trekking,New,0,30475,Black,Black,Automatic,AWD,Clear Lake Chrysler Jeep Dodge RAM FIAT,89,2.0,29.0,28342,cars.com/vehicledetail/detail/794662927/overview/
2019 ,FIAT,500X Pop,New,0,27025,Black,Black,Automatic,AWD,Clear Lake Chrysler Jeep Dodge RAM FIAT,89,2.0,29.0,24323,cars.com/vehicledetail/detail/794662689/overview/
2019 ,FIAT,500X Pop,New,0,27025,Blue,Black,Automatic,AWD,Clear Lake Chrysler Jeep Dodge RAM FIAT,89,2.0,29.0,24323,cars.com/vehicledetail/detail/794662683/overview/
2019 ,FIAT,500X Pop,New,0,27025,White,Black,Automatic,AWD,Clear Lake Chrysler Jeep Dodge RAM FIAT,89,2.0,29.0,24323,cars.com/vehicledetail/detail/794662685/overview/
2017 ,FIAT,500 Pop,Used,16767,0,Beige,Beige,Automatic,FWD,Clear Lake Chrysler Jeep Dodge RAM FIAT,89,2.0,29.0,10499,cars.com/vehicledetail/detail/796830047/overview/
2016 ,FIAT,500X Trekking,Used,48948,0,Black,Other,Automatic,FWD,DriveTime Kingwood,1,5.0,33.0,15995,cars.com/vehicledetail/detail/794430220/overview/
2015 ,FIAT,500 Sport,Used,45012,0,White,Black,Other,FWD,Tom Light Chevrolet,46,5.0,78.0,7850,cars.com/vehicledetail/detail/795559936/overview/
2018 ,FIAT,500C Pop,New,0,21220,Silver,Black,Automatic,FWD,Mid County Chrysler Dodge Jeep Ram,157,4.4,100.0,18304,cars.com/vehicledetail/detail/753101811/overview/
2018 ,FIAT,500C Pop,New,0,21220,Gray,Black,Automatic,FWD,Mid County Chrysler Dodge Jeep Ram,157,4.4,100.0,18304,cars.com/vehicledetail/detail/750914570/overview/
2018 ,FIAT,500 Pop,New,0,19725,Silver,Black,Automatic,FWD,Mid County Chrysler Dodge Jeep Ram,157,4.4,100.0,16906,cars.com/vehicledetail/detail/750419400/overview/
2018 ,FIAT,500X Trekking,New,0,26220,Gray,Black,Automatic,FWD,Mid County Chrysler Dodge Jeep Ram,157,4.4,100.0,17407,cars.com/vehicledetail/detail/727020532/overview/
2018 ,FIAT,500 Pop,New,0,19030,Gray,Black,Automatic,FWD,Mid County Chrysler Dodge Jeep Ram,157,4.4,100.0,16274,cars.com/vehicledetail/detail/745849435/overview/
2019 ,FIAT,124 Spider Classica,New,0,28430,Red,Black,Automatic,RWD,Mid County Chrysler Dodge Jeep Ram,157,4.4,100.0,26722,cars.com/vehicledetail/detail/773581258/overview/
2019 ,FIAT,124 Spider Classica,New,0,28430,Blue,Black,Automatic,RWD,Mid County Chrysler Dodge Jeep Ram,157,4.4,100.0,26722,cars.com/vehicledetail/detail/775005008/overview/
2019 ,FIAT,500L Trekking,New,0,25615,Red,Black,Automatic,FWD,Mid County Chrysler Dodge Jeep Ram,157,4.4,100.0,21037,cars.com/vehicledetail/detail/789155095/overview/
2019 ,FIAT,500L Trekking,New,0,26465,Blue,Black,Automatic,FWD,Mid County Chrysler Dodge Jeep Ram,157,4.4,100.0,23817,cars.com/vehicledetail/detail/789426425/overview/
2019 ,FIAT,500L Trekking,New,0,26215,White,Black,Automatic,FWD,Mid County Chrysler Dodge Jeep Ram,157,4.4,100.0,21583,cars.com/vehicledetail/detail/772512526/overview/
2016 ,FIAT,500X Lounge,Used,22880,0,Brown,Brown,Automatic,AWD,Covert Hutto,563,4.6,128.0,14997,cars.com/vehicledetail/detail/788633018/overview/
2015 ,FIAT,500L Trekking,Used,15400,0,White,Black,Automatic,FWD,Maxwell Ford Supercenter,293,4.5,130.0,11288,cars.com/vehicledetail/detail/794183775/overview/
2014 ,FIAT,500L Trekking,Used,25174,0,Black,Brown,Manual,FWD,CAG - Austin Subaru,548,4.9,132.0,8998,cars.com/vehicledetail/detail/789090319/overview/
2014 ,FIAT,500L Lounge,Used,61266,0,Red,Black,Automanual,FWD,Don Hewlett Chevrolet Buick,1671,4.6,136.0,9330,cars.com/vehicledetail/detail/788599540/overview/
2013 ,FIAT,500 Pop,Used,87840,0,Black,Gray,Manual,FWD,Austin Direct Auto Sales,64,2.5,137.0,5500,cars.com/vehicledetail/detail/793167006/overview/
2012 ,FIAT,500C Lounge,Used,63972,0,White,Red,Automatic,FWD,Austin Direct Auto Sales,64,2.5,137.0,7900,cars.com/vehicledetail/detail/783898900/overview/
2012 ,FIAT,500 Sport,Used,72844,0,Green,Beige,Automatic,FWD,Austin Direct Auto Sales,64,2.5,137.0,6750,cars.com/vehicledetail/detail/791644931/overview/
2016 ,FIAT,500X Trekking,Used,49511,0,Gray,Black,Automatic,FWD,Automax,318,4.0,155.0,11780,cars.com/vehicledetail/detail/795532029/overview/
2019 ,FIAT,500C Pop,New,0,21620,Gray,Black,Automatic,FWD,Dodge Country,8,2.0,156.0,21620,cars.com/vehicledetail/detail/762939363/overview/
2018 ,FIAT,500 Lounge,New,0,22630,White,Brown,Automatic,FWD,Dodge Country,8,2.0,156.0,22630,cars.com/vehicledetail/detail/758878405/overview/
2019 ,FIAT,500X Trekking,New,0,29925,White,Black,Automatic,AWD,Dodge Country,8,2.0,156.0,29925,cars.com/vehicledetail/detail/775687547/overview/
2018 ,FIAT,500 Pop,New,0,19230,Gray,Black,Automatic,FWD,Dodge Country,8,2.0,156.0,19230,cars.com/vehicledetail/detail/748966594/overview/
2018 ,FIAT,500 Pop,New,0,19230,Silver,Black,Automatic,FWD,Dodge Country,8,2.0,156.0,19230,cars.com/vehicledetail/detail/744428391/overview/
