Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
2019 ,Ferrari,812 Superfast,Ferrari Certified,144,0,Black,Black,Automanual,RWD,Ferrari Of Houston,0,0.0,9.0,419995,cars.com/vehicledetail/detail/794266359/overview/
2015 ,Ferrari,458 Italia SPECIALE,Ferrari Certified,6552,0,Black,Black,Automanual,RWD,Ferrari Of Houston,0,0.0,9.0,339995,cars.com/vehicledetail/detail/795949810/overview/
2015 ,Ferrari,California,Ferrari Certified,9215,0,Gray,Black,Automanual,RWD,Ferrari Of Houston,0,0.0,9.0,149995,cars.com/vehicledetail/detail/784183473/overview/
2012 ,Ferrari,California Base,Used,40553,0,White,Red,Automatic,RWD,ICON Exotics,2,5.0,10.0,89995,cars.com/vehicledetail/detail/796449071/overview/
2003 ,Ferrari,360 Spider,Used,16011,0,Gray,Red,Manual,RWD,SC Sales,6,5.0,10.0,99950,cars.com/vehicledetail/detail/760403495/overview/
2018 ,Ferrari,488 GTB Base,Used,2713,0,Other,Other,Automatic,RWD,Net Car Showroom,12,5.0,11.0,252999,cars.com/vehicledetail/detail/784633404/overview/
2016 ,Ferrari,488 GTB Base,Used,5891,0,Other,Other,Automatic,RWD,Net Car Showroom,12,5.0,11.0,229999,cars.com/vehicledetail/detail/780558323/overview/
2006 ,Ferrari,F430 Spider,Used,11257,0,Black,Black,Automatic,RWD,Crave Luxury Auto,25,4.3,33.0,109750,cars.com/vehicledetail/detail/792546674/overview/
2014 ,Ferrari,California Base,Used,8275,0,Red,Beige,Automanual,RWD,Jeff (Private Seller),0,0.0,33.0,124995,cars.com/vehicledetail/detail/786833769/overview/
2002 ,Ferrari,360 Modena,Used,11601,0,Gray,Black,Automatic,RWD,Crave Luxury Auto,25,4.3,33.0,85750,cars.com/vehicledetail/detail/781730248/overview/
2017 ,Ferrari,488 Spider Base,Used,9904,0,Other,Other,Automatic,RWD,Crave Luxury Auto,25,4.3,33.0,277750,cars.com/vehicledetail/detail/792207252/overview/
2013 ,Ferrari,458 Spider Base,Used,4598,0,Blue,Beige,Automatic,RWD,Crave Luxury Auto,25,4.3,33.0,209750,cars.com/vehicledetail/detail/794948314/overview/
2019 ,Ferrari,Portofino,Ferrari Certified,1206,0,Silver,Beige,Automanual,RWD,Ferrari Of The Woodlands,0,0.0,34.0,284995,cars.com/vehicledetail/detail/791490745/overview/
2015 ,Ferrari,California,Ferrari Certified,9215,0,Black,Black,Automanual,RWD,Ferrari Of The Woodlands,0,0.0,34.0,139995,cars.com/vehicledetail/detail/789740151/overview/
2014 ,Ferrari,California CONVERTIBLE,Ferrari Certified,7904,0,Other,Brown,Automanual,RWD,Ferrari of Austin,0,0.0,131.0,124985,cars.com/vehicledetail/detail/791786858/overview/
2015 ,Ferrari,458 Italia ITALIA,Ferrari Certified,11689,0,Silver,Brown,Automanual,RWD,Ferrari of Austin,0,0.0,131.0,194985,cars.com/vehicledetail/detail/787657812/overview/
2003 ,Ferrari,575 M Maranello,Used,17512,0,Other,Brown,Manual,RWD,Ferrari of Austin,0,0.0,131.0,124985,cars.com/vehicledetail/detail/762079151/overview/
2016 ,Ferrari,488 GTB,Ferrari Certified,7028,0,Silver,Black,Automanual,RWD,Ferrari of Austin,0,0.0,131.0,234985,cars.com/vehicledetail/detail/788836258/overview/
2005 ,Ferrari,Superamerica,Used,4918,0,Red,Black,Other,RWD,Ferrari of Austin,0,0.0,131.0,374985,cars.com/vehicledetail/detail/784905024/overview/
2002 ,Ferrari,360 Modena,Used,27809,0,Silver,Black,Manual,RWD,Jordan Motorcars,186,4.6,176.0,67499,cars.com/vehicledetail/detail/771401781/overview/
2014 ,Ferrari,458 Italia Base,Ferrari Certified,22681,0,Red,Black,Automatic,RWD,Ferrari of San Antonio,0,0.0,177.0,184900,cars.com/vehicledetail/detail/790060668/overview/
2004 ,Ferrari,Challenge Stradale,Used,23439,0,Black,Other,Automatic,RWD,Ferrari of San Antonio,0,0.0,177.0,175900,cars.com/vehicledetail/detail/791464371/overview/
2015 ,Ferrari,F12berlinetta Base,Ferrari Certified,5651,0,Red,Other,Automatic,RWD,Ferrari of San Antonio,0,0.0,177.0,249900,cars.com/vehicledetail/detail/791356603/overview/
2011 ,Ferrari,458 Italia Base,Used,6962,0,Yellow,Black,Automatic,RWD,Mark Motors,1,5.0,182.0,163888,cars.com/vehicledetail/detail/791601292/overview/
2014 ,Ferrari,458 Italia Base,Used,12090,0,Other,Beige,Automatic,RWD,Mark Motors,1,5.0,182.0,173888,cars.com/vehicledetail/detail/773444282/overview/
2015 ,Ferrari,458 Italia Base,Used,6594,0,Red,Black,Automatic,RWD,Mark Motors,1,5.0,182.0,215888,cars.com/vehicledetail/detail/793928491/overview/
2014 ,Ferrari,California Base,Used,7749,0,Red,Black,Automatic,RWD,Mark Motors,1,5.0,182.0,123888,cars.com/vehicledetail/detail/789898814/overview/
2004 ,Ferrari,360 Spider,Used,10132,0,Green,Beige,Manual,RWD,Mark Motors,1,5.0,182.0,108888,cars.com/vehicledetail/detail/780904948/overview/
2013 ,Ferrari,California Base,Used,8003,0,Other,Black,Automatic,RWD,Mark Motors,1,5.0,182.0,113888,cars.com/vehicledetail/detail/787050246/overview/
2016 ,Ferrari,California T,Used,16327,0,Red,Black,Automatic,RWD,Mark Motors,1,5.0,182.0,137777,cars.com/vehicledetail/detail/794615193/overview/
2016 ,Ferrari,California T,Used,4255,0,White,Black,Automatic,RWD,Mark Motors,1,5.0,182.0,152888,cars.com/vehicledetail/detail/775018424/overview/
2011 ,Ferrari,458 Italia Base,Used,6485,0,White,Other,Automatic,RWD,Dow Autoplex,55,4.4,204.0,179995,cars.com/vehicledetail/detail/660226314/overview/
2019 ,Ferrari,488 Spider Base,Used,400,0,Red,Black,Automanual,RWD,j (Private Seller),0,0.0,223.0,308061,cars.com/vehicledetail/detail/795961498/overview/
2018 ,Ferrari,812 Superfast Base,Used,1747,0,Gray,Other,Automatic,RWD,Aston Martin of Dallas,12,5.0,226.0,366950,cars.com/vehicledetail/detail/791298583/overview/
2008 ,Ferrari,F430 Scuderia,Used,16386,0,Black,Black,Automatic,RWD,Aston Martin of Dallas,12,5.0,226.0,166900,cars.com/vehicledetail/detail/788904510/overview/
2015 ,Ferrari,California T,Used,3253,0,White,Black,Automatic,RWD,Aston Martin of Dallas,12,5.0,226.0,152900,cars.com/vehicledetail/detail/791649277/overview/
1987 ,Ferrari,Testarossa,Used,19052,0,Red,Other,Manual,RWD,Texas Cars Direct,182,4.8,233.0,124987,cars.com/vehicledetail/detail/784190545/overview/
2016 ,Ferrari,California T,Used,4419,0,Other,Other,Automatic,RWD,Smart Auto Leasing,24,4.5,233.0,149900,cars.com/vehicledetail/detail/791568439/overview/
2014 ,Ferrari,California Base,Used,7735,0,Black,Black,Automatic,RWD,Texas Cars Direct,182,4.8,233.0,116996,cars.com/vehicledetail/detail/794504217/overview/
2013 ,Ferrari,California Base,Used,22962,0,Black,Brown,Automatic,RWD,Premier Autos of Dallas,10,4.2,235.0,95799,cars.com/vehicledetail/detail/784433796/overview/
2014 ,Ferrari,FF Base,Used,7125,0,White,Other,Automatic,AWD,Tactical Fleet,3,5.0,235.0,149900,cars.com/vehicledetail/detail/783199590/overview/
2007 ,Ferrari,599 GTB Fiorano F1A,Used,7850,0,Black,Black,Automatic,RWD,Tactical Fleet,3,5.0,235.0,144900,cars.com/vehicledetail/detail/795129403/overview/
2015 ,Ferrari,458 Spider Base,Used,5350,0,Black,Black,Automatic,RWD,Tactical Fleet,3,5.0,235.0,234900,cars.com/vehicledetail/detail/796441478/overview/
2011 ,Ferrari,458 Italia Base,Used,9475,0,Other,Black,Automatic,RWD,Tactical Fleet,3,5.0,235.0,166900,cars.com/vehicledetail/detail/791238647/overview/
2002 ,Ferrari,360 Modena,Used,11250,0,Yellow,Black,Automatic,RWD,Tactical Fleet,3,5.0,235.0,82900,cars.com/vehicledetail/detail/783968581/overview/
2017 ,Ferrari,488 Spider Base,Used,4395,0,Other,Black,Automatic,RWD,Tactical Fleet,3,5.0,235.0,282900,cars.com/vehicledetail/detail/785199854/overview/
2005 ,Ferrari,F430 Spider,Used,9909,0,Red,Beige,Manual,RWD,Earth Motorcars,374,4.5,236.0,105990,cars.com/vehicledetail/detail/790304166/overview/
2005 ,Ferrari,F430 Berlinetta,Used,18315,0,Black,Black,Manual,RWD,Earth Motorcars,374,4.5,236.0,89995,cars.com/vehicledetail/detail/786228054/overview/
2012 ,Ferrari,California,Used,10005,0,Silver,Brown,Automatic,RWD,Earth Motorcars,374,4.5,236.0,98990,cars.com/vehicledetail/detail/791606943/overview/
2005 ,Ferrari,F430 Berlinetta,Used,27666,0,Black,Beige,Automatic,RWD,Dallas Auto Center,32,4.7,237.0,87900,cars.com/vehicledetail/detail/792318090/overview/
1999 ,Ferrari,360 Modena,Used,14900,0,Yellow,Red,Automanual,Unknown,Dallas Auto Center,32,4.7,237.0,72900,cars.com/vehicledetail/detail/776407455/overview/
2011 ,Ferrari,458 Italia Base,Used,17554,0,Red,Beige,Automatic,RWD,Boardwalk Ferrari Maserati,776,4.9,239.0,162995,cars.com/vehicledetail/detail/794789486/overview/
2018 ,Ferrari,California T,Used,102,0,Other,Other,Automatic,RWD,Boardwalk Ferrari Maserati,776,4.9,239.0,299900,cars.com/vehicledetail/detail/757969444/overview/
2019 ,Ferrari,812 Superfast Base,Used,714,0,Silver,Black,Automatic,RWD,Boardwalk Ferrari Maserati,776,4.9,239.0,389900,cars.com/vehicledetail/detail/791749768/overview/
2005 ,Ferrari,Superamerica,Used,1339,0,Red,Beige,Other,RWD,Boardwalk Ferrari Maserati,776,4.9,239.0,374900,cars.com/vehicledetail/detail/768924704/overview/
2018 ,Ferrari,GTC4Lusso V12,Used,2278,0,Black,Beige,Automatic,AWD,Boardwalk Ferrari Maserati,776,4.9,239.0,227900,cars.com/vehicledetail/detail/763718108/overview/
2011 ,Ferrari,599 GTB Fiorano Base,Used,9770,0,White,Black,Automatic,RWD,Boardwalk Ferrari Maserati,776,4.9,239.0,164995,cars.com/vehicledetail/detail/742193542/overview/
2016 ,Ferrari,488 Spider Base,Used,2889,0,Red,Black,Automatic,RWD,Boardwalk Ferrari Maserati,776,4.9,239.0,273900,cars.com/vehicledetail/detail/770591029/overview/
2014 ,Ferrari,California Base,Used,6601,0,White,Black,Automatic,RWD,Boardwalk Ferrari Maserati,776,4.9,239.0,122900,cars.com/vehicledetail/detail/788305101/overview/
2017 ,Ferrari,F12berlinetta Base,Used,3155,0,Other,Black,Automatic,RWD,Boardwalk Ferrari Maserati,776,4.9,239.0,279900,cars.com/vehicledetail/detail/794789487/overview/
2017 ,Ferrari,F12berlinetta Base,Used,4506,0,Black,Black,Automatic,RWD,Boardwalk Ferrari Maserati,776,4.9,239.0,269900,cars.com/vehicledetail/detail/785864183/overview/
2017 ,Ferrari,488 Spider Base,Used,4560,0,Gray,Red,Automatic,RWD,Boardwalk Ferrari Maserati,776,4.9,239.0,274900,cars.com/vehicledetail/detail/795651626/overview/
2014 ,Ferrari,California Base,Used,6400,0,White,Black,Automanual,AWD,Jon (Private Seller),0,0.0,241.0,124995,cars.com/vehicledetail/detail/784114884/overview/
2013 ,Ferrari,458 Italia Base,Used,18958,0,Black,Other,Automatic,RWD,Reserve Auto Group,0,0.0,244.0,158000,cars.com/vehicledetail/detail/794501863/overview/
2010 ,Ferrari,California,Used,22372,0,Silver,Other,Automatic,RWD,Wells Auto Group,29,3.5,248.0,84797,cars.com/vehicledetail/detail/772669711/overview/
2006 ,Ferrari,F430 Berlinetta,Used,32205,0,Other,Other,Automatic,RWD,Wells Auto Group,29,3.5,248.0,88998,cars.com/vehicledetail/detail/786240258/overview/
2009 ,Ferrari,F430 Spider,Used,2328,0,Black,Black,Automatic,RWD,Boardwalk Ferrari Maserati,776,4.9,239.0,319900,cars.com/vehicledetail/detail/773882436/overview/
2008 ,Ferrari,599 GTB Fiorano,Used,5482,0,Black,Other,Automatic,RWD,Crave Luxury Auto,25,4.3,33.0,159750,cars.com/vehicledetail/detail/794168655/overview/
1995 ,Ferrari,F355 Spider,Used,36222,0,Red,Beige,Manual,Unknown,Earth Motorcars,374,4.5,236.0,76991,cars.com/vehicledetail/detail/791871213/overview/
2008 ,Ferrari,599 GTB Fiorano,Used,14274,0,Black,Black,Manual,RWD,S (Private Seller),0,0.0,230.0,299999,cars.com/vehicledetail/detail/793288551/overview/
2011 ,Ferrari,California Base,Used,9431,0,Black,Brown,Automatic,RWD,Audi Fort Worth,259,4.7,234.0,94000,cars.com/vehicledetail/detail/793217151/overview/
2017 ,Ferrari,F12berlinetta,Ferrari Certified,8430,0,Red,Black,Automanual,RWD,Ferrari Of The Woodlands,0,0.0,34.0,249995,cars.com/vehicledetail/detail/792497557/overview/
2017 ,Ferrari,488 GTB Base,Used,5203,0,Yellow,Other,Automatic,RWD,Ferrari of Austin,0,0.0,131.0,259985,cars.com/vehicledetail/detail/782556464/overview/
2016 ,Ferrari,California T,Ferrari Certified,13724,0,White,Other,Automanual,RWD,Ferrari of Austin,0,0.0,131.0,159985,cars.com/vehicledetail/detail/762583666/overview/
2015 ,Ferrari,458 Italia Base,Used,5911,0,Black,Other,Automatic,RWD,Ferrari of San Antonio,0,0.0,177.0,219900,cars.com/vehicledetail/detail/773039403/overview/
2014 ,Ferrari,458 Spider Base,Used,10015,0,White,Black,Automatic,RWD,Tactical Fleet,3,5.0,235.0,217900,cars.com/vehicledetail/detail/792567988/overview/
2016 ,Ferrari,488 GTB Base,Used,5100,0,White,Other,Automatic,RWD,Ferrari of Austin,0,0.0,131.0,209985,cars.com/vehicledetail/detail/766629254/overview/
2019 ,Ferrari,488 Spider Base,Used,407,0,Red,Other,Automatic,RWD,Auto Merchants Inc.,105,3.5,238.0,314950,cars.com/vehicledetail/detail/796334373/overview/
2019 ,Ferrari,Portofino,Ferrari Certified,1250,0,Silver,Beige,Automanual,RWD,Ferrari Of Houston,0,0.0,9.0,284995,cars.com/vehicledetail/detail/789956987/overview/
2018 ,Ferrari,488 GTB Base,Used,2154,0,Red,Other,Automatic,RWD,Ferrari of Austin,0,0.0,131.0,269985,cars.com/vehicledetail/detail/782556345/overview/
2017 ,Ferrari,F12berlinetta,Ferrari Certified,8430,0,Red,Black,Automanual,RWD,Ferrari Of Houston,0,0.0,9.0,249995,cars.com/vehicledetail/detail/785004719/overview/
2018 ,Ferrari,488 Spider,Ferrari Certified,6588,0,White,Black,Automanual,RWD,Ferrari of Austin,0,0.0,131.0,299985,cars.com/vehicledetail/detail/780135873/overview/
2001 ,Ferrari,456 M GTA,Used,19675,0,Blue,Beige,Automatic,RWD,Nxcess Motorcars,107,2.0,10.0,59888,cars.com/vehicledetail/detail/762804073/overview/
2012 ,Ferrari,California Base,Used,9993,0,White,Black,Automatic,RWD,Crave Luxury Auto,25,4.3,33.0,119750,cars.com/vehicledetail/detail/789544915/overview/
2018 ,Ferrari,488 Spider Base,Ferrari Certified,1553,0,White,Beige,Automatic,RWD,Ferrari of San Antonio,0,0.0,177.0,299900,cars.com/vehicledetail/detail/767395659/overview/
2008 ,Ferrari,F430 Scuderia,Used,50759,0,Black,Black,Automatic,RWD,Jordan Motorcars,186,4.6,176.0,142500,cars.com/vehicledetail/detail/780888603/overview/
2018 ,Ferrari,488 GTB,Ferrari Certified,4372,0,Red,Black,Automanual,RWD,Ferrari of Austin,0,0.0,131.0,269985,cars.com/vehicledetail/detail/761430220/overview/
2008 ,Ferrari,599 GTB Fiorano,Used,23865,0,Red,Beige,Manual,RWD,Boardwalk Ferrari Maserati,776,4.9,239.0,128995,cars.com/vehicledetail/detail/765703230/overview/
2017 ,Ferrari,488 Spider,Ferrari Certified,3758,0,Other,Black,Automanual,RWD,Ferrari of Austin,0,0.0,131.0,279985,cars.com/vehicledetail/detail/778128208/overview/
2005 ,Ferrari,F430 Spider,Used,10212,0,Red,Other,Automatic,RWD,Mark Motors,1,5.0,182.0,118777,cars.com/vehicledetail/detail/793284634/overview/
2016 ,Ferrari,California T,Used,3629,0,Silver,Black,Automatic,RWD,Ferrari of Austin,0,0.0,131.0,159985,cars.com/vehicledetail/detail/773318845/overview/
2004 ,Ferrari,Challenge Stradale,Used,47631,0,Silver,Black,Automatic,RWD,Boardwalk Ferrari Maserati,776,4.9,239.0,168500,cars.com/vehicledetail/detail/775693713/overview/
2017 ,Ferrari,488 Spider Base,Used,3398,0,Gray,Black,Automatic,RWD,Ferrari of Austin,0,0.0,131.0,279985,cars.com/vehicledetail/detail/792183894/overview/
2019 ,Ferrari,488 Spider,Ferrari Certified,784,0,Black,Other,Automanual,RWD,Ferrari Of Houston,0,0.0,9.0,359995,cars.com/vehicledetail/detail/795949862/overview/
2016 ,Ferrari,488 GTB Base,Used,9387,0,Black,Beige,Automatic,RWD,ICON Exotics,2,5.0,10.0,216995,cars.com/vehicledetail/detail/792577305/overview/
2009 ,Ferrari,F430 Spider,Used,8151,0,Silver,Black,Automatic,RWD,Ferrari of Austin,0,0.0,131.0,299985,cars.com/vehicledetail/detail/758415325/overview/
2007 ,Ferrari,599 GTB Fiorano F1A,Ferrari Certified,903,0,Gray,Other,Manual,RWD,Ferrari of San Antonio,0,0.0,177.0,199900,cars.com/vehicledetail/detail/773039205/overview/
2017 ,Ferrari,488 Spider Base,Used,6184,0,Other,Brown,Automatic,RWD,Boardwalk Ferrari Maserati,776,4.9,239.0,267900,cars.com/vehicledetail/detail/788305102/overview/
2009 ,Ferrari,F430 Spider,Ferrari Certified,4773,0,Black,Black,Manual,RWD,Ferrari of San Antonio,0,0.0,177.0,309900,cars.com/vehicledetail/detail/789231609/overview/
2015 ,Ferrari,458 Spider Base,Used,5625,0,Black,Black,Automatic,RWD,Tactical Fleet,3,5.0,235.0,234900,cars.com/vehicledetail/detail/793773013/overview/
1999 ,Ferrari,F355 Spider,Used,26557,0,Black,Beige,Automanual,Unknown,Ferrari of Austin,0,0.0,131.0,114985,cars.com/vehicledetail/detail/786067637/overview/
2019 ,Ferrari,488 Spider Base,Used,1444,0,Red,Black,Automatic,RWD,Boardwalk Ferrari Maserati,776,4.9,239.0,319900,cars.com/vehicledetail/detail/793286251/overview/
