Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
2020 ,GMC,Terrain SLT,New,0,38810,White,Gray,Automatic,FWD,West Point Buick GMC,1859,4.9,6.0,30050,cars.com/vehicledetail/detail/779255010/overview/
2020 ,GMC,Terrain SLT,New,0,38810,White,Black,Automatic,FWD,West Point Buick GMC,1859,4.9,6.0,30050,cars.com/vehicledetail/detail/782120120/overview/
2019 ,GMC,Acadia SLT-1,New,0,44005,Silver,Black,Automatic,FWD,West Point Buick GMC,1859,4.9,6.0,31005,cars.com/vehicledetail/detail/781142490/overview/
2020 ,GMC,Terrain SLT,New,0,39305,Black,Black,Automatic,FWD,West Point Buick GMC,1859,4.9,6.0,30454,cars.com/vehicledetail/detail/781302776/overview/
2020 ,GMC,Terrain SLT,New,0,39305,Silver,Gray,Automatic,FWD,West Point Buick GMC,1859,4.9,6.0,30514,cars.com/vehicledetail/detail/789679927/overview/
2020 ,GMC,Terrain SLT,New,0,39305,Blue,Gray,Automatic,FWD,West Point Buick GMC,1860,4.9,6.0,30514,cars.com/vehicledetail/detail/788469569/overview/
2020 ,GMC,Terrain SLT,New,0,38695,Black,Black,Automatic,FWD,West Point Buick GMC,1859,4.9,6.0,30017,cars.com/vehicledetail/detail/786309194/overview/
2018 ,GMC,Sierra 1500 SLT,Used,20305,0,Blue,Brown,Automatic,RWD,Carz R Us,8,4.3,6.0,38995,cars.com/vehicledetail/detail/795851826/overview/
2018 ,GMC,Acadia SLT-1,Used,23547,0,Silver,Black,Automatic,FWD,Mac Haik Chevrolet,211,3.9,7.0,27992,cars.com/vehicledetail/detail/793303114/overview/
2015 ,GMC,Sierra 1500 SLT,Used,37422,0,Gray,Gray,Automatic,RWD,Motorsports Imports,0,0.0,12.0,25850,cars.com/vehicledetail/detail/792876593/overview/
2019 ,GMC,Savana 2500 Work Van,New,0,77437,Black,Other,Automatic,RWD,Beck & Masten North,1100,4.3,16.0,62237,cars.com/vehicledetail/detail/790270325/overview/
2019 ,GMC,Terrain Denali,New,0,41279,Black,Other,Automatic,FWD,Beck & Masten North,1100,4.3,16.0,31660,cars.com/vehicledetail/detail/776539238/overview/
2019 ,GMC,Sierra 1500 Limited SLE,New,0,49424,Red,Black,Automatic,4x4/4-wheel,Beck & Masten North,1100,4.3,16.0,35075,cars.com/vehicledetail/detail/793004844/overview/
2019 ,GMC,Sierra 1500 Elevation,New,0,45499,Silver,Other,Automatic,RWD,Beck & Masten North,1100,4.3,16.0,33450,cars.com/vehicledetail/detail/782148558/overview/
2019 ,GMC,Sierra 1500 Limited SLE,New,0,44569,Black,Black,Automatic,RWD,Beck & Masten North,1100,4.3,16.0,29220,cars.com/vehicledetail/detail/782550688/overview/
2019 ,GMC,Savana 2500 Work Van,New,0,80909,Other,Other,Automatic,RWD,Beck & Masten North,1100,4.3,16.0,70132,cars.com/vehicledetail/detail/790270007/overview/
2019 ,GMC,Canyon SLE,New,0,37251,Gray,Other,Automatic,RWD,Beck & Masten North,1100,4.3,16.0,26215,cars.com/vehicledetail/detail/769910967/overview/
2018 ,GMC,Savana 2500 Work Van,Used,22034,0,White,Other,Automatic,RWD,Beck & Masten North,1100,4.3,16.0,20788,cars.com/vehicledetail/detail/793153416/overview/
2019 ,GMC,Sierra 1500 Limited Base,New,0,39359,Black,Gray,Automatic,RWD,Beck & Masten North,1100,4.3,16.0,26990,cars.com/vehicledetail/detail/786798976/overview/
2019 ,GMC,Acadia SLT-1,New,0,42799,Blue,Other,Automatic,FWD,Beck & Masten North,1100,4.3,16.0,30100,cars.com/vehicledetail/detail/770650789/overview/
2019 ,GMC,Sierra 1500 Limited Base,New,0,39154,White,Gray,Automatic,RWD,Beck & Masten North,1100,4.3,16.0,25995,cars.com/vehicledetail/detail/781926763/overview/
2019 ,GMC,Sierra 1500 Limited Base,New,0,38864,White,Gray,Automatic,RWD,Beck & Masten North,1100,4.3,16.0,26495,cars.com/vehicledetail/detail/786799055/overview/
2020 ,GMC,Sierra 1500 Elevation,New,0,43609,White,Other,Automatic,RWD,Beck & Masten North,1100,4.3,16.0,30310,cars.com/vehicledetail/detail/793004851/overview/
2019 ,GMC,Sierra 1500 Elevation,New,0,45314,Black,Other,Automatic,RWD,Beck & Masten North,1100,4.3,16.0,33455,cars.com/vehicledetail/detail/781926538/overview/
2019 ,GMC,Yukon SLE,New,0,54164,Gray,Other,Automatic,RWD,Beck & Masten North,1100,4.3,16.0,40865,cars.com/vehicledetail/detail/773421545/overview/
2019 ,GMC,Canyon SLE,New,0,36756,Black,Other,Automatic,RWD,Beck & Masten North,1100,4.3,16.0,26220,cars.com/vehicledetail/detail/779475729/overview/
2019 ,GMC,Sierra 1500 Limited Base,New,0,39359,Black,Gray,Automatic,RWD,Beck & Masten North,1100,4.3,16.0,26990,cars.com/vehicledetail/detail/785974593/overview/
2020 ,GMC,Savana 3500 Work Van,New,0,39594,White,Other,Automatic,RWD,Beck & Masten North,1100,4.3,16.0,31795,cars.com/vehicledetail/detail/793570695/overview/
2019 ,GMC,Sierra 1500 Limited Base,New,0,37904,White,Gray,Automatic,RWD,Beck & Masten North,1100,4.3,16.0,25055,cars.com/vehicledetail/detail/755583360/overview/
2019 ,GMC,Sierra 1500 Denali,New,0,0,Black,Black,Automatic,4x4/4-wheel,DeMontrond Houston,85,3.8,23.0,47446,cars.com/vehicledetail/detail/782342415/overview/
2020 ,GMC,Sierra 1500 Elevation,New,0,0,Black,Black,Automatic,RWD,DeMontrond Houston,85,3.8,23.0,32491,cars.com/vehicledetail/detail/784836848/overview/
2020 ,GMC,Terrain Denali,New,0,0,White,Gray,Automatic,FWD,DeMontrond Houston,85,3.8,23.0,30902,cars.com/vehicledetail/detail/779528633/overview/
2019 ,GMC,Sierra 1500 SLT,New,0,0,Silver,Black,Automatic,RWD,DeMontrond Houston,85,3.8,23.0,36495,cars.com/vehicledetail/detail/768769357/overview/
