Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
1994 ,Geo,Tracker Soft Top,Used,78354,0,Green,Gray,Automatic,Unknown,Your Choice Autos Waukegan,61,3.8,973.0,600,cars.com/vehicledetail/detail/788027077/overview/
1992 ,Geo,Metro LSi,Used,104796,0,Red,Gray,Automatic,FWD,Clear Choice Auto Sales #3,25,4.3,1275.0,3995,cars.com/vehicledetail/detail/777017742/overview/
1994 ,Geo,Tracker Hardtop 4WD,Used,84985,0,White,Blue,Manual,4x4/4-wheel,Brad (Private Seller),0,0.0,1208.0,7400,cars.com/vehicledetail/detail/795446149/overview/
1994 ,Geo,Prizm LSi,Used,245901,0,Blue,Blue,Other,FWD,East Coast Auto Source,56,3.2,1059.0,995,cars.com/vehicledetail/detail/749143115/overview/
1993 ,Geo,Tracker LSi Hardtop 4WD,Used,230923,0,Beige,Gray,Manual,4x4/4-wheel,Alexandro (Private Seller),0,0.0,1430.0,5000,cars.com/vehicledetail/detail/794674201/overview/
1994 ,Geo,Tracker,Used,182984,0,Green,Black,Manual,RWD,Lee Auto Group,138,4.3,868.0,0,cars.com/vehicledetail/detail/795535359/overview/
1997 ,Geo,Prizm,Used,158231,0,Silver,White,Manual,FWD,North College Motors,0,0.0,920.0,2288,cars.com/vehicledetail/detail/796910952/overview/
1994 ,Geo,Metro,Used,105145,0,Gray,Gray,Other,FWD,East Coast Auto Source,56,3.2,1059.0,1795,cars.com/vehicledetail/detail/793770602/overview/
1995 ,Geo,Metro LSi,Used,223000,0,Blue,Gray,Manual,FWD,Blake (Private Seller),0,0.0,1071.0,1000,cars.com/vehicledetail/detail/795075722/overview/
1995 ,Geo,Prizm LSi,Used,124700,0,Green,Other,Automatic,FWD,Pauli Ford,399,4.9,1103.0,1500,cars.com/vehicledetail/detail/797918713/overview/
1997 ,Geo,Prizm LSi,Used,231000,0,Gold,Gold,Automatic,FWD,Bradley (Private Seller),0,0.0,1156.0,750,cars.com/vehicledetail/detail/797786875/overview/
1996 ,Geo,Prizm,Used,347949,0,Other,Other,Other,FWD,Sound Ford,276,4.4,1868.0,0,cars.com/vehicledetail/detail/796346661/overview/
