Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
2013 ,Honda,Odyssey EX-L,Used,70757,0,Silver,Gray,Automatic,FWD,Helfman Ford - Stafford,174,4.3,5.0,13844,cars.com/vehicledetail/detail/786296976/overview/
2010 ,Honda,Accord Crosstour EX-L,Used,134045,0,Gray,Black,Automatic,4x4/4-wheel,Texas Perfect Auto,6,3.5,7.0,6799,cars.com/vehicledetail/detail/795269171/overview/
2019 ,Honda,Fit EX,New,0,19890,Silver,Black,CVT,FWD,Spring Branch Honda,37,4.6,8.0,19890,cars.com/vehicledetail/detail/789875161/overview/
2019 ,Honda,Civic Type R Touring,New,0,37230,Gray,Black,Manual,FWD,Spring Branch Honda,37,4.6,8.0,37230,cars.com/vehicledetail/detail/795894494/overview/
2019 ,Honda,HR-V Touring,New,0,29585,Purple,Black,CVT,AWD,Spring Branch Honda,37,4.6,8.0,29027,cars.com/vehicledetail/detail/765838818/overview/
2019 ,Honda,Accord Hybrid EX-L,Used,50,0,White,Black,CVT,FWD,CarMax Southwest Freeway,5,4.7,8.0,30998,cars.com/vehicledetail/detail/795988291/overview/
2019 ,Honda,Civic Si Base,New,0,25220,White,Black,Manual,FWD,Spring Branch Honda,37,4.6,8.0,23742,cars.com/vehicledetail/detail/772510368/overview/
2016 ,Honda,CR-V SE,Honda Certified,7962,0,Silver,Gray,CVT,FWD,Spring Branch Honda,37,4.6,8.0,19227,cars.com/vehicledetail/detail/796231641/overview/
2020 ,Honda,Accord Touring 2.0T,New,0,37030,White,White,Automatic,FWD,Spring Branch Honda,37,4.6,8.0,37030,cars.com/vehicledetail/detail/795215651/overview/
2013 ,Honda,Insight Base,Used,105686,0,Red,Gray,CVT,FWD,Sterling McCall Toyota Fort Bend,141,4.4,9.0,6491,cars.com/vehicledetail/detail/796209490/overview/
2008 ,Honda,Element EX,Used,88885,0,Silver,Black,Manual,FWD,Autos-Mobiles,31,5.0,10.0,12980,cars.com/vehicledetail/detail/776883463/overview/
2015 ,Honda,CR-V LX,Used,74340,0,Gray,Gray,CVT,AWD,Motorsports Imports,0,0.0,12.0,12850,cars.com/vehicledetail/detail/783339147/overview/
2013 ,Honda,Crosstour EX-L,Used,86482,0,Silver,Other,Automatic,FWD,DriveTime NW Freeway,1,5.0,14.0,15395,cars.com/vehicledetail/detail/794761225/overview/
2019 ,Honda,Fit EX,New,0,19890,Gray,Other,CVT,FWD,Russell & Smith Honda,2441,4.9,14.0,19890,cars.com/vehicledetail/detail/795761877/overview/
2020 ,Honda,Accord Sport 1.5T,New,0,27460,White,Black,Manual,FWD,Russell & Smith Honda,2441,4.9,14.0,27460,cars.com/vehicledetail/detail/795200112/overview/
2020 ,Honda,Accord Sport 1.5T,New,0,27460,Black,Black,CVT,FWD,Russell & Smith Honda,2441,4.9,14.0,27460,cars.com/vehicledetail/detail/795200343/overview/
2020 ,Honda,Insight EX,New,0,25240,Gray,Black,CVT,FWD,Russell & Smith Honda,2441,4.9,14.0,25240,cars.com/vehicledetail/detail/795200753/overview/
2020 ,Honda,Insight Touring,New,0,29270,Black,Black,CVT,FWD,Russell & Smith Honda,2441,4.9,14.0,29270,cars.com/vehicledetail/detail/796554111/overview/
2019 ,Honda,Fit EX,New,0,19890,Silver,Other,CVT,FWD,Russell & Smith Honda,2441,4.9,14.0,19890,cars.com/vehicledetail/detail/795200189/overview/
2020 ,Honda,Insight Touring,New,0,29270,Gray,Brown,CVT,FWD,Russell & Smith Honda,2441,4.9,14.0,29270,cars.com/vehicledetail/detail/795200859/overview/
2020 ,Honda,Insight EX,New,0,25240,Black,Brown,CVT,FWD,Russell & Smith Honda,2441,4.9,14.0,25240,cars.com/vehicledetail/detail/795200398/overview/
2020 ,Honda,Accord Sport 1.5T,New,0,26530,Silver,Black,CVT,FWD,Russell & Smith Honda,2441,4.9,14.0,26530,cars.com/vehicledetail/detail/795200416/overview/
2019 ,Honda,Civic LX,Used,10650,0,Black,Black,CVT,FWD,AAA Auto Center,0,0.0,18.0,14900,cars.com/vehicledetail/detail/789760744/overview/
2019 ,Honda,Fit Sport,New,0,0,White,Black,CVT,FWD,Honda of Spring,553,4.2,26.0,19230,cars.com/vehicledetail/detail/796187732/overview/
2017 ,Honda,Pilot EX-L,Used,45314,0,Black,Gray,Automatic,FWD,Honda of Spring,553,4.2,26.0,25250,cars.com/vehicledetail/detail/793716006/overview/
2020 ,Honda,Accord EX 1.5T,New,0,0,Blue,Gray,CVT,FWD,Honda of Spring,553,4.2,26.0,28700,cars.com/vehicledetail/detail/790464531/overview/
