Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
2005 ,Hummer,H2 SUT,Used,65235,0,Black,Other,Automatic,4x4/4-wheel,USA CAR  EXPO,95,3.9,3.0,24900,cars.com/vehicledetail/detail/794351525/overview/
2008 ,Hummer,H2,Used,75445,0,Gray,Other,Automatic,4x4/4-wheel,USA CAR  EXPO,95,3.9,3.0,34900,cars.com/vehicledetail/detail/777817718/overview/
2006 ,Hummer,H2,Used,84091,0,Blue,Black,Automatic,4x4/4-wheel,Ultimate Motorsports Inc.,520,4.8,6.0,19495,cars.com/vehicledetail/detail/793952423/overview/
2006 ,Hummer,H2,Used,175907,0,Red,Black,Automatic,4x4/4-wheel,Colony Auto Group,0,0.0,7.0,13800,cars.com/vehicledetail/detail/795685132/overview/
2005 ,Hummer,H2 SUT,Used,142317,0,Black,Black,Automatic,4x4/4-wheel,R&T Expo,19,4.3,7.0,19995,cars.com/vehicledetail/detail/788646247/overview/
2009 ,Hummer,H3,Used,119605,0,Silver,Black,Automatic,4x4/4-wheel,R&T Expo,19,4.3,7.0,10995,cars.com/vehicledetail/detail/773512219/overview/
2003 ,Hummer,H2,Used,165000,0,Orange,Beige,Automatic,4x4/4-wheel,SW Auto LLC,16,3.5,8.0,9875,cars.com/vehicledetail/detail/759549229/overview/
2007 ,Hummer,H3,Used,145000,0,Red,Gray,Automatic,4x4/4-wheel,SW Auto LLC,16,3.5,8.0,8650,cars.com/vehicledetail/detail/783072956/overview/
2009 ,Hummer,H2,Used,128236,0,Silver,Black,Automatic,4x4/4-wheel,Autos-Mobiles,31,5.0,10.0,35999,cars.com/vehicledetail/detail/792408062/overview/
2006 ,Hummer,H1 Alpha Open Top,Used,13180,0,Other,Brown,Automatic,4x4/4-wheel,ICON Exotics,2,5.0,10.0,159995,cars.com/vehicledetail/detail/794606941/overview/
2006 ,Hummer,H2,Used,118749,0,Blue,Black,Automatic,4x4/4-wheel,TX Auto Group,21,3.8,10.0,15500,cars.com/vehicledetail/detail/792582491/overview/
2006 ,Hummer,H3,Used,138316,0,Gray,Beige,Automatic,4x4/4-wheel,Autos-Mobiles,31,5.0,10.0,7986,cars.com/vehicledetail/detail/769861793/overview/
2005 ,Hummer,H2,Used,108522,0,Black,Black,Automatic,4x4/4-wheel,ANF Auto Finance,121,2.9,17.0,13995,cars.com/vehicledetail/detail/780325884/overview/
2007 ,Hummer,H3,Used,193411,0,Black,Other,Automatic,AWD,Houston Used Auto Sales,0,0.0,18.0,7995,cars.com/vehicledetail/detail/791285352/overview/
2006 ,Hummer,H2,Used,148205,0,Gray,Beige,Automatic,4x4/4-wheel,Sterling McCall Pre-Owned,8,3.8,25.0,10370,cars.com/vehicledetail/detail/791936455/overview/
2003 ,Hummer,H2,Used,111212,0,Gold,Gray,Automatic,4x4/4-wheel,Fall Creek Motor Cars,0,0.0,26.0,16980,cars.com/vehicledetail/detail/621776433/overview/
2006 ,Hummer,H3,Used,110456,0,Yellow,Black,Automatic,4x4/4-wheel,Oasis Park and Sell,21,2.3,28.0,6950,cars.com/vehicledetail/detail/796650789/overview/
2008 ,Hummer,H3 Alpha,Used,116405,0,Black,Black,Automatic,4x4/4-wheel,Loan Star Motors,30,4.4,28.0,15999,cars.com/vehicledetail/detail/795694263/overview/
2006 ,Hummer,H3,Used,103882,0,Red,Beige,Automatic,4x4/4-wheel,Ron Carter Cadillac Hyundai,7187,4.1,30.0,9488,cars.com/vehicledetail/detail/795018653/overview/
