Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
2013 ,Hyundai,Sonata GLS,Used,13600,0,White,Gray,Automatic,FWD,Valentine (Private Seller),0,0.0,4.0,4999,cars.com/vehicledetail/detail/783996109/overview/
2013 ,Hyundai,Equus Signature,Used,72336,0,Silver,Black,Automatic,RWD,West Houston Subaru,29,5.0,6.0,14450,cars.com/vehicledetail/detail/788527988/overview/
2014 ,Hyundai,Accent GS,Used,112112,0,Red,Gray,Manual,FWD,Texas Perfect Auto,6,3.5,7.0,4699,cars.com/vehicledetail/detail/781342369/overview/
2020 ,Hyundai,Accent SE,New,0,17545,Gray,Black,CVT,FWD,Texan Hyundai,1091,4.8,14.0,15945,cars.com/vehicledetail/detail/794708249/overview/
2018 ,Hyundai,Sonata Sport 2.0T,Used,16947,0,Gray,Black,Automatic,FWD,Texan Hyundai,1091,4.8,14.0,19588,cars.com/vehicledetail/detail/786128146/overview/
2010 ,Hyundai,Genesis Coupe 3.8,Used,116100,0,Red,Black,Automatic,RWD,ANF Auto Finance,121,2.9,17.0,6995,cars.com/vehicledetail/detail/791401435/overview/
2020 ,Hyundai,2.0,New,0,20665,Red,Black,Automatic,FWD,North Freeway Hyundai,533,4.9,28.0,17865,cars.com/vehicledetail/detail/781546571/overview/
2020 ,Hyundai,Tucson Sport,New,0,29440,White,Gray,Automatic,FWD,Ron Carter Cadillac Hyundai,7187,4.1,30.0,28604,cars.com/vehicledetail/detail/785291612/overview/
2019 ,Hyundai,Accent SEL,New,0,18565,Silver,Black,Automatic,FWD,Ron Carter Cadillac Hyundai,7187,4.1,30.0,15834,cars.com/vehicledetail/detail/768064105/overview/
2020 ,Hyundai,Tucson Sport,New,0,29440,Other,Gray,Automatic,FWD,Ron Carter Cadillac Hyundai,7187,4.1,30.0,28604,cars.com/vehicledetail/detail/786533587/overview/
2020 ,Hyundai,Accent SEL,New,0,18795,Silver,Black,CVT,FWD,Ron Carter Cadillac Hyundai,7187,4.1,30.0,17125,cars.com/vehicledetail/detail/781002882/overview/
2020 ,Hyundai,Accent SEL,New,0,18810,Beige,Black,CVT,FWD,Ron Carter Cadillac Hyundai,7187,4.1,30.0,17140,cars.com/vehicledetail/detail/781003538/overview/
2019 ,Hyundai,Accent SEL,New,0,18515,White,Black,Automatic,FWD,"DeMontrond-Texas City,TX",87,5.0,41.0,13758,cars.com/vehicledetail/detail/777188159/overview/
2019 ,Hyundai,Elantra ECO,New,0,22145,White,Beige,Automatic,FWD,"DeMontrond-Texas City,TX",87,5.0,41.0,15725,cars.com/vehicledetail/detail/757507995/overview/
2020 ,Hyundai,Accent Limited,New,0,20415,Gray,Black,CVT,FWD,"DeMontrond-Texas City,TX",87,5.0,41.0,16023,cars.com/vehicledetail/detail/785582879/overview/
2020 ,Hyundai,Accent SE,New,0,17545,Black,Beige,CVT,FWD,"DeMontrond-Texas City,TX",87,5.0,41.0,13277,cars.com/vehicledetail/detail/787172159/overview/
2020 ,Hyundai,Accent SEL,New,0,18810,Silver,Black,CVT,FWD,"DeMontrond-Texas City,TX",87,5.0,41.0,14479,cars.com/vehicledetail/detail/781789020/overview/
2020 ,Hyundai,Accent SE,New,0,17470,Blue,Black,CVT,FWD,"DeMontrond-Texas City,TX",87,5.0,41.0,13218,cars.com/vehicledetail/detail/787172048/overview/
