Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
2006 ,INFINITI,G35 Base,Used,113141,0,Black,Beige,Automatic,RWD,Car Ex Auto Sales,41,4.6,5.0,6995,cars.com/vehicledetail/detail/786428285/overview/
2017 ,INFINITI,Q60 3.0T Sport,INFINITI Certified,31961,0,White,Red,Automatic,RWD,West Houston INFINITI,551,4.8,6.0,30991,cars.com/vehicledetail/detail/793848155/overview/
2019 ,INFINITI,Q70L 3.7X LUXE,New,0,60705,Blue,Gray,Automatic,AWD,West Houston INFINITI,551,4.8,6.0,60705,cars.com/vehicledetail/detail/761225959/overview/
2020 ,INFINITI,QX50 AUTOGRAPH,New,0,59095,Red,White,CVT,FWD,West Houston INFINITI,551,4.8,6.0,59095,cars.com/vehicledetail/detail/794479554/overview/
2016 ,INFINITI,QX80 Base,Used,52325,0,Silver,Gray,Automatic,RWD,Mercedes-Benz of Sugar Land,503,3.1,6.0,34983,cars.com/vehicledetail/detail/793733319/overview/
2018 ,INFINITI,QX30 Sport,Used,14326,0,White,Gray,Automatic,FWD,West Houston INFINITI,551,4.8,6.0,24490,cars.com/vehicledetail/detail/788974124/overview/
2016 ,INFINITI,Q70L 3.7,Used,26387,0,Silver,Beige,Automatic,RWD,Houston Direct Auto,218,4.3,7.0,26391,cars.com/vehicledetail/detail/794759767/overview/
2015 ,INFINITI,Q40 Base,Used,64331,0,Black,Gray,Automatic,RWD,Sterling McCall Acura Sugar Land,10,4.7,7.0,14300,cars.com/vehicledetail/detail/794771910/overview/
2007 ,INFINITI,G35 Sport,Used,188000,0,White,Gray,Automatic,RWD,SW Auto LLC,16,3.5,8.0,6375,cars.com/vehicledetail/detail/754299203/overview/
2005 ,INFINITI,FX35,Used,65892,0,Black,Other,Automatic,AWD,Autos-Mobiles,31,5.0,10.0,8998,cars.com/vehicledetail/detail/796485887/overview/
2008 ,INFINITI,G37 Sport,Used,74065,0,Purple,Black,Manual,RWD,DDM Cars,11,4.8,10.0,11995,cars.com/vehicledetail/detail/795267909/overview/
2017 ,INFINITI,QX30 Luxury,Used,21308,0,Red,Gray,Automatic,FWD,Sterling McCall Pre-Owned,8,3.8,25.0,16876,cars.com/vehicledetail/detail/785754742/overview/
2004 ,INFINITI,Q45,Used,75711,0,Green,Beige,Automatic,RWD,Fall Creek Motor Cars,0,0.0,26.0,8980,cars.com/vehicledetail/detail/774457164/overview/
2019 ,INFINITI,Q70 3.7 LUXE,INFINITI Certified,11350,0,Black,Gray,Automatic,RWD,Sewell INFINITI of Houston,31,4.4,26.0,34277,cars.com/vehicledetail/detail/793426715/overview/
2019 ,INFINITI,QX60 Luxe,INFINITI Certified,11887,0,White,Beige,CVT,FWD,Sewell INFINITI of Houston,31,4.4,26.0,37999,cars.com/vehicledetail/detail/793426823/overview/
2019 ,INFINITI,Q70 3.7 LUXE,INFINITI Certified,16221,0,White,Gray,Automatic,RWD,Sewell INFINITI of Houston,31,4.4,26.0,31499,cars.com/vehicledetail/detail/793044287/overview/
2012 ,INFINITI,M37 Base,Used,93603,0,White,Gray,Automatic,RWD,Motor Trends of Houston,3,2.3,29.0,13924,cars.com/vehicledetail/detail/793467450/overview/
2018 ,INFINITI,Q50,Used,33580,0,Silver,Other,Automatic,AWD,Auto Boutique Texas,21,3.9,33.0,19495,cars.com/vehicledetail/detail/786678727/overview/
2019 ,INFINITI,QX60 Luxe,Used,50112,0,Blue,Beige,CVT,FWD,Gullo Ford of Conroe - The Woodlands,711,3.5,42.0,26800,cars.com/vehicledetail/detail/792878440/overview/
2019 ,INFINITI,QX80 Luxe,Used,28682,0,Silver,Other,Automatic,RWD,Classic Galveston,257,4.9,54.0,41987,cars.com/vehicledetail/detail/790812323/overview/
2006 ,INFINITI,FX45,Used,118267,0,Black,Black,Automatic,AWD,ACL Motors,5,5.0,130.0,8745,cars.com/vehicledetail/detail/790768284/overview/
2017 ,INFINITI,QX30 Premium,INFINITI Certified,18138,0,Gold,Beige,Automatic,AWD,CAG - Austin INFINITI,663,4.9,132.0,24987,cars.com/vehicledetail/detail/796321822/overview/
2008 ,INFINITI,FX45,Used,189124,0,Black,Gray,Automatic,AWD,Corvette Country,2,5.0,134.0,8900,cars.com/vehicledetail/detail/773111678/overview/
2012 ,INFINITI,M37 Base,Used,91949,0,Black,Other,Automatic,RWD,BMW of Austin,231,4.9,136.0,13347,cars.com/vehicledetail/detail/794930498/overview/
2011 ,INFINITI,QX56 Base,Used,140020,0,White,Beige,Automatic,RWD,Austin Direct Auto Sales,64,2.5,137.0,12900,cars.com/vehicledetail/detail/795467853/overview/
2011 ,INFINITI,FX35 Base,Used,100286,0,White,Black,Automatic,RWD,Austin Direct Auto Sales,64,2.5,137.0,11500,cars.com/vehicledetail/detail/794744715/overview/
2019 ,INFINITI,QX30 Luxe,Used,25197,0,Black,Beige,Automatic,FWD,Apple Four Points,15,5.0,140.0,23999,cars.com/vehicledetail/detail/794703076/overview/
2012 ,INFINITI,QX56 Base,Used,96473,0,Red,Beige,Automatic,RWD,Apple Sport Imports,209,5.0,140.0,19499,cars.com/vehicledetail/detail/792413227/overview/
2018 ,INFINITI,QX80 Base,Used,34889,0,Blue,Gray,Automatic,RWD,Hertz Car Sales Killeen,17,4.0,154.0,37799,cars.com/vehicledetail/detail/791625213/overview/
2016 ,INFINITI,QX60 Base,Used,18898,0,White,Beige,CVT,FWD,World Car Nissan Hyundai,193,3.9,161.0,25000,cars.com/vehicledetail/detail/787900343/overview/
2019 ,INFINITI,QX60 Pure,Used,20340,0,Silver,Gray,CVT,FWD,World Car Nissan Hyundai,193,3.9,161.0,27500,cars.com/vehicledetail/detail/789537328/overview/
2017 ,INFINITI,Q60 3.0t Premium,Used,41229,0,Blue,Gray,Automatic,RWD,Volvo Cars of San Antonio,81,3.7,168.0,25491,cars.com/vehicledetail/detail/792559148/overview/
2020 ,INFINITI,Q50 3.0t Sport,New,0,49525,White,Gray,Automatic,RWD,INFINITI of San Antonio,157,4.4,176.0,48037,cars.com/vehicledetail/detail/793316035/overview/
2020 ,INFINITI,Q50 3.0t Sport,New,0,49525,White,Gray,Automatic,RWD,INFINITI of San Antonio,157,4.4,176.0,48037,cars.com/vehicledetail/detail/793316509/overview/
2020 ,INFINITI,Q50 3.0t Sport,New,0,50215,Gray,Gray,Automatic,RWD,INFINITI of San Antonio,157,4.4,176.0,48649,cars.com/vehicledetail/detail/793315991/overview/
2019 ,INFINITI,QX60 Pure,Used,16149,0,Red,Gray,CVT,FWD,INFINITI of San Antonio,157,4.4,176.0,34996,cars.com/vehicledetail/detail/792666775/overview/
2018 ,INFINITI,Q70L 3.7 LUXE,INFINITI Certified,15787,0,Silver,Gray,Automatic,RWD,INFINITI of San Antonio,157,4.4,176.0,36200,cars.com/vehicledetail/detail/788936128/overview/
2020 ,INFINITI,Q50 3.0t Red Sport 400,New,0,59435,White,White,Automatic,RWD,INFINITI of Boerne,93,5.0,185.0,59435,cars.com/vehicledetail/detail/790812909/overview/
