Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
2017 ,Jaguar,XF 20d,Used,26869,0,Black,Black,Automatic,RWD,ABZ Motors,52,4.0,5.0,23999,cars.com/vehicledetail/detail/784391044/overview/
2020 ,Jaguar,E-PACE Checkered Flag Edition,New,0,48563,Red,Black,Automatic,AWD,Momentum Jaguar Volvo Cars Land Rover,197,4.1,6.0,45561,cars.com/vehicledetail/detail/788729845/overview/
2018 ,Jaguar,E-PACE S,New,0,47770,Black,Black,Automatic,AWD,Momentum Jaguar Volvo Cars Land Rover,197,4.1,6.0,35263,cars.com/vehicledetail/detail/771665617/overview/
2018 ,Jaguar,E-PACE SE,New,0,49675,Black,Black,Automatic,AWD,Momentum Jaguar Volvo Cars Land Rover,197,4.1,6.0,37172,cars.com/vehicledetail/detail/781647658/overview/
2018 ,Jaguar,E-PACE SE,New,0,49734,Black,Black,Automatic,AWD,Momentum Jaguar Volvo Cars Land Rover,197,4.1,6.0,39224,cars.com/vehicledetail/detail/770561830/overview/
2019 ,Jaguar,XJ XJ R-Sport,New,0,83636,Black,Black,Automatic,RWD,Momentum Jaguar Volvo Cars Land Rover,197,4.1,6.0,67634,cars.com/vehicledetail/detail/759663407/overview/
2019 ,Jaguar,XJ XJL Portfolio,New,0,91566,Black,Black,Automatic,RWD,Momentum Jaguar Volvo Cars Land Rover,197,4.1,6.0,75564,cars.com/vehicledetail/detail/759663795/overview/
2018 ,Jaguar,E-PACE S,New,0,47770,Black,Black,Automatic,AWD,Momentum Jaguar Volvo Cars Land Rover,197,4.1,6.0,35263,cars.com/vehicledetail/detail/771665597/overview/
2018 ,Jaguar,E-PACE S,New,0,47180,White,Black,Automatic,AWD,Momentum Jaguar Volvo Cars Land Rover,197,4.1,6.0,34673,cars.com/vehicledetail/detail/771745563/overview/
2020 ,Jaguar,S,New,0,44442,Silver,Black,Automatic,RWD,Momentum Jaguar Volvo Cars Land Rover,197,4.1,6.0,44442,cars.com/vehicledetail/detail/783861269/overview/
2020 ,Jaguar,S,New,0,43832,Black,Black,Automatic,RWD,Momentum Jaguar Volvo Cars Land Rover,197,4.1,6.0,41832,cars.com/vehicledetail/detail/783103413/overview/
2020 ,Jaguar,S,New,0,45998,Silver,Black,Automatic,RWD,Momentum Jaguar Volvo Cars Land Rover,197,4.1,6.0,43992,cars.com/vehicledetail/detail/783103425/overview/
2020 ,Jaguar,F-TYPE SVR,New,0,135093,Silver,Red,Automatic,AWD,Momentum Jaguar Volvo Cars Land Rover,197,4.1,6.0,125084,cars.com/vehicledetail/detail/770561805/overview/
2020 ,Jaguar,R-Dynamic S,New,0,58782,Red,Black,Automatic,AWD,Momentum Jaguar Volvo Cars Land Rover,197,4.1,6.0,56782,cars.com/vehicledetail/detail/781479534/overview/
2019 ,Jaguar,EVV400 S,New,0,80366,Red,Gray,Automatic,AWD,Momentum Jaguar Volvo Cars Land Rover,197,4.1,6.0,69864,cars.com/vehicledetail/detail/764474894/overview/
2020 ,Jaguar,S,New,0,44414,Black,Black,Automatic,RWD,Momentum Jaguar Volvo Cars Land Rover,197,4.1,6.0,42412,cars.com/vehicledetail/detail/783065050/overview/
2020 ,Jaguar,EV400 HSE,New,0,89618,Gray,Other,Automatic,AWD,Momentum Jaguar Volvo Cars Land Rover,197,4.1,6.0,83611,cars.com/vehicledetail/detail/788948772/overview/
2020 ,Jaguar,S,New,0,49307,Gray,Gray,Automatic,RWD,Momentum Jaguar Volvo Cars Land Rover,197,4.1,6.0,47302,cars.com/vehicledetail/detail/781479538/overview/
2019 ,Jaguar,S,New,0,75416,White,Other,Automatic,AWD,Momentum Jaguar Volvo Cars Land Rover,197,4.1,6.0,62414,cars.com/vehicledetail/detail/767895331/overview/
2020 ,Jaguar,25t Prestige,New,0,62004,Silver,Black,Automatic,RWD,Momentum Jaguar Volvo Cars Land Rover,197,4.1,6.0,49002,cars.com/vehicledetail/detail/779963050/overview/
2018 ,Jaguar,E-PACE S,New,0,48746,Gray,Black,Automatic,AWD,Momentum Jaguar Volvo Cars Land Rover,197,4.1,6.0,36243,cars.com/vehicledetail/detail/771745297/overview/
2019 ,Jaguar,25t Prestige,New,0,51480,Black,Beige,Automatic,RWD,Momentum Jaguar Volvo Cars Land Rover,197,4.1,6.0,43474,cars.com/vehicledetail/detail/760615933/overview/
2019 ,Jaguar,25t Prestige,New,0,53415,Silver,Black,Automatic,RWD,Momentum Jaguar Volvo Cars Land Rover,197,4.1,6.0,45414,cars.com/vehicledetail/detail/760615775/overview/
2018 ,Jaguar,E-PACE R-Dynamic SE,New,0,57310,Black,Black,Automatic,AWD,Momentum Jaguar Volvo Cars Land Rover,197,4.1,6.0,44802,cars.com/vehicledetail/detail/781647395/overview/
2019 ,Jaguar,XJ XJL Portfolio,New,0,94992,Gray,Other,Automatic,RWD,Momentum Jaguar Volvo Cars Land Rover,197,4.1,6.0,78484,cars.com/vehicledetail/detail/769907710/overview/
2019 ,Jaguar,I-PACE EVV400 S,New,0,74977,White,Black,Automatic,AWD,Momentum Jaguar Volvo Cars Land Rover,197,4.1,6.0,64474,cars.com/vehicledetail/detail/769907738/overview/
2016 ,Jaguar,XJ XJL Portfolio,Used,27084,0,White,Other,Automatic,RWD,Momentum Jaguar Volvo Cars Land Rover,197,4.1,6.0,36942,cars.com/vehicledetail/detail/794370201/overview/
2017 ,Jaguar,F-PACE 35t Prestige,Jaguar Certified,38360,0,Green,Other,Automatic,AWD,Momentum Jaguar Volvo Cars Land Rover,197,4.1,6.0,32482,cars.com/vehicledetail/detail/795726591/overview/
2020 ,Jaguar,XF 25t Prestige,New,0,60217,White,Black,Automatic,RWD,Momentum Jaguar Volvo Cars Land Rover,197,4.1,6.0,52711,cars.com/vehicledetail/detail/791755160/overview/
2007 ,Jaguar,XK,Used,83529,0,Blue,Beige,Automatic,RWD,Houston Direct Auto,218,4.3,7.0,12191,cars.com/vehicledetail/detail/783315720/overview/
2012 ,Jaguar,XK Base,Used,46000,0,Black,Other,Automatic,RWD,Houston Direct Auto,218,4.3,7.0,21750,cars.com/vehicledetail/detail/779002008/overview/
2010 ,Jaguar,XK,Used,81426,0,Black,Black,Automatic,RWD,R&T Expo,19,4.3,7.0,15995,cars.com/vehicledetail/detail/789829405/overview/
2012 ,Jaguar,XJ L Portfolio,Used,90586,0,Blue,Other,Automatic,RWD,R&T Expo,19,4.3,7.0,16995,cars.com/vehicledetail/detail/791391573/overview/
2006 ,Jaguar,XJ8,Used,103239,0,Green,Beige,Automatic,RWD,Universal Auto Credit,70,4.0,13.0,4995,cars.com/vehicledetail/detail/793216631/overview/
2018 ,Jaguar,E-PACE SE,New,0,51646,Black,Black,Automatic,AWD,Land Rover Jaguar Houston Central,85,4.1,13.0,41211,cars.com/vehicledetail/detail/777163042/overview/
2019 ,Jaguar,XJ XJ R-Sport,New,0,82971,Black,Black,Automatic,AWD,Land Rover Jaguar Houston Central,85,4.1,13.0,72971,cars.com/vehicledetail/detail/777162918/overview/
2019 ,Jaguar,XJ XJL Portfolio,New,0,88320,Black,Black,Automatic,RWD,Land Rover Jaguar Houston Central,85,4.1,13.0,69994,cars.com/vehicledetail/detail/777162867/overview/
2020 ,Jaguar,XF 25t Prestige,New,0,58548,Blue,Other,Automatic,RWD,Land Rover Jaguar Houston Central,85,4.1,13.0,58548,cars.com/vehicledetail/detail/778180522/overview/
2019 ,Jaguar,XJ XJ R-Sport,New,0,77751,Black,Black,Automatic,RWD,Land Rover Jaguar Houston Central,85,4.1,13.0,67751,cars.com/vehicledetail/detail/777162935/overview/
2019 ,Jaguar,I-PACE EV400 SE,New,0,80128,Silver,Black,Automatic,AWD,Land Rover Jaguar Houston Central,85,4.1,13.0,72123,cars.com/vehicledetail/detail/777162933/overview/
2019 ,Jaguar,I-PACE EVV400 S,New,0,73352,White,Black,Automatic,AWD,Land Rover Jaguar Houston Central,85,4.1,13.0,65352,cars.com/vehicledetail/detail/777162942/overview/
2015 ,Jaguar,XJ XJL Portfolio,Used,44739,0,White,Other,Automatic,RWD,Davis Chevrolet,71,3.8,14.0,29992,cars.com/vehicledetail/detail/794767252/overview/
2002 ,Jaguar,XJR,Used,21603,0,Black,Gray,Automatic,RWD,Stephen (Private Seller),0,0.0,16.0,18990,cars.com/vehicledetail/detail/794838133/overview/
2010 ,Jaguar,XF Luxury,Used,73557,0,Black,Other,Automatic,RWD,ANF Auto Finance,121,2.9,17.0,9995,cars.com/vehicledetail/detail/790637367/overview/
2013 ,Jaguar,XJ Base,Used,58741,0,Blue,Other,Automatic,RWD,ANF Auto Finance,121,2.9,17.0,18995,cars.com/vehicledetail/detail/789084779/overview/
2018 ,Jaguar,E-PACE S,New,0,0,Blue,Black,Automatic,AWD,Jaguar Land Rover of Houston North,79,4.6,24.0,38753,cars.com/vehicledetail/detail/775404724/overview/
2019 ,Jaguar,I-PACE EV400 SE,New,0,0,Black,Black,Automatic,AWD,Jaguar Land Rover of Houston North,79,4.6,24.0,74584,cars.com/vehicledetail/detail/770122868/overview/
2019 ,Jaguar,XJ XJ R-Sport,New,0,0,White,Black,Automatic,RWD,Jaguar Land Rover of Houston North,79,4.6,24.0,70584,cars.com/vehicledetail/detail/760814371/overview/
2019 ,Jaguar,I-PACE HSE,New,0,0,Black,Other,Automatic,AWD,Jaguar Land Rover of Houston North,79,4.6,24.0,77955,cars.com/vehicledetail/detail/757407426/overview/
2019 ,Jaguar,XJ XJL Supercharged,New,0,0,White,Black,Automatic,RWD,Jaguar Land Rover of Houston North,79,4.6,24.0,86205,cars.com/vehicledetail/detail/756772902/overview/
2019 ,Jaguar,I-PACE HSE,New,0,0,White,Other,Automatic,AWD,Jaguar Land Rover of Houston North,79,4.6,24.0,79814,cars.com/vehicledetail/detail/766061466/overview/
2019 ,Jaguar,XJ XJ R-Sport,New,0,0,Black,Black,Automatic,RWD,Jaguar Land Rover of Houston North,79,4.6,24.0,70584,cars.com/vehicledetail/detail/760655897/overview/
2019 ,Jaguar,I-PACE First Edition,New,0,0,Gray,Other,Automatic,AWD,Jaguar Land Rover of Houston North,79,4.6,24.0,80974,cars.com/vehicledetail/detail/766061394/overview/
2020 ,Jaguar,I-PACE EV400 HSE,New,0,0,White,Black,Automatic,AWD,Jaguar Land Rover of Houston North,79,4.6,24.0,86035,cars.com/vehicledetail/detail/791760728/overview/
2020 ,Jaguar,I-PACE EV400 HSE,New,0,0,Blue,Black,Automatic,AWD,Jaguar Land Rover of Houston North,79,4.6,24.0,86285,cars.com/vehicledetail/detail/788750950/overview/
2012 ,Jaguar,XF Portfolio,Used,63299,0,Black,Gray,Automatic,RWD,JD Motors,21,4.8,132.0,15998,cars.com/vehicledetail/detail/791571668/overview/
2008 ,Jaguar,XJ8,Used,127828,0,Black,Black,Automatic,RWD,Alamo Car Center,27,3.9,166.0,6995,cars.com/vehicledetail/detail/795991988/overview/
2007 ,Jaguar,XK,Used,69711,0,Black,Beige,Automatic,Unknown,Gracie (Private Seller),0,0.0,217.0,7975,cars.com/vehicledetail/detail/793970966/overview/
2019 ,Jaguar,E-PACE S,New,0,48684,White,Other,Automatic,AWD,Holmes European Motors,72,4.8,219.0,39684,cars.com/vehicledetail/detail/760632633/overview/
