Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
2019 ,Jeep,Grand Cherokee Limited,Used,14903,0,White,Black,Automatic,RWD,Sterling McCall Nissan,151,4.2,5.0,28900,cars.com/vehicledetail/detail/790481898/overview/
2012 ,Jeep,Liberty Sport,Used,92573,0,Gray,Gray,Automatic,4x4/4-wheel,Houston Direct Auto,218,4.3,7.0,8991,cars.com/vehicledetail/detail/795069892/overview/
2007 ,Jeep,Commander Sport,Used,123587,0,Red,Beige,Automatic,RWD,Texas Perfect Auto,6,3.5,7.0,4999,cars.com/vehicledetail/detail/752063994/overview/
2016 ,Jeep,Patriot Sport,Used,67022,0,Blue,Gray,Automatic,FWD,Houston Direct Auto,218,4.3,7.0,9991,cars.com/vehicledetail/detail/787066661/overview/
2019 ,Jeep,Renegade Latitude,New,0,26015,Gray,Black,Automatic,FWD,AutoNation Chrysler Dodge Jeep Ram Houston,310,4.5,14.0,18741,cars.com/vehicledetail/detail/791381186/overview/
2019 ,Jeep,Wrangler Unlimited Sahara,Used,10767,0,Gray,Black,Automatic,4x4/4-wheel,Davis Chevrolet,71,3.8,14.0,39795,cars.com/vehicledetail/detail/785259341/overview/
2019 ,Jeep,Renegade Latitude,New,0,26215,White,Black,Automatic,FWD,Southfork Chrysler Dodge Jeep Ram,552,4.9,19.0,20241,cars.com/vehicledetail/detail/780764813/overview/
2019 ,Jeep,Renegade Latitude,New,0,26015,Red,Black,Automatic,FWD,Gulfgate Dodge,1739,4.5,21.0,17984,cars.com/vehicledetail/detail/790859910/overview/
2019 ,Jeep,Renegade Latitude,New,0,26015,White,Black,Automatic,FWD,Gulfgate Dodge,1739,4.5,21.0,17984,cars.com/vehicledetail/detail/790859690/overview/
2019 ,Jeep,Renegade Latitude,New,0,25620,Gray,Black,Automatic,FWD,Gulfgate Dodge,1739,4.5,21.0,17661,cars.com/vehicledetail/detail/776754378/overview/
