Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
2020 ,Kia,Rio LX,New,0,17039,Gray,Black,CVT,FWD,Archer Kia,284,4.0,5.0,14128,cars.com/vehicledetail/detail/786675628/overview/
2020 ,Kia,Rio LX,New,0,17500,Gray,Black,CVT,FWD,Archer Kia,284,4.0,5.0,15290,cars.com/vehicledetail/detail/787296203/overview/
2019 ,Kia,Soul +,Used,15833,0,White,Black,Automatic,FWD,Archer Kia,284,4.0,5.0,15888,cars.com/vehicledetail/detail/792178384/overview/
2020 ,Kia,Soul GT-Line 2.0L,New,0,29615,White,Black,Automatic,FWD,Archer Kia,284,4.0,5.0,26446,cars.com/vehicledetail/detail/790801658/overview/
2013 ,Kia,Forte Koup EX,Used,91000,0,Silver,Gray,Automatic,FWD,SW Auto LLC,16,3.5,8.0,5975,cars.com/vehicledetail/detail/754633656/overview/
2020 ,Kia,Rio LX+,New,0,17315,White,Black,CVT,FWD,Fort Bend Kia,111,4.7,13.0,15832,cars.com/vehicledetail/detail/786985658/overview/
2020 ,Kia,Rio LX+,New,0,17315,Gray,Black,CVT,FWD,Fort Bend Kia,111,4.7,13.0,15832,cars.com/vehicledetail/detail/786985567/overview/
2020 ,Kia,Rio S,New,0,17500,Red,Black,CVT,FWD,Joe Myers Mazda Kia,68,4.2,13.0,15981,cars.com/vehicledetail/detail/787759782/overview/
2019 ,Kia,Niro EX,New,0,34120,Black,Gray,Automatic,FWD,Joe Myers Mazda Kia,68,4.2,13.0,31192,cars.com/vehicledetail/detail/773308940/overview/
2019 ,Kia,K900 Luxury,New,0,0,White,Black,Automatic,AWD,Joe Myers Mazda Kia,68,4.2,13.0,62720,cars.com/vehicledetail/detail/785748013/overview/
2020 ,Kia,Forte GT-Line,New,0,21620,Blue,Black,CVT,FWD,Fort Bend Kia,111,4.7,13.0,19441,cars.com/vehicledetail/detail/786774454/overview/
2020 ,Kia,Forte LX,New,0,20310,Red,Black,CVT,FWD,Fort Bend Kia,111,4.7,13.0,18402,cars.com/vehicledetail/detail/783788534/overview/
2019 ,Kia,Niro S Touring,New,0,29795,Gray,Gray,Automatic,FWD,Fort Bend Kia,111,4.7,13.0,27521,cars.com/vehicledetail/detail/769646400/overview/
