Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
2019 ,Lamborghini,Urus Base,Used,2405,0,Red,Black,Automatic,AWD,Tactical Fleet,3,5.0,235.0,245900,cars.com/vehicledetail/detail/787405374/overview/
2019 ,Lamborghini,Urus Base,Used,1652,0,Other,Black,Automatic,AWD,Silicon Auto Group LLC,0,0.0,149.0,243880,cars.com/vehicledetail/detail/796027840/overview/
2019 ,Lamborghini,Urus Base,Used,9537,0,White,Black,Automatic,AWD,Aston Martin of Dallas,12,5.0,226.0,234900,cars.com/vehicledetail/detail/795862067/overview/
2019 ,Lamborghini,Urus Base,Used,5700,0,Other,Black,Automatic,AWD,Silicon Auto Group LLC,0,0.0,149.0,234880,cars.com/vehicledetail/detail/794402743/overview/
2008 ,Lamborghini,Gallardo Spyder,Used,29385,0,Other,Black,Manual,AWD,Earth Motorcars,375,4.5,236.0,89995,cars.com/vehicledetail/detail/788049140/overview/
2013 ,Lamborghini,Aventador LP700-4,Used,18364,0,Black,Black,Automatic,AWD,Auto One,530,5.0,226.0,249000,cars.com/vehicledetail/detail/713619176/overview/
2018 ,Lamborghini,Huracan LP580-2,Used,2251,0,Gray,Black,Automatic,RWD,Boardwalk Ferrari Maserati,776,4.9,239.0,192900,cars.com/vehicledetail/detail/790690701/overview/
2008 ,Lamborghini,Gallardo Superleggera,Used,8934,0,Other,Other,Automatic,AWD,Net Car Showroom,12,5.0,11.0,199999,cars.com/vehicledetail/detail/762968029/overview/
2018 ,Lamborghini,Aventador S Base,Used,495,0,Black,Black,Automatic,AWD,Tactical Fleet,3,5.0,235.0,424900,cars.com/vehicledetail/detail/790397719/overview/
2012 ,Lamborghini,Gallardo LP560-4 Spyder,Used,20444,0,White,Black,Automatic,RWD,Premier Autos of Dallas,10,4.2,235.0,123393,cars.com/vehicledetail/detail/780431785/overview/
2018 ,Lamborghini,Huracan Performante,Used,4130,0,White,Black,Automatic,AWD,Auto Source of Texas,3,3.7,237.0,266499,cars.com/vehicledetail/detail/796219191/overview/
2014 ,Lamborghini,Gallardo LP550-2,Used,13655,0,Black,Black,Manual,RWD,North Freeway Hyundai,533,4.9,28.0,124900,cars.com/vehicledetail/detail/791293335/overview/
2015 ,Lamborghini,Huracan LP610-4,Used,6423,0,Black,Black,Automatic,AWD,360 Exotics,27,4.4,132.0,179498,cars.com/vehicledetail/detail/796017055/overview/
2013 ,Lamborghini,Gallardo LP560-4,Used,30106,0,White,Black,Automatic,AWD,Auto Park Dallas,21,4.4,235.0,119995,cars.com/vehicledetail/detail/795701629/overview/
2019 ,Lamborghini,Huracan Performante,Used,2611,0,Other,Other,Automatic,AWD,Auto Source of Texas,3,3.7,237.0,314499,cars.com/vehicledetail/detail/796218985/overview/
2015 ,Lamborghini,Huracan LP610-4,Used,9262,0,Gray,Other,Automatic,AWD,Mark Motors,1,5.0,182.0,184444,cars.com/vehicledetail/detail/778772336/overview/
2005 ,Lamborghini,Murcielago,Used,4565,0,Gray,Other,Automatic,AWD,Mark Motors,1,5.0,182.0,153888,cars.com/vehicledetail/detail/756794154/overview/
2012 ,Lamborghini,Gallardo LP550-2,Used,47000,0,Yellow,Black,Automanual,RWD,Ned (Private Seller),0,0.0,234.0,109995,cars.com/vehicledetail/detail/786508070/overview/
2001 ,Lamborghini,Diablo VT 6.0,Used,13539,0,Silver,Gray,Manual,AWD,Crave Luxury Auto,25,4.3,33.0,267750,cars.com/vehicledetail/detail/775239279/overview/
2015 ,Lamborghini,Huracan LP610-4,Used,27000,0,Black,Black,Automanual,AWD,Jerry (Private Seller),0,0.0,170.0,173000,cars.com/vehicledetail/detail/794151087/overview/
2017 ,Lamborghini,Huracan LP580-2,Used,2175,0,Other,Black,Automatic,RWD,Mark Motors,1,5.0,182.0,183888,cars.com/vehicledetail/detail/773333472/overview/
2016 ,Lamborghini,Huracan LP610-4,Used,3726,0,Blue,Beige,Automatic,AWD,Boardwalk Ferrari Maserati,776,4.9,239.0,223900,cars.com/vehicledetail/detail/791186571/overview/
2016 ,Lamborghini,Huracan LP610-4,Used,5024,0,Other,Other,Automatic,AWD,Mark Motors,1,5.0,182.0,213777,cars.com/vehicledetail/detail/790560808/overview/
2015 ,Lamborghini,Huracan LP610-4,Used,6628,0,Orange,Black,Automatic,AWD,Boardwalk Ferrari Maserati,776,4.9,239.0,189900,cars.com/vehicledetail/detail/796712087/overview/
2013 ,Lamborghini,Gallardo LP560-4,Used,18500,0,Red,White,Automanual,AWD,Jason (Private Seller),0,0.0,156.0,134999,cars.com/vehicledetail/detail/786672229/overview/
2008 ,Lamborghini,Gallardo Superleggera,Used,14879,0,Other,Other,Automatic,AWD,Net Car Showroom,12,5.0,11.0,179999,cars.com/vehicledetail/detail/778177720/overview/
2016 ,Lamborghini,LP610-4,Used,8599,0,Other,Black,Automatic,AWD,Premier Autos of Dallas,10,4.2,235.0,201597,cars.com/vehicledetail/detail/792050960/overview/
2016 ,Lamborghini,Huracan LP610-4,Used,8599,0,Green,Black,Automanual,AWD,Thomas (Private Seller),0,0.0,235.0,201997,cars.com/vehicledetail/detail/798016911/overview/
2012 ,Lamborghini,Aventador LP700-4,Used,13251,0,White,Black,Automatic,AWD,MW Carline,0,0.0,10.0,236750,cars.com/vehicledetail/detail/797343994/overview/
2018 ,Lamborghini,Aventador S Base,Used,3500,0,Red,Other,Automatic,AWD,360 Exotics,27,4.4,132.0,469999,cars.com/vehicledetail/detail/796017084/overview/
2009 ,Lamborghini,Gallardo LP560-4,Used,21492,0,White,Black,Automatic,AWD,Sutton Motorsports,7,5.0,136.0,118805,cars.com/vehicledetail/detail/795949848/overview/
2018 ,Lamborghini,Huracan Performante,Used,1057,0,White,Other,Automatic,AWD,Ferrari of San Antonio,0,0.0,177.0,285900,cars.com/vehicledetail/detail/796805305/overview/
2020 ,Lamborghini,Huracan EVO Base,Used,1289,0,Other,Black,Automatic,AWD,Mark Motors,1,5.0,182.0,289888,cars.com/vehicledetail/detail/796177637/overview/
2016 ,Lamborghini,Huracan LP610-4,Used,1854,0,Other,Other,Automatic,AWD,Mark Motors,1,5.0,182.0,209888,cars.com/vehicledetail/detail/796801538/overview/
2017 ,Lamborghini,Huracan,Used,8966,0,Red,Black,Automatic,AWD,Mark Motors,1,5.0,182.0,219888,cars.com/vehicledetail/detail/796177605/overview/
2016 ,Lamborghini,Huracan LP580-2,Used,12026,0,White,Black,Automanual,RWD,Kris (Private Seller),0,0.0,247.0,169995,cars.com/vehicledetail/detail/797254448/overview/
