Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
2011 ,Land Rover,LR4 HSE,Used,125666,0,Black,Other,Automatic,4x4/4-wheel,Sterling McCall Nissan,151,4.2,5.0,12400,cars.com/vehicledetail/detail/794237978/overview/
2017 ,Land Rover,Range Rover 3.0L Turbocharged Diesel Td6,Used,22810,0,Black,Black,Automatic,4x4/4-wheel,ABZ Motors,52,4.0,5.0,55995,cars.com/vehicledetail/detail/794146698/overview/
2018 ,Land Rover,Discovery Sport HSE,New,0,53699,Silver,Beige,Automatic,4x4/4-wheel,Momentum Jaguar Volvo Cars Land Rover,197,4.2,6.0,43194,cars.com/vehicledetail/detail/775026939/overview/
2019 ,Land Rover,Discovery Sport HSE,New,0,45126,Red,Black,Automatic,4x4/4-wheel,Momentum Jaguar Volvo Cars Land Rover,197,4.2,6.0,36121,cars.com/vehicledetail/detail/792015935/overview/
2019 ,Land Rover,Discovery Sport SE,New,0,48116,Black,Black,Automatic,4x4/4-wheel,Momentum Jaguar Volvo Cars Land Rover,197,4.2,6.0,39111,cars.com/vehicledetail/detail/784597764/overview/
2019 ,Land Rover,Discovery Sport HSE,New,0,52836,White,Black,Automatic,4x4/4-wheel,Momentum Jaguar Volvo Cars Land Rover,197,4.2,6.0,48831,cars.com/vehicledetail/detail/770561673/overview/
2019 ,Land Rover,Discovery Sport HSE,New,0,51996,White,Black,Automatic,4x4/4-wheel,Momentum Jaguar Volvo Cars Land Rover,197,4.2,6.0,47991,cars.com/vehicledetail/detail/770561755/overview/
2019 ,Land Rover,Discovery Sport SE,New,0,45106,Gray,Black,Automatic,4x4/4-wheel,Momentum Jaguar Volvo Cars Land Rover,197,4.2,6.0,36101,cars.com/vehicledetail/detail/784597746/overview/
2019 ,Land Rover,Discovery Sport SE,New,0,45106,Black,Black,Automatic,4x4/4-wheel,Momentum Jaguar Volvo Cars Land Rover,197,4.2,6.0,36101,cars.com/vehicledetail/detail/784635575/overview/
2019 ,Land Rover,Discovery Sport SE,New,0,39916,White,Black,Automatic,4x4/4-wheel,Momentum Jaguar Volvo Cars Land Rover,197,4.2,6.0,35911,cars.com/vehicledetail/detail/767713305/overview/
2019 ,Land Rover,Discovery Sport SE,New,0,39916,White,Black,Automatic,4x4/4-wheel,Momentum Jaguar Volvo Cars Land Rover,197,4.2,6.0,35911,cars.com/vehicledetail/detail/767713163/overview/
2019 ,Land Rover,Discovery Sport SE,New,0,39916,White,Black,Automatic,4x4/4-wheel,Momentum Jaguar Volvo Cars Land Rover,197,4.2,6.0,35911,cars.com/vehicledetail/detail/767713165/overview/
2019 ,Land Rover,Discovery Sport SE,New,0,48116,Silver,Black,Automatic,4x4/4-wheel,Momentum Jaguar Volvo Cars Land Rover,197,4.2,6.0,39111,cars.com/vehicledetail/detail/784635571/overview/
2019 ,Land Rover,Discovery Sport HSE,New,0,52631,Black,Black,Automatic,4x4/4-wheel,Momentum Jaguar Volvo Cars Land Rover,197,4.2,6.0,51631,cars.com/vehicledetail/detail/770561671/overview/
2020 ,Land Rover,Discovery HSE,New,0,62287,White,Brown,Automatic,4x4/4-wheel,Momentum Jaguar Volvo Cars Land Rover,197,4.2,6.0,62281,cars.com/vehicledetail/detail/788820263/overview/
2019 ,Land Rover,Discovery Sport HSE,New,0,51406,White,Black,Automatic,4x4/4-wheel,Momentum Jaguar Volvo Cars Land Rover,197,4.2,6.0,42401,cars.com/vehicledetail/detail/792015945/overview/
2019 ,Land Rover,Discovery Sport HSE,New,0,46787,Silver,Black,Automatic,4x4/4-wheel,Momentum Jaguar Volvo Cars Land Rover,197,4.2,6.0,38783,cars.com/vehicledetail/detail/774987322/overview/
2019 ,Land Rover,Discovery Sport HSE,New,0,46787,Silver,Black,Automatic,4x4/4-wheel,Momentum Jaguar Volvo Cars Land Rover,197,4.2,6.0,38782,cars.com/vehicledetail/detail/779272038/overview/
2020 ,Land Rover,Range Rover Evoque R-Dynamic S,New,0,52032,White,Black,Automatic,AWD,Momentum Jaguar Volvo Cars Land Rover,197,4.2,6.0,52031,cars.com/vehicledetail/detail/788601868/overview/
2019 ,Land Rover,Discovery Sport HSE,New,0,46787,Silver,Black,Automatic,4x4/4-wheel,Momentum Jaguar Volvo Cars Land Rover,197,4.2,6.0,38782,cars.com/vehicledetail/detail/779212434/overview/
2020 ,Land Rover,Range Rover Evoque R-Dynamic SE,New,0,65272,White,Other,Automatic,AWD,Momentum Jaguar Volvo Cars Land Rover,197,4.2,6.0,65272,cars.com/vehicledetail/detail/793321535/overview/
2019 ,Land Rover,Discovery Sport HSE,New,0,48446,Silver,Black,Automatic,4x4/4-wheel,Momentum Jaguar Volvo Cars Land Rover,197,4.2,6.0,40444,cars.com/vehicledetail/detail/767451430/overview/
2019 ,Land Rover,Discovery Sport HSE,New,0,48446,White,Beige,Automatic,4x4/4-wheel,Momentum Jaguar Volvo Cars Land Rover,197,4.2,6.0,40444,cars.com/vehicledetail/detail/767451431/overview/
2004 ,Land Rover,Discovery SE,Used,120881,0,Silver,Black,Automatic,4x4/4-wheel,Bemer Motor Cars,176,4.8,7.0,18990,cars.com/vehicledetail/detail/769005162/overview/
2007 ,Land Rover,LR3 HSE,Used,96850,0,Black,Other,Automatic,4x4/4-wheel,Bemer Motor Cars,176,4.8,7.0,13990,cars.com/vehicledetail/detail/727941835/overview/
2012 ,Land Rover,LR4 HSE,Used,116956,0,Gray,Black,Automatic,4x4/4-wheel,Houston Direct Auto,218,4.3,7.0,13991,cars.com/vehicledetail/detail/785999770/overview/
2015 ,Land Rover,LR4 HSE,Used,86428,0,Gray,Black,Automatic,4x4/4-wheel,Nxcess Motorcars,107,2.0,10.0,23888,cars.com/vehicledetail/detail/795433737/overview/
2014 ,Land Rover,LR4 Lux,Used,58639,0,White,Beige,Automatic,4x4/4-wheel,ICON Exotics,2,5.0,10.0,26995,cars.com/vehicledetail/detail/777683497/overview/
2018 ,Land Rover,Discovery Sport HSE Luxury,New,0,49399,Black,Black,Automatic,4x4/4-wheel,Land Rover Jaguar Houston Central,85,4.1,13.0,38899,cars.com/vehicledetail/detail/777163075/overview/
2019 ,Land Rover,Discovery Sport Landmark,New,0,48346,Black,Black,Automatic,4x4/4-wheel,Land Rover Jaguar Houston Central,85,4.1,13.0,39346,cars.com/vehicledetail/detail/787040604/overview/
2018 ,Land Rover,Discovery Sport HSE Luxury,New,0,50394,Black,Black,Automatic,4x4/4-wheel,Land Rover Jaguar Houston Central,85,4.1,13.0,39894,cars.com/vehicledetail/detail/777163076/overview/
2019 ,Land Rover,Discovery Sport SE,New,0,41321,Black,Black,Automatic,4x4/4-wheel,Land Rover Jaguar Houston Central,85,4.1,13.0,32328,cars.com/vehicledetail/detail/778453117/overview/
2019 ,Land Rover,Discovery Sport SE,New,0,41321,Black,Black,Automatic,4x4/4-wheel,Land Rover Jaguar Houston Central,85,4.1,13.0,32321,cars.com/vehicledetail/detail/787040613/overview/
2019 ,Land Rover,Discovery Sport SE,New,0,39075,Black,Black,Automatic,4x4/4-wheel,Land Rover Jaguar Houston Central,85,4.1,13.0,30078,cars.com/vehicledetail/detail/778453132/overview/
2019 ,Land Rover,Discovery Sport SE,New,0,41321,Black,Black,Automatic,4x4/4-wheel,Land Rover Jaguar Houston Central,85,4.1,13.0,32321,cars.com/vehicledetail/detail/787040610/overview/
2019 ,Land Rover,Discovery Sport SE,New,0,40559,Silver,Black,Automatic,4x4/4-wheel,Land Rover Jaguar Houston Central,85,4.1,13.0,31551,cars.com/vehicledetail/detail/777163117/overview/
2019 ,Land Rover,Discovery Sport SE,New,0,41036,Red,Black,Automatic,4x4/4-wheel,Land Rover Jaguar Houston Central,85,4.1,13.0,32038,cars.com/vehicledetail/detail/777163086/overview/
2019 ,Land Rover,Discovery Sport SE,New,0,42807,White,Black,Automatic,4x4/4-wheel,Land Rover Jaguar Houston Central,85,4.1,13.0,33808,cars.com/vehicledetail/detail/780190988/overview/
2020 ,Land Rover,Range Rover Supercharged LWB,New,0,120268,White,Black,Automatic,4x4/4-wheel,Land Rover Jaguar Houston Central,85,4.1,13.0,120261,cars.com/vehicledetail/detail/790215985/overview/
2019 ,Land Rover,Discovery Sport SE,New,0,41321,Black,Black,Automatic,4x4/4-wheel,Land Rover Jaguar Houston Central,85,4.1,13.0,32321,cars.com/vehicledetail/detail/795235716/overview/
2019 ,Land Rover,Discovery Sport SE,New,0,42627,Gray,Black,Automatic,4x4/4-wheel,Land Rover Jaguar Houston Central,85,4.1,13.0,33627,cars.com/vehicledetail/detail/787040612/overview/
2019 ,Land Rover,Discovery Sport HSE,New,0,50376,Black,Black,Automatic,4x4/4-wheel,Land Rover Jaguar Houston Central,85,4.1,13.0,41378,cars.com/vehicledetail/detail/777163017/overview/
2019 ,Land Rover,Discovery Sport Landmark,New,0,50902,Black,Black,Automatic,4x4/4-wheel,Land Rover Jaguar Houston Central,85,4.1,13.0,47902,cars.com/vehicledetail/detail/777163052/overview/
2019 ,Land Rover,Discovery Sport Landmark,New,0,52122,White,Black,Automatic,4x4/4-wheel,Land Rover Jaguar Houston Central,85,4.1,13.0,49122,cars.com/vehicledetail/detail/777163047/overview/
2019 ,Land Rover,Discovery Sport SE,New,0,42993,Black,Black,Automatic,4x4/4-wheel,Land Rover Jaguar Houston Central,85,4.1,13.0,33993,cars.com/vehicledetail/detail/795236036/overview/
2019 ,Land Rover,Discovery Sport SE,New,0,43852,Black,Black,Automatic,4x4/4-wheel,Land Rover Jaguar Houston Central,85,4.1,13.0,40852,cars.com/vehicledetail/detail/777163120/overview/
2019 ,Land Rover,Discovery Sport Landmark,New,0,48956,White,Black,Automatic,4x4/4-wheel,Land Rover Jaguar Houston Central,85,4.1,13.0,39956,cars.com/vehicledetail/detail/787040605/overview/
2019 ,Land Rover,Discovery Sport HSE,New,0,51264,Black,Black,Automatic,4x4/4-wheel,Land Rover Jaguar Houston Central,85,4.1,13.0,48264,cars.com/vehicledetail/detail/777163058/overview/
2019 ,Land Rover,Discovery Sport HSE,New,0,50202,White,Beige,Automatic,4x4/4-wheel,Land Rover Jaguar Houston Central,85,4.1,13.0,47202,cars.com/vehicledetail/detail/777163055/overview/
2019 ,Land Rover,Discovery Sport HSE,New,0,47042,Silver,Black,Automatic,4x4/4-wheel,Land Rover Jaguar Houston Central,85,4.1,13.0,38042,cars.com/vehicledetail/detail/787040614/overview/
2019 ,Land Rover,Discovery Sport HSE,New,0,47327,Black,Black,Automatic,4x4/4-wheel,Land Rover Jaguar Houston Central,85,4.1,13.0,38327,cars.com/vehicledetail/detail/787040607/overview/
2019 ,Land Rover,Discovery Sport HSE,New,0,46796,White,Beige,Automatic,4x4/4-wheel,Land Rover Jaguar Houston Central,85,4.1,13.0,38796,cars.com/vehicledetail/detail/787040417/overview/
2020 ,Land Rover,Range Rover SV Autobiography Dynamic,New,0,182908,Black,Black,Automatic,4x4/4-wheel,Land Rover Jaguar Houston Central,85,4.1,13.0,182901,cars.com/vehicledetail/detail/794157898/overview/
2019 ,Land Rover,Discovery Sport HSE Lux Dynamic,New,0,55016,White,Other,Automatic,4x4/4-wheel,Land Rover Jaguar Houston Central,85,4.1,13.0,47014,cars.com/vehicledetail/detail/777163015/overview/
2019 ,Land Rover,Discovery Sport Landmark,New,0,50237,Black,Black,Automatic,4x4/4-wheel,Land Rover Jaguar Houston Central,85,4.1,13.0,41231,cars.com/vehicledetail/detail/777163032/overview/
2019 ,Land Rover,Discovery Sport HSE Lux Dynamic,New,0,56044,White,Black,Automatic,4x4/4-wheel,Land Rover Jaguar Houston Central,85,4.1,13.0,48044,cars.com/vehicledetail/detail/777163011/overview/
2020 ,Land Rover,Range Rover Evoque SE,New,0,54807,White,White,Automatic,AWD,Land Rover Jaguar Houston Central,85,4.1,13.0,54801,cars.com/vehicledetail/detail/790674340/overview/
2019 ,Land Rover,Discovery Sport Landmark,New,0,49211,White,Black,Automatic,4x4/4-wheel,Land Rover Jaguar Houston Central,85,4.1,13.0,40218,cars.com/vehicledetail/detail/777163036/overview/
2019 ,Land Rover,Discovery Sport HSE,New,0,46567,White,Black,Automatic,4x4/4-wheel,Land Rover Jaguar Houston Central,85,4.1,13.0,37561,cars.com/vehicledetail/detail/777163056/overview/
2019 ,Land Rover,Discovery Sport HSE,New,0,48607,Silver,Black,Automatic,4x4/4-wheel,Land Rover Jaguar Houston Central,85,4.1,13.0,39608,cars.com/vehicledetail/detail/777163024/overview/
2017 ,Land Rover,Discovery HSE,Used,9939,0,White,Other,Automatic,4x4/4-wheel,River Oaks Chrysler Jeep Dodge RAM,74,3.4,14.0,47900,cars.com/vehicledetail/detail/791962177/overview/
2006 ,Land Rover,LR3 SE,Used,130924,0,Black,Beige,Automatic,Unknown,Johnny (Private Seller),0,0.0,23.0,3500,cars.com/vehicledetail/detail/790975154/overview/
2019 ,Land Rover,Discovery Sport SE,New,0,0,Gray,Black,Automatic,4x4/4-wheel,Jaguar Land Rover of Houston North,79,4.6,24.0,34705,cars.com/vehicledetail/detail/750855500/overview/
2020 ,Land Rover,Range Rover Evoque First Edition,New,0,0,Silver,White,Automatic,AWD,Jaguar Land Rover of Houston North,79,4.6,24.0,59571,cars.com/vehicledetail/detail/790562605/overview/
2020 ,Land Rover,Range Rover Evoque SE,New,0,0,White,White,Automatic,AWD,Jaguar Land Rover of Houston North,79,4.6,24.0,56422,cars.com/vehicledetail/detail/783983165/overview/
2019 ,Land Rover,Discovery Sport SE,New,0,0,Black,Black,Automatic,4x4/4-wheel,Jaguar Land Rover of Houston North,79,4.6,24.0,40344,cars.com/vehicledetail/detail/764721172/overview/
2019 ,Land Rover,Discovery Sport SE,New,0,0,Gray,Black,Automatic,4x4/4-wheel,Jaguar Land Rover of Houston North,79,4.6,24.0,40794,cars.com/vehicledetail/detail/770123103/overview/
2018 ,Land Rover,Discovery HSE,Used,16133,0,Gray,Black,Automatic,4x4/4-wheel,Jaguar Land Rover of Houston North,79,4.6,24.0,43984,cars.com/vehicledetail/detail/784854839/overview/
2019 ,Land Rover,Discovery Sport SE,New,0,0,Black,Black,Automatic,4x4/4-wheel,Jaguar Land Rover of Houston North,79,4.6,24.0,41974,cars.com/vehicledetail/detail/764483770/overview/
2013 ,Land Rover,Range Rover Evoque Pure,Used,77010,0,White,Beige,Automatic,4x4/4-wheel,Texas Auto South,79,3.5,32.0,17798,cars.com/vehicledetail/detail/792545916/overview/
2017 ,Land Rover,Discovery HSE,Used,27591,0,White,Black,Automatic,4x4/4-wheel,Maxwell Ford Supercenter,293,4.5,130.0,43788,cars.com/vehicledetail/detail/794183782/overview/
2018 ,Land Rover,Discovery Sport HSE,Used,10362,0,Black,Black,Automatic,4x4/4-wheel,AutoNation Toyota South Austin,901,4.6,130.0,33516,cars.com/vehicledetail/detail/793451048/overview/
