Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
2016 ,Lexus,LX 570 Base,Used,31546,0,White,Red,Automatic,4x4/4-wheel,West Houston Subaru,29,5.0,6.0,62450,cars.com/vehicledetail/detail/794836144/overview/
2020 ,Lexus,,New,0,54545,White,Other,Automatic,FWD,Sterling McCall Lexus,340,4.8,6.0,54545,cars.com/vehicledetail/detail/793002482/overview/
2019 ,Lexus,UX 200,New,0,36639,Silver,Other,CVT,FWD,Sterling McCall Lexus,340,4.8,6.0,36639,cars.com/vehicledetail/detail/765875306/overview/
2019 ,Lexus,UX 200,New,0,37143,Silver,Other,CVT,FWD,Sterling McCall Lexus,340,4.8,6.0,37143,cars.com/vehicledetail/detail/760918109/overview/
2019 ,Lexus,UX 200 F Sport,New,0,38439,White,Other,CVT,FWD,Sterling McCall Lexus,340,4.8,6.0,38439,cars.com/vehicledetail/detail/766502960/overview/
2019 ,Lexus,UX 200 F Sport,New,0,38518,White,Other,CVT,FWD,Sterling McCall Lexus,340,4.8,6.0,38518,cars.com/vehicledetail/detail/761682695/overview/
2016 ,Lexus,GS 350,Used,49918,0,Black,Black,Automatic,RWD,Sterling McCall Toyota,276,4.6,6.0,22945,cars.com/vehicledetail/detail/793306269/overview/
2019 ,Lexus,UX 200,New,0,36789,White,Other,CVT,FWD,Sterling McCall Lexus,340,4.8,6.0,36789,cars.com/vehicledetail/detail/794505864/overview/
2019 ,Lexus,UX 200,New,0,36789,White,Other,CVT,FWD,Sterling McCall Lexus,340,4.8,6.0,36789,cars.com/vehicledetail/detail/791609548/overview/
2019 ,Lexus,UX 200,New,0,36789,Silver,Other,CVT,FWD,Sterling McCall Lexus,340,4.8,6.0,36789,cars.com/vehicledetail/detail/791609551/overview/
2019 ,Lexus,UX 200 F Sport,New,0,40543,Silver,Other,CVT,FWD,Westside Lexus,4717,4.8,7.0,39018,cars.com/vehicledetail/detail/777314253/overview/
2019 ,Lexus,UX 200 F Sport,New,0,38668,Silver,Other,CVT,FWD,Westside Lexus,4717,4.8,7.0,37294,cars.com/vehicledetail/detail/788297544/overview/
2019 ,Lexus,UX 200 F Sport,New,0,38943,Silver,Other,CVT,FWD,Westside Lexus,4717,4.8,7.0,37534,cars.com/vehicledetail/detail/760069064/overview/
2019 ,Lexus,UX 200 F Sport,New,0,40543,Silver,Other,CVT,FWD,Westside Lexus,4717,4.8,7.0,38818,cars.com/vehicledetail/detail/776445143/overview/
2019 ,Lexus,UX 200 Base,New,0,36868,Green,Other,CVT,FWD,Westside Lexus,4717,4.8,7.0,35350,cars.com/vehicledetail/detail/788297549/overview/
2019 ,Lexus,UX 200 Base,New,0,34974,Silver,Other,CVT,FWD,Westside Lexus,4717,4.8,7.0,33705,cars.com/vehicledetail/detail/787187079/overview/
2019 ,Lexus,UX 200 Base,New,0,36868,Silver,Other,CVT,FWD,Westside Lexus,4717,4.8,7.0,35550,cars.com/vehicledetail/detail/778773770/overview/
2019 ,Lexus,UX 200 F Sport,New,0,40543,White,Other,CVT,FWD,Westside Lexus,4717,4.8,7.0,38818,cars.com/vehicledetail/detail/786006541/overview/
2014 ,Lexus,LS 460 Base,Used,75564,0,Gray,Black,Automatic,RWD,MBK Auto Group,32,5.0,7.0,24995,cars.com/vehicledetail/detail/794744878/overview/
2019 ,Lexus,UX 200 F Sport,New,0,40543,White,Other,CVT,FWD,Westside Lexus,4717,4.8,7.0,39018,cars.com/vehicledetail/detail/777313995/overview/
2019 ,Lexus,UX 200 Base,New,0,35053,Gray,Other,CVT,FWD,Westside Lexus,4717,4.8,7.0,33676,cars.com/vehicledetail/detail/779492333/overview/
2020 ,Lexus,NX 300 Base,New,0,38918,Red,Other,Automatic,FWD,Westside Lexus,4717,4.8,7.0,36953,cars.com/vehicledetail/detail/796284093/overview/
2019 ,Lexus,UX 200 Base,New,0,35053,Gray,Other,CVT,FWD,Westside Lexus,4717,4.8,7.0,33876,cars.com/vehicledetail/detail/787187082/overview/
2012 ,Lexus,CT 200h 200H,Used,121864,0,White,Black,CVT,FWD,Houston Direct Auto,218,4.3,7.0,9791,cars.com/vehicledetail/detail/796221660/overview/
2019 ,Lexus,UX 200 F Sport,New,0,40393,White,Other,CVT,FWD,Westside Lexus,4717,4.8,7.0,38873,cars.com/vehicledetail/detail/777314254/overview/
2015 ,Lexus,CT 200h Base,Used,43438,0,White,Black,CVT,FWD,Houston Direct Auto,218,4.3,7.0,16191,cars.com/vehicledetail/detail/786823387/overview/
2019 ,Lexus,UX 200 F Sport,New,0,38668,Gray,Other,CVT,FWD,Westside Lexus,4717,4.8,7.0,37094,cars.com/vehicledetail/detail/788297547/overview/
2018 ,Lexus,LS 500 F-SPORT,Used,8828,0,White,Red,Automatic,RWD,CarMax Houston Katy Freeway,2,3.0,8.0,66998,cars.com/vehicledetail/detail/793569700/overview/
2015 ,Lexus,GS 350 Crafted Line,Used,42589,0,Gray,Black,Automatic,RWD,Sterling McCall Toyota Fort Bend,141,4.4,9.0,24492,cars.com/vehicledetail/detail/794424450/overview/
2019 ,Lexus,NX 300 F Sport,Used,10513,0,White,Black,Automatic,FWD,Nxcess Motorcars,107,2.0,10.0,37488,cars.com/vehicledetail/detail/785869037/overview/
2006 ,Lexus,ES 330,Used,85053,0,Silver,Gray,Automatic,FWD,DDM Cars,11,4.8,10.0,7995,cars.com/vehicledetail/detail/792570552/overview/
2016 ,Lexus,IS 200t Base,Used,35624,0,White,Black,Automatic,RWD,Nxcess Motorcars,107,2.0,10.0,22888,cars.com/vehicledetail/detail/784187750/overview/
2015 ,Lexus,RX 350 Base,Used,57179,0,White,Black,Automatic,FWD,ANF Auto Finance,121,2.9,17.0,18995,cars.com/vehicledetail/detail/791289235/overview/
1992 ,Lexus,SC 300,Used,103717,0,Blue,Beige,Automatic,RWD,Fall Creek Motor Cars,0,0.0,26.0,7980,cars.com/vehicledetail/detail/773261046/overview/
2004 ,Lexus,SC 430,Used,124203,0,Silver,Black,Automatic,RWD,Oasis Park and Sell,21,2.3,28.0,8500,cars.com/vehicledetail/detail/786411343/overview/
2017 ,Lexus,RC F Base,Used,25844,0,Red,Black,Automatic,RWD,Clear Lake Chrysler Jeep Dodge RAM FIAT,89,2.0,29.0,48395,cars.com/vehicledetail/detail/795652885/overview/
2016 ,Lexus,RX 450h F Sport,Used,44025,0,Blue,Black,CVT,AWD,Ron Carter Cadillac Hyundai,7187,4.1,30.0,33988,cars.com/vehicledetail/detail/793017276/overview/
2017 ,Lexus,GX 460 Base,Lexus Certified,52587,0,Gray,Black,Automatic,4x4/4-wheel,Sterling McCall Lexus Clear Lake,72,4.6,30.0,35995,cars.com/vehicledetail/detail/793957923/overview/
2018 ,Lexus,LC 500 Base,Used,14213,0,White,Black,Automatic,RWD,Bryan College Station Toyota,154,4.8,78.0,69481,cars.com/vehicledetail/detail/783318770/overview/
2017 ,Lexus,RC F Base,Used,10682,0,White,Black,Automatic,RWD,Porsche Austin,58,3.8,130.0,50494,cars.com/vehicledetail/detail/789464005/overview/
2005 ,Lexus,RX 330,Used,97872,0,Blue,Gray,Automatic,FWD,R & D Motors,0,0.0,130.0,9950,cars.com/vehicledetail/detail/795182688/overview/
2003 ,Lexus,ES 300,Used,195117,0,White,Beige,Automatic,FWD,Eric (Private Seller),0,0.0,131.0,2995,cars.com/vehicledetail/detail/782973992/overview/
2019 ,Lexus,UX 200 Base,New,0,0,Black,Silver,CVT,FWD,Lexus of Austin,28,4.9,133.0,0,cars.com/vehicledetail/detail/788190440/overview/
2019 ,Lexus,UX 200 Base,New,0,0,White,Other,CVT,FWD,Lexus of Austin,28,4.9,133.0,0,cars.com/vehicledetail/detail/786279708/overview/
2020 ,Lexus,GX 460 Luxury,New,0,0,Silver,Red,Automatic,4x4/4-wheel,Lexus of Austin,28,4.9,133.0,0,cars.com/vehicledetail/detail/793431825/overview/
2016 ,Lexus,RC 200t Base,Used,18217,0,White,Red,Automatic,RWD,Driven Auto Sales,3,5.0,133.0,29695,cars.com/vehicledetail/detail/792060928/overview/
2020 ,Lexus,RX 350 F Sport Performance,New,0,0,White,Red,Automatic,AWD,Lexus of Austin,28,4.9,133.0,0,cars.com/vehicledetail/detail/788190449/overview/
