Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
2017 ,Lincoln,Navigator L Select,Used,54919,0,Gray,Black,Automatic,RWD,West Point Buick GMC,1859,4.9,6.0,32999,cars.com/vehicledetail/detail/793729625/overview/
2015 ,Lincoln,MKC Base,Used,55427,0,Gold,White,Automatic,AWD,Sterling McCall Toyota,276,4.6,6.0,16745,cars.com/vehicledetail/detail/793868123/overview/
2019 ,Lincoln,MKC Standard,New,0,34990,Silver,Black,Automatic,FWD,West Point Lincoln,50,4.8,7.0,32002,cars.com/vehicledetail/detail/785264522/overview/
2012 ,Lincoln,MKX Base,Used,109005,0,Black,Black,Automatic,FWD,Houston Direct Auto,218,4.3,7.0,9750,cars.com/vehicledetail/detail/782868022/overview/
2017 ,Lincoln,Continental Reserve,Used,47687,0,Gray,Other,Automatic,FWD,West Point Lincoln,50,4.8,7.0,28511,cars.com/vehicledetail/detail/792092693/overview/
2019 ,Lincoln,MKC Standard,New,0,35110,Silver,Black,Automatic,FWD,West Point Lincoln,50,4.8,7.0,32108,cars.com/vehicledetail/detail/776505209/overview/
2019 ,Lincoln,MKC Standard,New,0,35110,Silver,Black,Automatic,FWD,West Point Lincoln,50,4.8,7.0,32112,cars.com/vehicledetail/detail/781737253/overview/
2019 ,Lincoln,MKC Select,New,0,39650,Black,Black,Automatic,FWD,West Point Lincoln,50,4.8,7.0,35955,cars.com/vehicledetail/detail/758567370/overview/
2019 ,Lincoln,MKC Reserve,New,0,44120,White,Beige,Automatic,FWD,West Point Lincoln,50,4.8,7.0,39944,cars.com/vehicledetail/detail/755737809/overview/
2019 ,Lincoln,MKC Select,New,0,39670,Silver,Black,Automatic,FWD,West Point Lincoln,50,4.8,7.0,36143,cars.com/vehicledetail/detail/774952460/overview/
2019 ,Lincoln,MKZ Hybrid Reserve II,New,0,50685,White,Beige,CVT,FWD,West Point Lincoln,50,4.8,7.0,46325,cars.com/vehicledetail/detail/755214044/overview/
2019 ,Lincoln,MKC Select,New,0,40175,White,Black,Automatic,FWD,West Point Lincoln,50,4.8,7.0,36424,cars.com/vehicledetail/detail/782624755/overview/
2019 ,Lincoln,MKC Reserve,New,0,46080,Black,Black,Automatic,FWD,West Point Lincoln,50,4.8,7.0,41847,cars.com/vehicledetail/detail/768364732/overview/
2019 ,Lincoln,MKC Standard,New,0,35895,White,Black,Automatic,FWD,West Point Lincoln,50,4.8,7.0,32799,cars.com/vehicledetail/detail/777952246/overview/
2019 ,Lincoln,MKC Standard,New,0,35805,White,Beige,Automatic,FWD,West Point Lincoln,50,4.8,7.0,32724,cars.com/vehicledetail/detail/783106320/overview/
2019 ,Lincoln,MKC Reserve,New,0,45990,Black,Black,Automatic,FWD,West Point Lincoln,50,4.8,7.0,41768,cars.com/vehicledetail/detail/769803774/overview/
2018 ,Lincoln,Continental Premiere,Used,15343,0,Other,Other,Automatic,FWD,Hertz Car Sales Houston South,9,5.0,24.0,25845,cars.com/vehicledetail/detail/795538495/overview/
2018 ,Lincoln,Continental Premiere,Used,14545,0,Other,Other,Automatic,FWD,Hertz Car Sales Houston South,9,5.0,24.0,27945,cars.com/vehicledetail/detail/793220542/overview/
2019 ,Lincoln,MKC Standard,New,0,34990,Black,Black,Automatic,FWD,Planet Lincoln,274,4.7,28.0,32003,cars.com/vehicledetail/detail/776538800/overview/
2019 ,Lincoln,MKC Select,Lincoln Certified,6330,0,Beige,Beige,Automatic,FWD,Planet Lincoln,274,4.7,28.0,26944,cars.com/vehicledetail/detail/793680667/overview/
2019 ,Lincoln,MKC Standard,New,0,35685,Red,Beige,Automatic,FWD,Planet Lincoln,274,4.7,28.0,32615,cars.com/vehicledetail/detail/775163900/overview/
2019 ,Lincoln,MKC Select,New,0,40245,White,Beige,Automatic,FWD,Planet Lincoln,274,4.7,28.0,36644,cars.com/vehicledetail/detail/771381675/overview/
2019 ,Lincoln,MKC Standard,New,0,35685,White,Beige,Automatic,FWD,Planet Lincoln,274,4.7,28.0,32615,cars.com/vehicledetail/detail/771890872/overview/
2019 ,Lincoln,MKC Standard,New,0,34990,Black,Black,Automatic,FWD,Planet Lincoln,274,4.7,28.0,32003,cars.com/vehicledetail/detail/776307468/overview/
2019 ,Lincoln,MKC Standard,New,0,34990,Gray,Beige,Automatic,FWD,Planet Lincoln,274,4.7,28.0,32007,cars.com/vehicledetail/detail/781481700/overview/
2019 ,Lincoln,MKC Reserve,New,0,44070,White,Black,Automatic,FWD,Planet Lincoln,274,4.7,28.0,40079,cars.com/vehicledetail/detail/770994661/overview/
2015 ,Lincoln,MKC Base,Used,38967,0,Silver,Brown,Automatic,FWD,Texas Auto South,79,3.5,32.0,19398,cars.com/vehicledetail/detail/794299892/overview/
2019 ,Lincoln,Continental Black Label,Used,26,0,Black,Black,Automatic,AWD,Crave Luxury Auto,25,4.3,33.0,157750,cars.com/vehicledetail/detail/792446899/overview/
2019 ,Lincoln,MKC Standard,New,0,35035,Gray,Black,Automatic,FWD,Mac Haik Ford Lincoln,1186,4.8,136.0,31045,cars.com/vehicledetail/detail/772511722/overview/
2016 ,Lincoln,Navigator Reserve,Used,45658,0,Black,Black,Automatic,AWD,Rosa (Private Seller),0,0.0,137.0,18000,cars.com/vehicledetail/detail/794192761/overview/
2019 ,Lincoln,MKC Select,New,0,39570,White,Beige,Automatic,FWD,Bill Mcrae Ford Lincoln,14,4.3,158.0,37570,cars.com/vehicledetail/detail/760477885/overview/
2019 ,Lincoln,MKC Standard,New,0,34990,Black,Black,Automatic,FWD,Bill Mcrae Ford Lincoln,14,4.3,158.0,32990,cars.com/vehicledetail/detail/775677056/overview/
2019 ,Lincoln,MKC Select,New,0,39640,Red,Black,Automatic,FWD,Bill Mcrae Ford Lincoln,14,4.3,158.0,37640,cars.com/vehicledetail/detail/778026055/overview/
2019 ,Lincoln,MKC Reserve,New,0,42850,Beige,Beige,Automatic,FWD,Bill Mcrae Ford Lincoln,14,4.3,158.0,39850,cars.com/vehicledetail/detail/751698298/overview/
2019 ,Lincoln,MKC Select,New,0,38875,Green,Beige,Automatic,FWD,Bill Mcrae Ford Lincoln,14,4.3,158.0,35875,cars.com/vehicledetail/detail/753142594/overview/
2016 ,Lincoln,MKC Reserve,Lincoln Certified,59938,0,White,White,Automatic,FWD,Johnson Sewell Ford Lincoln,56,4.4,168.0,20500,cars.com/vehicledetail/detail/788966077/overview/
2016 ,Lincoln,MKC Reserve,Lincoln Certified,31223,0,Black,Black,Automatic,FWD,Johnson Sewell Ford Lincoln,56,4.4,168.0,23500,cars.com/vehicledetail/detail/790417439/overview/
2017 ,Lincoln,Navigator L Select,Used,27996,0,Other,Other,Automatic,RWD,Northside Ford,1432,4.4,170.0,35526,cars.com/vehicledetail/detail/787800631/overview/
2019 ,Lincoln,MKC Select,New,0,39640,Beige,Beige,Automatic,FWD,Brinson Ford Lincoln of Corsicana,427,4.3,171.0,33969,cars.com/vehicledetail/detail/778870674/overview/
2019 ,Lincoln,MKC Select,New,0,39640,Red,Beige,Automatic,FWD,Hixson Autoplex of Leesville,112,4.3,171.0,36640,cars.com/vehicledetail/detail/768114028/overview/
2019 ,Lincoln,MKC Reserve,New,0,46565,White,Beige,Automatic,FWD,Hixson Autoplex of Leesville,112,4.3,171.0,43565,cars.com/vehicledetail/detail/766190389/overview/
2019 ,Lincoln,MKC Reserve,New,0,45870,Black,Black,Automatic,FWD,Hixson Autoplex of Leesville,112,4.3,171.0,44664,cars.com/vehicledetail/detail/772728760/overview/
