Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
2017 ,Lotus,Evora 400 Base,Used,668,0,Green,Black,Manual,RWD,Star Motor Cars,32,5.0,13.0,71000,cars.com/vehicledetail/detail/706292331/overview/
2005 ,Lotus,Elise,Used,28111,0,Silver,Black,Manual,RWD,Houston Direct Auto,218,4.3,7.0,32891,cars.com/vehicledetail/detail/789903264/overview/
2018 ,Lotus,Evora 400 Base,New,0,121240,Black,Black,Other,RWD,Hi Tech Luxury Imports,3,2.3,136.0,98900,cars.com/vehicledetail/detail/761330302/overview/
2018 ,Lotus,Evora 400 Base,New,0,0,Red,Black,Other,RWD,Star Motor Cars,32,5.0,13.0,87000,cars.com/vehicledetail/detail/763731652/overview/
2014 ,Lotus,Evora S 2+2,Used,5721,0,White,Brown,Other,RWD,Hopper Motorplex,415,4.8,249.0,54355,cars.com/vehicledetail/detail/794321516/overview/
2005 ,Lotus,Elise,Used,54023,0,Black,Other,Manual,RWD,Texas Hot Rides,27,2.8,237.0,31991,cars.com/vehicledetail/detail/793463816/overview/
2005 ,Lotus,Elise,Used,36000,0,Yellow,Black,Manual,RWD,Norbert (Private Seller),0,0.0,247.0,35500,cars.com/vehicledetail/detail/768336107/overview/
2006 ,Lotus,Exige,Used,26600,0,Red,Black,Manual,4x2/2-wheel,Isaiah (Private Seller),0,0.0,132.0,41500,cars.com/vehicledetail/detail/796336023/overview/
2020 ,Lotus,,New,0,0,Blue,Other,Other,Unknown,Hi Tech Luxury Imports,3,2.3,136.0,0,cars.com/vehicledetail/detail/796265836/overview/
2020 ,Lotus,,New,0,0,Silver,Other,Other,Unknown,Hi Tech Luxury Imports,3,2.3,136.0,0,cars.com/vehicledetail/detail/796265835/overview/
2017 ,Lotus,Evora 400 Base,Used,3437,0,Silver,Red,Manual,RWD,Mark Motors,1,5.0,182.0,75888,cars.com/vehicledetail/detail/794361338/overview/
2011 ,Lotus,Evora 2+2,Used,31650,0,Yellow,Black,Manual,RWD,RPM Garage,2,5.0,232.0,39991,cars.com/vehicledetail/detail/797035146/overview/
