Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
2020 ,MINI,Hardtop Cooper S,New,0,37790,White,Gray,Automatic,FWD,Momentum BMW MINI,370,3.4,6.0,35791,cars.com/vehicledetail/detail/795316979/overview/
2019 ,MINI,Hardtop Cooper,New,0,27750,Gray,Black,Automatic,FWD,Momentum BMW MINI,370,3.4,6.0,23992,cars.com/vehicledetail/detail/786704902/overview/
2020 ,MINI,Hardtop Cooper,New,0,27880,Red,Black,Automatic,FWD,Momentum BMW MINI,370,3.4,6.0,26781,cars.com/vehicledetail/detail/794758183/overview/
2020 ,MINI,Hardtop Cooper,New,0,27795,Green,Black,Automatic,FWD,Momentum BMW MINI,370,3.4,6.0,26691,cars.com/vehicledetail/detail/791979416/overview/
2020 ,MINI,Hardtop Cooper S,New,0,32280,Blue,Black,Automatic,FWD,Momentum BMW MINI,370,3.4,6.0,30281,cars.com/vehicledetail/detail/788276362/overview/
2020 ,MINI,Hardtop Cooper,New,0,27630,Orange,Black,Automatic,FWD,Momentum BMW MINI,370,3.4,6.0,26531,cars.com/vehicledetail/detail/790995291/overview/
2020 ,MINI,Hardtop Cooper S,New,0,37830,Gray,Gray,Automatic,FWD,Momentum BMW MINI,370,3.4,6.0,35831,cars.com/vehicledetail/detail/792037382/overview/
2020 ,MINI,Hardtop Cooper,New,0,27880,Green,Black,Automatic,FWD,Momentum BMW MINI,370,3.4,6.0,26781,cars.com/vehicledetail/detail/794758427/overview/
2020 ,MINI,Hardtop Cooper,New,0,24780,Gray,Black,Automatic,FWD,Momentum BMW MINI,370,3.4,6.0,23681,cars.com/vehicledetail/detail/796802788/overview/
2020 ,MINI,Convertible Cooper,New,0,33070,White,Black,Automatic,FWD,Momentum BMW MINI,370,3.4,6.0,31991,cars.com/vehicledetail/detail/788692163/overview/
2020 ,MINI,Hardtop Cooper S,New,0,28750,Gray,Black,Automatic,FWD,Momentum BMW MINI,370,3.4,6.0,26751,cars.com/vehicledetail/detail/792105987/overview/
2020 ,MINI,Hardtop Cooper S,New,0,34000,Red,Black,Automatic,FWD,Momentum BMW MINI,370,3.4,6.0,31991,cars.com/vehicledetail/detail/788691909/overview/
2020 ,MINI,Hardtop Cooper,New,0,28025,White,Black,Automatic,FWD,Momentum BMW MINI,370,3.4,6.0,26921,cars.com/vehicledetail/detail/790713799/overview/
2020 ,MINI,Hardtop Cooper,New,0,27780,Red,Black,Automatic,FWD,Momentum BMW MINI,370,3.4,6.0,26681,cars.com/vehicledetail/detail/790713802/overview/
2020 ,MINI,Hardtop Cooper,New,0,27530,Gray,Black,Automatic,FWD,Momentum BMW MINI,370,3.4,6.0,26282,cars.com/vehicledetail/detail/786405062/overview/
2020 ,MINI,Hardtop Cooper,New,0,29295,Blue,Black,Automatic,FWD,Momentum BMW MINI,370,3.4,6.0,28191,cars.com/vehicledetail/detail/790670460/overview/
2019 ,MINI,Countryman Cooper S,Used,4641,0,Gray,Black,Automatic,FWD,Momentum BMW MINI,370,3.4,6.0,25461,cars.com/vehicledetail/detail/795928237/overview/
2020 ,MINI,Hardtop Cooper,New,0,25280,White,Black,Automatic,FWD,Momentum BMW MINI,370,3.4,6.0,23992,cars.com/vehicledetail/detail/786404786/overview/
2009 ,MINI,Cooper S,Used,85325,0,Black,Black,Automatic,FWD,Oasis Park and Sell,21,2.3,28.0,6950,cars.com/vehicledetail/detail/786411334/overview/
2013 ,MINI,Coupe Cooper S,Used,57168,0,Black,Other,Automatic,FWD,Auto Boutique Texas,21,3.9,33.0,7995,cars.com/vehicledetail/detail/787239280/overview/
2019 ,MINI,Hardtop Cooper,New,0,26195,White,Other,Automatic,FWD,Advantage BMW Clear Lake,102,4.3,34.0,23195,cars.com/vehicledetail/detail/793583478/overview/
2019 ,MINI,Hardtop Cooper,New,0,29250,Orange,Other,Automatic,FWD,Advantage BMW Clear Lake,102,4.3,34.0,25195,cars.com/vehicledetail/detail/754823341/overview/
2019 ,MINI,Hardtop Cooper S,New,0,34295,Red,Other,Automatic,FWD,Advantage BMW Clear Lake,102,4.3,34.0,31195,cars.com/vehicledetail/detail/777746147/overview/
2020 ,MINI,Hardtop Cooper,New,0,28280,Silver,Other,Automatic,FWD,Advantage BMW Clear Lake,102,4.3,34.0,27780,cars.com/vehicledetail/detail/794651284/overview/
2019 ,MINI,Countryman Cooper S,New,0,41715,Silver,Other,Automatic,FWD,BMW of San Antonio,499,4.6,176.0,36900,cars.com/vehicledetail/detail/792093764/overview/
2019 ,MINI,Countryman Cooper S ALL4,New,0,40920,Black,Black,Automatic,AWD,BMW of San Antonio,499,4.6,176.0,36900,cars.com/vehicledetail/detail/792118529/overview/
2019 ,MINI,Countryman Cooper S ALL4,New,0,42450,Green,Other,Automatic,AWD,BMW of San Antonio,499,4.6,176.0,37900,cars.com/vehicledetail/detail/792093601/overview/
2019 ,MINI,Hardtop Cooper,New,0,29395,Blue,Black,Automatic,FWD,BMW of San Antonio,499,4.6,176.0,25900,cars.com/vehicledetail/detail/790274993/overview/
2020 ,MINI,Hardtop Cooper,New,0,27630,White,Black,Automatic,FWD,BMW of San Antonio,499,4.6,176.0,25900,cars.com/vehicledetail/detail/792118533/overview/
2020 ,MINI,Hardtop Cooper,New,0,25055,Black,Black,Automatic,FWD,BMW of San Antonio,499,4.6,176.0,23900,cars.com/vehicledetail/detail/792118417/overview/
2020 ,MINI,Hardtop Cooper,New,0,0,White,Black,Automatic,FWD,BMW of San Antonio,499,4.6,176.0,0,cars.com/vehicledetail/detail/796025625/overview/
2020 ,MINI,Convertible Cooper,New,0,32820,Blue,Black,Automatic,FWD,BMW of San Antonio,499,4.6,176.0,31900,cars.com/vehicledetail/detail/792093614/overview/
2019 ,MINI,Hardtop Cooper S,New,0,34100,Red,Black,Automatic,FWD,BMW of San Antonio,499,4.6,176.0,29900,cars.com/vehicledetail/detail/789297222/overview/
2019 ,MINI,Countryman Cooper S,New,0,41715,Blue,Black,Automatic,FWD,BMW of San Antonio,499,4.6,176.0,36900,cars.com/vehicledetail/detail/791969830/overview/
2019 ,MINI,Hardtop Cooper,New,0,29295,White,Black,Automatic,FWD,BMW of San Antonio,499,4.6,176.0,26900,cars.com/vehicledetail/detail/790274999/overview/
2019 ,MINI,Hardtop Cooper S,New,0,33400,White,Black,Automatic,FWD,BMW of San Antonio,499,4.6,176.0,29900,cars.com/vehicledetail/detail/790274998/overview/
2019 ,MINI,Countryman Cooper,New,0,32750,White,Black,Automatic,FWD,BMW of San Antonio,499,4.6,176.0,29250,cars.com/vehicledetail/detail/796837073/overview/
