Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
2014 ,Maserati,Ghibli S Q4,Used,69251,0,Black,Other,Automatic,AWD,Z Auto Place,0,0.0,5.0,28888,cars.com/vehicledetail/detail/789447605/overview/
2011 ,Maserati,GranTurismo Base,Used,4503,0,Gray,Black,Automatic,RWD,Ultimate Motorsports Inc.,520,4.8,6.0,39995,cars.com/vehicledetail/detail/793571719/overview/
2014 ,Maserati,Quattroporte S Q4,Used,24637,0,Silver,Black,Automatic,AWD,Houston Direct Auto,218,4.3,7.0,29991,cars.com/vehicledetail/detail/772158584/overview/
2016 ,Maserati,Ghibli S Q4,Used,27131,0,Gray,Black,Automatic,AWD,Houston Direct Auto,218,4.3,7.0,33991,cars.com/vehicledetail/detail/789903287/overview/
2018 ,Maserati,Levante GranLusso,Used,28247,0,Brown,Brown,Automatic,AWD,Audi West Houston,527,4.6,7.0,52993,cars.com/vehicledetail/detail/793759242/overview/
2016 ,Maserati,Quattroporte S,Used,36452,0,White,Black,Automatic,AWD,Autovision LLC,1,5.0,10.0,34999,cars.com/vehicledetail/detail/786657553/overview/
2016 ,Maserati,Ghibli S Q4,Used,38611,0,Gray,Black,Automatic,AWD,Nxcess Motorcars,107,2.0,10.0,30888,cars.com/vehicledetail/detail/785397296/overview/
2016 ,Maserati,Ghibli Base,Used,17479,0,Black,Black,Automatic,RWD,Autovision LLC,1,5.0,10.0,31899,cars.com/vehicledetail/detail/792559884/overview/
2018 ,Maserati,GranTurismo Sport,New,0,144535,Other,Brown,Automatic,RWD,Helfman Dodge Chrysler Jeep Ram FIAT Alfa Romeo Maserati,298,4.9,12.0,104535,cars.com/vehicledetail/detail/768649842/overview/
2019 ,Maserati,Quattroporte S,New,0,116445,White,Other,Automatic,RWD,Helfman Dodge Chrysler Jeep Ram FIAT Alfa Romeo Maserati,298,4.9,12.0,101445,cars.com/vehicledetail/detail/774853074/overview/
2019 ,Maserati,Levante GTS,New,0,130735,White,Beige,Automatic,AWD,Helfman Dodge Chrysler Jeep Ram FIAT Alfa Romeo Maserati,298,4.9,12.0,130735,cars.com/vehicledetail/detail/774222060/overview/
2019 ,Maserati,Levante Base,New,0,80745,White,Beige,Automatic,AWD,Helfman Dodge Chrysler Jeep Ram FIAT Alfa Romeo Maserati,298,4.9,12.0,65745,cars.com/vehicledetail/detail/790418640/overview/
2019 ,Maserati,Ghibli Base,New,0,89375,Blue,Beige,Automatic,RWD,Helfman Dodge Chrysler Jeep Ram FIAT Alfa Romeo Maserati,298,4.9,12.0,74375,cars.com/vehicledetail/detail/786767568/overview/
2019 ,Maserati,Levante Trofeo,New,0,173610,White,Red,Automatic,AWD,Helfman Dodge Chrysler Jeep Ram FIAT Alfa Romeo Maserati,298,4.9,12.0,161610,cars.com/vehicledetail/detail/773776705/overview/
2019 ,Maserati,Levante GranLusso,New,0,93310,Gray,Other,Automatic,AWD,Helfman Dodge Chrysler Jeep Ram FIAT Alfa Romeo Maserati,298,4.9,12.0,78310,cars.com/vehicledetail/detail/786767661/overview/
