Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
2018 ,Mazda,CX-9 Touring,Used,37195,0,Silver,Black,Automatic,AWD,Sterling McCall Buick GMC,181,4.3,6.0,22994,cars.com/vehicledetail/detail/792220128/overview/
2019 ,Mazda,CX-9 Touring,Used,8500,0,Blue,Beige,Automatic,FWD,TRED Private Seller (Sugarland),0,0.0,6.0,31999,cars.com/vehicledetail/detail/789353726/overview/
2013 ,Mazda,5 Touring,Used,129509,0,Black,Black,Automatic,FWD,Texas Perfect Auto,6,3.5,7.0,4999,cars.com/vehicledetail/detail/779464424/overview/
2018 ,Mazda,CX-9 Grand Touring,Used,19636,0,Gray,Beige,Automatic,FWD,Jeff Haas Mazda,970,4.9,7.0,30494,cars.com/vehicledetail/detail/791362594/overview/
2010 ,Mazda,Speed3 Sport,Used,85000,0,Black,Black,Manual,FWD,Ali (Private Seller),0,0.0,7.0,8500,cars.com/vehicledetail/detail/794769025/overview/
2017 ,Mazda,CX-3 Touring,Used,21845,0,Blue,Black,Automatic,FWD,Jeff Haas Mazda,970,4.9,7.0,15401,cars.com/vehicledetail/detail/789545896/overview/
2020 ,Mazda,3 FWD w/Select Package,New,0,23820,White,Beige,Automatic,FWD,Jeff Haas Mazda,970,4.9,7.0,23113,cars.com/vehicledetail/detail/792845421/overview/
2011 ,Mazda,Speed3 Sport,Used,68000,0,Gray,Black,Manual,FWD,SW Auto LLC,16,3.5,8.0,8995,cars.com/vehicledetail/detail/773637510/overview/
2019 ,Mazda,CX-5 Sport,New,0,26220,White,Black,Automatic,FWD,Joe Myers Mazda Kia,68,4.2,13.0,22926,cars.com/vehicledetail/detail/791248812/overview/
2020 ,Mazda,CX-9 Touring,New,0,39055,Gray,Black,Automatic,FWD,Russell & Smith Mazda,0,0.0,13.0,38469,cars.com/vehicledetail/detail/796049057/overview/
2019 ,Mazda,CX-5 Touring,New,0,27660,Blue,Black,Automatic,FWD,Russell & Smith Mazda,0,0.0,13.0,26310,cars.com/vehicledetail/detail/791672077/overview/
2020 ,Mazda,6 Touring,New,0,27820,Gray,Black,Automatic,FWD,Russell & Smith Mazda,0,0.0,13.0,27403,cars.com/vehicledetail/detail/794227801/overview/
2010 ,Mazda,3 s Sport,Used,160448,0,White,Black,Automatic,FWD,Universal Auto Credit,70,4.0,13.0,4495,cars.com/vehicledetail/detail/793046358/overview/
2020 ,Mazda,6 Touring,New,0,27720,White,Beige,Automatic,FWD,Russell & Smith Mazda,0,0.0,13.0,27304,cars.com/vehicledetail/detail/795253981/overview/
2019 ,Mazda,CX-5 Touring,New,0,27910,Gray,Black,Automatic,FWD,Joe Myers Mazda Kia,68,4.2,13.0,24362,cars.com/vehicledetail/detail/795295850/overview/
2017 ,Mazda,CX-9 Signature,Used,24539,0,Gray,Other,Automatic,AWD,Audi Central Houston,412,4.4,14.0,27394,cars.com/vehicledetail/detail/791991969/overview/
2009 ,Mazda,MX-5 Miata Grand Touring,Used,34443,0,Red,Black,Manual,RWD,Auto Broker Texas Inc,0,0.0,18.0,9900,cars.com/vehicledetail/detail/779676767/overview/
2019 ,Mazda,CX-9 Touring,Used,28941,0,White,Beige,Automatic,FWD,EchoPark Automotive Houston,35,4.5,19.0,24389,cars.com/vehicledetail/detail/796831416/overview/
