Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
2004 ,Mercedes Benz,Mercedes-Benz G500 4MATIC,Used,79464,0,Black,Black,Automatic,RWD,Nikeva (Private Seller),0,0.0,4.0,24800,cars.com/vehicledetail/detail/770515347/overview/
2015 ,Mercedes Benz,Mercedes-Benz GLK 350,Used,67857,0,Black,Black,Automatic,RWD,ABZ Motors,52,4.0,5.0,15995,cars.com/vehicledetail/detail/796766592/overview/
2017 ,Mercedes Benz,Mercedes-Benz GLS 450 Base 4MATIC,Used,21580,0,White,Black,Automatic,AWD,ABZ Motors,52,4.0,5.0,42495,cars.com/vehicledetail/detail/792065407/overview/
2016 ,Mercedes Benz,Mercedes-Benz Sprinter,Used,7904,0,White,Black,Automatic,RWD,AutoNation USA Katy,8,3.1,6.0,34983,cars.com/vehicledetail/detail/792559523/overview/
2019 ,Mercedes Benz,Mercedes-Benz AMG GLC 43 4MATIC Coupe,Mercedes-Benz Certified,12161,0,White,Black,Automatic,AWD,Mercedes-Benz of Sugar Land,503,3.1,6.0,62493,cars.com/vehicledetail/detail/794330329/overview/
2019 ,Mercedes Benz,Mercedes-Benz Metris Base,New,0,59989,Black,Black,Automatic,RWD,Mercedes-Benz of Sugar Land,503,3.1,6.0,59989,cars.com/vehicledetail/detail/778038636/overview/
2020 ,Mercedes Benz,Mercedes-Benz AMG GT 53 Base,New,0,118205,Blue,Red,Automatic,AWD,Mercedes-Benz of Sugar Land,503,3.1,6.0,118205,cars.com/vehicledetail/detail/794361109/overview/
2020 ,Mercedes Benz,Mercedes-Benz AMG CLS 53 Base 4MATIC,New,0,100515,Black,Black,Automatic,AWD,Mercedes-Benz of Sugar Land,503,3.1,6.0,100515,cars.com/vehicledetail/detail/791976388/overview/
2020 ,Mercedes Benz,Mercedes-Benz AMG CLS 53 Base 4MATIC,New,0,105995,Other,Black,Automatic,AWD,Mercedes-Benz of Sugar Land,503,3.1,6.0,105995,cars.com/vehicledetail/detail/787835946/overview/
2020 ,Mercedes Benz,Mercedes-Benz GLS 450 Base 4MATIC,New,0,80085,Black,Brown,Automatic,AWD,Mercedes-Benz of Sugar Land,503,3.1,6.0,80085,cars.com/vehicledetail/detail/796283529/overview/
2011 ,Mercedes Benz,Mercedes-Benz GL550,Used,67108,0,White,Beige,Automatic,AWD,AutoNation USA Katy,8,3.1,6.0,19983,cars.com/vehicledetail/detail/796744802/overview/
2011 ,Mercedes Benz,Mercedes-Benz R 350 BlueTEC 4MATIC,Used,101473,0,Black,Black,Automatic,AWD,R&T Expo,19,4.3,7.0,11995,cars.com/vehicledetail/detail/796469311/overview/
2008 ,Mercedes Benz,Mercedes-Benz R 350,Used,126073,0,Blue,Beige,Automatic,RWD,Houston Direct Auto,218,4.3,7.0,6888,cars.com/vehicledetail/detail/760965718/overview/
2007 ,Mercedes Benz,Mercedes-Benz CL 600,Used,55509,0,Gray,Black,Automatic,RWD,TX Auto Group,21,3.8,10.0,23900,cars.com/vehicledetail/detail/794817034/overview/
2018 ,Mercedes Benz,Mercedes-Benz AMG CLA 45 Base 4MATIC,Used,12928,0,Black,Black,Automatic,AWD,Nxcess Motorcars,107,2.0,10.0,38888,cars.com/vehicledetail/detail/792945775/overview/
2017 ,Mercedes Benz,Mercedes-Benz G 550 4x4 Squared Base,Used,29832,0,Black,Black,Automatic,AWD,ICON Exotics,2,5.0,10.0,184995,cars.com/vehicledetail/detail/768899835/overview/
2018 ,Mercedes Benz,Mercedes-Benz CLA 250 Base,Used,51998,0,Black,Black,Automatic,FWD,Nxcess Motorcars,107,2.0,10.0,21888,cars.com/vehicledetail/detail/792010566/overview/
2003 ,Mercedes Benz,Mercedes-Benz SL500 Roadster,Used,68711,0,Silver,Gray,Automatic,RWD,Autos-Mobiles,31,5.0,10.0,11994,cars.com/vehicledetail/detail/794076615/overview/
2006 ,Mercedes Benz,Mercedes-Benz CLK 350,Used,90212,0,Silver,Gray,Automatic,RWD,Quality Motorcars,41,3.0,10.0,4500,cars.com/vehicledetail/detail/778623920/overview/
2007 ,Mercedes Benz,Mercedes-Benz CL 600,Used,128773,0,Silver,Black,Automatic,RWD,Nxcess Motorcars,107,2.0,10.0,14888,cars.com/vehicledetail/detail/790675412/overview/
2019 ,Mercedes Benz,Mercedes-Benz GLS 450 Base 4MATIC,Mercedes-Benz Certified,5101,0,White,Beige,Automatic,AWD,Star Motor Cars,32,5.0,13.0,63850,cars.com/vehicledetail/detail/789082417/overview/
2014 ,Mercedes Benz,Mercedes-Benz CLA 250,Used,33545,0,Silver,Other,Automatic,FWD,River Oaks Chrysler Jeep Dodge RAM,74,3.4,14.0,19900,cars.com/vehicledetail/detail/787044767/overview/
2017 ,Mercedes Benz,Mercedes-Benz AMG C 43 Base 4MATIC,Used,3800,0,Gray,Red,Automatic,AWD,whitt (Private Seller),0,0.0,15.0,33000,cars.com/vehicledetail/detail/786508197/overview/
2014 ,Mercedes Benz,Mercedes-Benz C 250 Sport,Used,61706,0,Black,Beige,Automatic,RWD,Dash Motorworks,25,5.0,19.0,12995,cars.com/vehicledetail/detail/794371789/overview/
2019 ,Mercedes Benz,Mercedes-Benz Sprinter 3500 High Roof,New,0,52276,Other,Black,Automatic,RWD,Mercedes-Benz of Houston North,714,4.6,26.0,52276,cars.com/vehicledetail/detail/794389860/overview/
2019 ,Mercedes Benz,Mercedes-Benz Sprinter 1500 Standard Roof,New,0,37950,Black,Black,Automatic,RWD,Mercedes-Benz of Houston North,714,4.6,26.0,37950,cars.com/vehicledetail/detail/796013072/overview/
2019 ,Mercedes Benz,Mercedes-Benz Sprinter 1500 Standard Roof,New,0,36935,Other,Black,Automatic,RWD,Mercedes-Benz of Houston North,714,4.6,26.0,36935,cars.com/vehicledetail/detail/791746999/overview/
2019 ,Mercedes Benz,Mercedes-Benz Metris Base,New,0,33951,White,Black,Automatic,RWD,Mercedes-Benz of Houston North,714,4.6,26.0,33951,cars.com/vehicledetail/detail/779241712/overview/
2019 ,Mercedes Benz,Mercedes-Benz Sprinter 1500 Standard Roof,New,0,37950,Black,Black,Automatic,RWD,Mercedes-Benz of Houston North,714,4.6,26.0,37950,cars.com/vehicledetail/detail/796012921/overview/
2020 ,Mercedes Benz,Mercedes-Benz A 220,New,0,37660,Red,Beige,Automatic,FWD,Mercedes-Benz of Houston North,714,4.6,26.0,37660,cars.com/vehicledetail/detail/796013242/overview/
