Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
2008 ,Mercury,Grand Marquis GS,Used,28067,0,Gray,Gray,Automatic,RWD,Fall Creek Motor Cars,0,0.0,26.0,11980,cars.com/vehicledetail/detail/793577920/overview/
2000 ,Mercury,Grand Marquis LS,Used,121276,0,Blue,Gray,Automatic,RWD,AUTOGREEN USA LLC,72,4.5,11.0,2500,cars.com/vehicledetail/detail/794847689/overview/
2003 ,Mercury,Mountaineer,Used,136799,0,Green,Beige,Automatic,RWD,International Motor,19,5.0,236.0,6995,cars.com/vehicledetail/detail/793299549/overview/
2005 ,Mercury,Grand Marquis GS,Used,73643,0,Green,Gray,Automatic,RWD,Emmons Autoplex,364,4.4,33.0,6999,cars.com/vehicledetail/detail/790426816/overview/
2008 ,Mercury,Grand Marquis GS,Used,136282,0,Silver,Gray,Automatic,RWD,Way2Drive,33,3.1,236.0,3495,cars.com/vehicledetail/detail/785049418/overview/
2003 ,Mercury,Grand Marquis LSE,Used,160636,0,White,Beige,Automatic,RWD,Grapevine Motors,11,3.0,239.0,2995,cars.com/vehicledetail/detail/778101128/overview/
2007 ,Mercury,Grand Marquis GS,Used,169645,0,Gray,Beige,Automatic,RWD,Brinson Ford  of Athens,704,4.3,175.0,4989,cars.com/vehicledetail/detail/795141234/overview/
2008 ,Mercury,Mariner Premier,Used,139827,0,White,Other,Automatic,FWD,1and 2 Automotive,283,3.7,232.0,5288,cars.com/vehicledetail/detail/791195736/overview/
2008 ,Mercury,Sable Premier,Used,38868,0,Blue,Gray,Automatic,FWD,Emmons Autoplex,364,4.4,33.0,8498,cars.com/vehicledetail/detail/791036922/overview/
2008 ,Mercury,Grand Marquis GS,Used,37988,0,White,Beige,Automatic,RWD,Fall Creek Motor Cars,0,0.0,26.0,11980,cars.com/vehicledetail/detail/788266676/overview/
1994 ,Mercury,Cougar XR7,Used,89473,0,White,Beige,Automatic,Unknown,RLB Sales and Leasing,9,4.4,235.0,3480,cars.com/vehicledetail/detail/786977482/overview/
2006 ,Mercury,Montego Luxury,Used,122601,0,Red,Gray,Automatic,FWD,Milam Kars,8,1.0,228.0,4995,cars.com/vehicledetail/detail/734560959/overview/
2005 ,Mercury,Mariner,Used,156227,0,Silver,Other,Automatic,4x4/4-wheel,Texas Drive Auto Dealer,52,4.7,231.0,3500,cars.com/vehicledetail/detail/795755407/overview/
2004 ,Mercury,Grand Marquis LS Premium,Used,104309,0,Gold,Beige,Automatic,RWD,Fall Creek Motor Cars,0,0.0,26.0,4980,cars.com/vehicledetail/detail/758728532/overview/
2010 ,Mercury,Grand Marquis LS Ultimate,Used,69827,0,Silver,Beige,Automatic,RWD,Fall Creek Motor Cars,0,0.0,26.0,9980,cars.com/vehicledetail/detail/786207582/overview/
2001 ,Mercury,Grand Marquis GS,Used,144774,0,Beige,Beige,Automatic,RWD,R & D Motors,0,0.0,130.0,2950,cars.com/vehicledetail/detail/781727558/overview/
