Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
2016 ,Mitsubishi,Outlander SE,Used,30324,0,White,Other,CVT,FWD,Sterling McCall Buick GMC,181,4.3,6.0,13989,cars.com/vehicledetail/detail/793983930/overview/
2008 ,Mitsubishi,Eclipse GS,Used,170666,0,Beige,Gray,Automatic,FWD,Sterling McCall Lexus,340,4.8,6.0,3742,cars.com/vehicledetail/detail/795556996/overview/
2017 ,Mitsubishi,Lancer ES,Used,42289,0,White,Black,CVT,FWD,Houston Direct Auto,218,4.3,7.0,10991,cars.com/vehicledetail/detail/794759844/overview/
2020 ,Mitsubishi,Eclipse Cross LE,New,0,25375,Black,Black,CVT,FWD,Rosenberg Mitsubishi,0,0.0,13.0,25375,cars.com/vehicledetail/detail/792069471/overview/
2020 ,Mitsubishi,Outlander Sport 2.0 ES,New,0,23735,Silver,Black,CVT,FWD,Rosenberg Mitsubishi,0,0.0,13.0,23735,cars.com/vehicledetail/detail/792069481/overview/
2020 ,Mitsubishi,Outlander SE,New,0,27425,Brown,Black,CVT,FWD,Rosenberg Mitsubishi,0,0.0,13.0,27425,cars.com/vehicledetail/detail/792069389/overview/
2020 ,Mitsubishi,Outlander ES,New,0,26430,White,Black,CVT,FWD,Rosenberg Mitsubishi,0,0.0,13.0,26430,cars.com/vehicledetail/detail/792069546/overview/
2016 ,Mitsubishi,Lancer ES,Used,70226,0,Gray,Black,CVT,FWD,ANF Auto Finance,121,2.9,17.0,9495,cars.com/vehicledetail/detail/788417804/overview/
2015 ,Mitsubishi,Outlander Sport 2.4L GT,Used,26675,0,Silver,Black,CVT,FWD,Texas Auto North,28,4.4,21.0,14000,cars.com/vehicledetail/detail/795268437/overview/
2015 ,Mitsubishi,Mirage ES,Used,40160,0,Silver,Other,CVT,FWD,Lone Star Auto Center,0,0.0,29.0,6995,cars.com/vehicledetail/detail/795875207/overview/
2006 ,Mitsubishi,Eclipse GS,Used,121000,0,Gray,Gray,Automatic,FWD,Evan (Private Seller),0,0.0,32.0,5000,cars.com/vehicledetail/detail/796432150/overview/
2017 ,Mitsubishi,Mirage ES,Used,8986,0,Red,Black,CVT,FWD,Emmons Autoplex,364,4.4,33.0,9999,cars.com/vehicledetail/detail/793687877/overview/
2019 ,Mitsubishi,Mirage SE,New,0,17625,Silver,Black,CVT,FWD,"DeMontrond-Texas City,TX",87,5.0,41.0,15251,cars.com/vehicledetail/detail/768892345/overview/
2019 ,Mitsubishi,Mirage SE,New,0,17730,Gray,Black,CVT,FWD,"DeMontrond-Texas City,TX",87,5.0,41.0,15341,cars.com/vehicledetail/detail/782284608/overview/
2019 ,Mitsubishi,Mirage G4 RF,New,0,17620,Red,Black,CVT,FWD,"DeMontrond-Texas City,TX",87,5.0,41.0,15235,cars.com/vehicledetail/detail/772817967/overview/
