Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
2019 ,Nissan,Rogue Sport SL,New,0,0,Black,Other,CVT,FWD,Sterling McCall Nissan,151,4.2,5.0,0,cars.com/vehicledetail/detail/793790493/overview/
2019 ,Nissan,Kicks SV,New,0,22675,White,Gray,CVT,FWD,Central Houston Nissan,1200,4.1,13.0,18406,cars.com/vehicledetail/detail/790795987/overview/
2019 ,Nissan,Kicks SV,New,0,22645,Red,Gray,CVT,FWD,Central Houston Nissan,1200,4.1,13.0,18383,cars.com/vehicledetail/detail/793462826/overview/
2019 ,Nissan,Kicks SV,New,0,22080,Silver,Gray,CVT,FWD,Central Houston Nissan,1200,4.1,13.0,17927,cars.com/vehicledetail/detail/787958591/overview/
2020 ,Nissan,Versa S,New,0,17985,Gray,Gray,CVT,FWD,Central Houston Nissan,1200,4.1,13.0,17277,cars.com/vehicledetail/detail/785574139/overview/
2019 ,Nissan,Kicks SV,New,0,22080,Silver,Gray,CVT,FWD,Central Houston Nissan,1200,4.1,13.0,17927,cars.com/vehicledetail/detail/786793938/overview/
2019 ,Nissan,Kicks S,New,0,20735,Gray,Gray,CVT,FWD,Central Houston Nissan,1200,4.1,13.0,16700,cars.com/vehicledetail/detail/792350194/overview/
2019 ,Nissan,Rogue Sport SL,New,0,32115,White,Gray,CVT,FWD,Central Houston Nissan,1200,4.1,13.0,24997,cars.com/vehicledetail/detail/787577919/overview/
2019 ,Nissan,Rogue Sport SL,New,0,31720,Silver,Gray,CVT,FWD,Central Houston Nissan,1200,4.1,13.0,24674,cars.com/vehicledetail/detail/783583067/overview/
2019 ,Nissan,Kicks SV,New,0,22080,Silver,Gray,CVT,FWD,Central Houston Nissan,1200,4.1,13.0,17927,cars.com/vehicledetail/detail/786793945/overview/
2020 ,Nissan,Rogue Sport SV,New,0,26305,Blue,Gray,CVT,FWD,Central Houston Nissan,1200,4.1,13.0,23401,cars.com/vehicledetail/detail/795675841/overview/
2019 ,Nissan,Kicks SV,New,0,22080,Silver,Gray,CVT,FWD,Central Houston Nissan,1200,4.1,13.0,17927,cars.com/vehicledetail/detail/786793941/overview/
2020 ,Nissan,Versa 1.6 SV,New,0,19395,Gray,Gray,CVT,FWD,Central Houston Nissan,1200,4.1,13.0,18636,cars.com/vehicledetail/detail/785574144/overview/
2019 ,Nissan,Kicks S,New,0,20370,Silver,Gray,CVT,FWD,Central Houston Nissan,1200,4.1,13.0,16432,cars.com/vehicledetail/detail/787958801/overview/
2019 ,Nissan,Rogue Sport SV,New,0,28275,Blue,Gray,CVT,FWD,Central Houston Nissan,1200,4.1,13.0,20948,cars.com/vehicledetail/detail/795142008/overview/
2019 ,Nissan,Rogue Sport SV,New,0,28275,Blue,Gray,CVT,FWD,Central Houston Nissan,1200,4.1,13.0,20948,cars.com/vehicledetail/detail/795142461/overview/
2019 ,Nissan,Rogue Sport SV,New,0,28275,Blue,Gray,CVT,FWD,Central Houston Nissan,1200,4.1,13.0,20948,cars.com/vehicledetail/detail/795141955/overview/
