Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
1998 ,Oldsmobile,,Used,107458,0,Gold,Other,Automatic,FWD,Lubke's Cars & Trucks,9,5.0,239.0,2950,cars.com/vehicledetail/detail/84255800/overview/
1992 ,Oldsmobile,LS,Used,208587,0,Green,Other,Automatic,FWD,Lubke's Cars & Trucks,9,5.0,239.0,1250,cars.com/vehicledetail/detail/652474279/overview/
1969 ,Oldsmobile,Cutlass,Used,114244,0,Red,Black,Automatic,4x2/2-wheel,Bird Imports,0,0.0,182.0,26000,cars.com/vehicledetail/detail/787171516/overview/
1955 ,Oldsmobile,98,Used,33000,0,Blue,Blue,Automatic,AWD,Shonda (Private Seller),0,0.0,191.0,1250,cars.com/vehicledetail/detail/795773441/overview/
2000 ,Oldsmobile,Silhouette,Used,154866,0,Gold,Other,Automatic,FWD,Lubke's Cars & Trucks,9,5.0,239.0,3950,cars.com/vehicledetail/detail/739136144/overview/
1972 ,Oldsmobile,Cutlass Supreme,Used,24000,0,Black,White,Automatic,RWD,Jimmy (Private Seller),0,0.0,212.0,26000,cars.com/vehicledetail/detail/786892046/overview/
2004 ,Oldsmobile,Bravada,Used,177585,0,White,Gray,Automatic,AWD,Way2Drive,33,3.1,236.0,2995,cars.com/vehicledetail/detail/787745968/overview/
1998 ,Oldsmobile,Aurora Base,Used,119000,0,Black,Brown,Automatic,FWD,DC Motors,0,0.0,220.0,3000,cars.com/vehicledetail/detail/781536875/overview/
2002 ,Oldsmobile,Silhouette GLS,Used,74975,0,Red,Gray,Automatic,FWD,Jason (Private Seller),0,0.0,157.0,3500,cars.com/vehicledetail/detail/793266538/overview/
1972 ,Oldsmobile,Cutlass,Used,456,0,Green,Brown,Manual,Unknown,Bird Imports,0,0.0,182.0,48000,cars.com/vehicledetail/detail/782078962/overview/
1996 ,Oldsmobile,Bravada Base,Used,278658,0,Other,Other,Automatic,AWD,Bayshore Chrysler Dodge Jeep RAM,50,1.0,40.0,0,cars.com/vehicledetail/detail/797939551/overview/
1989 ,Oldsmobile,Royale,Used,0,0,Other,Other,Automatic,FWD,Marketplace Chevrolet Buick,67,4.6,208.0,0,cars.com/vehicledetail/detail/794987297/overview/
1979 ,Oldsmobile,Toronado,Used,97000,0,Gray,Red,Automatic,FWD,Lou (Private Seller),0,0.0,209.0,14500,cars.com/vehicledetail/detail/797816910/overview/
1969 ,Oldsmobile,Cutlass,Used,80150,0,Silver,Black,Automatic,Unknown,Legacy Auto USA,0,0.0,231.0,18900,cars.com/vehicledetail/detail/792884072/overview/
