Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
1951 ,Packard,200,Used,66311,0,Beige,Brown,Other,Unknown,GR Auto Gallery,108,4.1,1066.0,15900,cars.com/vehicledetail/detail/786422651/overview/
1954 ,Packard,,Used,87313,0,White,Other,Automatic,RWD,Celebrity Cars Las Vegas,16,5.0,1210.0,79999,cars.com/vehicledetail/detail/774217121/overview/
1951 ,Packard,- ORIGINAL 85K MILES-RESTORED,Used,85370,0,White,Red,Automatic,Unknown,MDK International,80,3.7,1360.0,34990,cars.com/vehicledetail/detail/767225120/overview/
1937 ,Packard,115C,Used,1111,0,Other,White,Manual,Unknown,Daniel Schmitt & Company,0,0.0,690.0,169900,cars.com/vehicledetail/detail/771537253/overview/
1937 ,Packard,115C TOURING,Used,58857,0,Other,Beige,Manual,Unknown,Daniel Schmitt & Company,0,0.0,690.0,37900,cars.com/vehicledetail/detail/771537159/overview/
1948 ,Packard,Deluxe,Used,69029,0,Yellow,Beige,Other,Unknown,Best Buy Used Cars,12,3.3,1063.0,75000,cars.com/vehicledetail/detail/706213313/overview/
1950 ,Packard,,Used,12766,0,Red,Beige,Automatic,Unknown,GR Auto Gallery,108,4.1,1066.0,45900,cars.com/vehicledetail/detail/795685740/overview/
1930 ,Packard,,Used,0,0,Other,Other,Automatic,Unknown,Exotic Motorcars,0,0.0,1252.0,55900,cars.com/vehicledetail/detail/797118876/overview/
1937 ,Packard,,Used,63980,0,Silver,Gray,Manual,RWD,Specialty Sales Classics,0,0.0,1617.0,37990,cars.com/vehicledetail/detail/781660795/overview/
1928 ,Packard,Eight,Used,1,0,Brown,Other,Manual,Unknown,Daniel Schmitt & Company,0,0.0,690.0,129900,cars.com/vehicledetail/detail/771537269/overview/
1941 ,Packard,160 Model 1903,Used,111111,0,Black,Red,Manual,RWD,Lewis (Private Seller),0,0.0,937.0,125000,cars.com/vehicledetail/detail/791345534/overview/
1949 ,Packard,Super Eight,Used,39999,0,Black,Red,Manual,Unknown,Prestige Annapolis,0,0.0,1260.0,48900,cars.com/vehicledetail/detail/773737774/overview/
