Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
2006 ,Pontiac,GTO,Used,45015,0,Red,Black,Manual,RWD,Ride N Drive,13,3.6,226.0,16988,cars.com/vehicledetail/detail/787296238/overview/
2006 ,Pontiac,GTO,Used,93619,0,Silver,Black,Manual,RWD,"Auto Place, Inc.",39,3.0,231.0,11990,cars.com/vehicledetail/detail/787788323/overview/
2008 ,Pontiac,G8 Base,Used,133490,0,White,Black,Automatic,RWD,Fall Creek Motor Cars,0,0.0,26.0,9980,cars.com/vehicledetail/detail/780069486/overview/
2002 ,Pontiac,Firebird Trans Am,Used,72245,0,White,Black,Automatic,RWD,Texas Hot Rides,27,2.8,237.0,13991,cars.com/vehicledetail/detail/783383069/overview/
2005 ,Pontiac,GTO,Used,75733,0,Black,Black,Automatic,RWD,R&T Expo,19,4.3,7.0,14995,cars.com/vehicledetail/detail/790395067/overview/
2008 ,Pontiac,G6 GT,Used,75660,0,White,Gray,Automatic,FWD,Autonet,47,3.8,228.0,5750,cars.com/vehicledetail/detail/769487976/overview/
2009 ,Pontiac,G8 GT,Used,29089,0,Black,Red,Automatic,RWD,Danny (Private Seller),0,0.0,223.0,21000,cars.com/vehicledetail/detail/785596186/overview/
2006 ,Pontiac,Solstice,Used,30577,0,Black,Black,Manual,RWD,Starway Motors,17,5.0,13.0,9839,cars.com/vehicledetail/detail/782003679/overview/
2004 ,Pontiac,GTO,Used,71416,0,Black,Black,Manual,RWD,Ewing Subaru of Plano,233,4.7,238.0,12484,cars.com/vehicledetail/detail/795264185/overview/
2009 ,Pontiac,Vibe w/1SA,Used,78551,0,Gray,Black,Automatic,FWD,AutoNation USA Katy,8,3.1,6.0,5683,cars.com/vehicledetail/detail/793748218/overview/
2008 ,Pontiac,Solstice GXP,Used,105091,0,Black,Black,Manual,RWD,RPM Garage,2,5.0,232.0,8991,cars.com/vehicledetail/detail/791517043/overview/
2009 ,Pontiac,G8 GT,Used,124440,0,Red,Black,Automatic,RWD,Don Ringler Autos,1492,4.9,141.0,13788,cars.com/vehicledetail/detail/795866126/overview/
2006 ,Pontiac,Solstice,Used,120644,0,Black,Beige,Manual,RWD,Starway Motors,17,5.0,13.0,6299,cars.com/vehicledetail/detail/790677185/overview/
2009 ,Pontiac,Vibe Base,Used,56915,0,Red,Black,Automatic,FWD,Shottenkirk Toyota of Weatherford,125,4.7,243.0,6789,cars.com/vehicledetail/detail/796297842/overview/
2008 ,Pontiac,Grand Prix GXP,Used,129000,0,Gray,Gray,Automatic,FWD,SW Auto LLC,16,3.5,8.0,6995,cars.com/vehicledetail/detail/753923168/overview/
2009 ,Pontiac,G8 GT,Used,136997,0,Gray,Black,Automatic,RWD,Fall Creek Motor Cars,0,0.0,26.0,16980,cars.com/vehicledetail/detail/788681247/overview/
2004 ,Pontiac,Montana,Used,101827,0,White,Beige,Automatic,FWD,Lone Star Chevrolet,714,3.4,14.0,5984,cars.com/vehicledetail/detail/792588415/overview/
2008 ,Pontiac,G5,Used,95101,0,Blue,Black,Automatic,FWD,AutoNation Chevrolet Gulf Freeway,297,4.7,27.0,4888,cars.com/vehicledetail/detail/795767830/overview/
