Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
2000 ,Porsche,Boxster,Used,130109,0,Blue,Other,Manual,RWD,H-Town Car Sales,68,4.1,6.0,6900,cars.com/vehicledetail/detail/794195341/overview/
2020 ,Porsche,Panamera GTS,New,0,145300,Other,Black,Automatic,AWD,Momentum Porsche,200,4.8,6.0,145300,cars.com/vehicledetail/detail/794222371/overview/
2014 ,Porsche,Panamera e-Hybrid S,Used,67710,0,Brown,Beige,Automatic,RWD,Ultimate Motorsports Inc.,520,4.8,6.0,33995,cars.com/vehicledetail/detail/791966054/overview/
2019 ,Porsche,Macan S,New,0,70080,Blue,Black,Automatic,AWD,Momentum Porsche,200,4.8,6.0,59561,cars.com/vehicledetail/detail/793669148/overview/
2011 ,Porsche,Panamera 2,Used,83564,0,Black,Black,Automatic,RWD,Ultimate Motorsports Inc.,520,4.8,6.0,22995,cars.com/vehicledetail/detail/795980395/overview/
2019 ,Porsche,Cayenne E-Hybrid Base,New,0,95810,Black,Black,Automatic,AWD,Momentum Porsche,200,4.8,6.0,81431,cars.com/vehicledetail/detail/793669345/overview/
2018 ,Porsche,Macan,Used,10338,0,White,Other,Automatic,AWD,Momentum Porsche,200,4.8,6.0,47593,cars.com/vehicledetail/detail/784972180/overview/
2014 ,Porsche,Panamera,Used,19987,0,Gray,Black,Automatic,RWD,AutoNation USA Katy,8,3.1,6.0,39583,cars.com/vehicledetail/detail/793748211/overview/
2019 ,Porsche,Cayenne Turbo,New,0,146350,White,Blue,Automatic,AWD,Momentum Porsche,200,4.8,6.0,146350,cars.com/vehicledetail/detail/781441141/overview/
2020 ,Porsche,Macan S,New,0,84190,White,Black,Automatic,AWD,Porsche of West Houston,250,4.7,7.0,84190,cars.com/vehicledetail/detail/793189184/overview/
2018 ,Porsche,Macan Sport Edition,New,0,65080,Black,Black,Automatic,AWD,Porsche of West Houston,250,4.7,7.0,52080,cars.com/vehicledetail/detail/774243854/overview/
2017 ,Porsche,718 Boxster S,Porsche Certified,19533,0,Gray,Black,Manual,RWD,Porsche of West Houston,250,4.7,7.0,60994,cars.com/vehicledetail/detail/792541620/overview/
2019 ,Porsche,Cayenne Base,Used,3229,0,Silver,Black,Automatic,AWD,Don McGill Toyota of Houston,900,4.6,7.0,73998,cars.com/vehicledetail/detail/793716789/overview/
2018 ,Porsche,718 Cayman GTS,New,0,100800,Black,Black,Automatic,RWD,Porsche of West Houston,250,4.7,7.0,84800,cars.com/vehicledetail/detail/787063318/overview/
2018 ,Porsche,Panamera Sport Turismo 4S,New,0,127430,Black,Black,Automatic,AWD,Porsche of West Houston,250,4.7,7.0,103430,cars.com/vehicledetail/detail/781347274/overview/
2016 ,Porsche,Cayman S,Porsche Certified,54902,0,Black,Beige,Automatic,RWD,Porsche of West Houston,250,4.7,7.0,51984,cars.com/vehicledetail/detail/792834355/overview/
2018 ,Porsche,718 Boxster GTS,New,0,101010,Black,Black,Automatic,RWD,Porsche of West Houston,250,4.7,7.0,84500,cars.com/vehicledetail/detail/787063428/overview/
2018 ,Porsche,Macan Sport Edition,New,0,65740,Blue,Black,Automatic,AWD,Porsche of West Houston,250,4.7,7.0,53740,cars.com/vehicledetail/detail/787063430/overview/
2019 ,Porsche,718 Boxster GTS,New,0,90530,Silver,Black,Automatic,RWD,Porsche of West Houston,250,4.7,7.0,90530,cars.com/vehicledetail/detail/777192713/overview/
2013 ,Porsche,Panamera Turbo,Used,76176,0,Other,Other,Automatic,AWD,Houston Direct Auto,218,4.3,7.0,38491,cars.com/vehicledetail/detail/786864156/overview/
2020 ,Porsche,Macan Base,New,0,70220,White,Black,Automatic,AWD,Porsche of West Houston,250,4.7,7.0,70220,cars.com/vehicledetail/detail/794321254/overview/
2019 ,Porsche,Cayenne Base,New,0,82270,Blue,Gray,Automatic,AWD,Porsche of West Houston,250,4.7,7.0,69990,cars.com/vehicledetail/detail/793865896/overview/
