Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
2011 ,Rolls Royce,Rolls-Royce Ghost,Used,48302,0,White,Other,Automatic,RWD,Wells Auto Group,29,3.5,248.0,88971,cars.com/vehicledetail/detail/794994473/overview/
2020 ,Rolls Royce,Rolls-Royce Wraith Base,New,0,438075,Black,Black,Automatic,RWD,Hi Tech Luxury Imports,3,2.3,136.0,438075,cars.com/vehicledetail/detail/796734510/overview/
2011 ,Rolls Royce,Rolls-Royce Ghost,Used,38028,0,Black,Black,Automatic,RWD,Auto Park Dallas,21,4.4,235.0,120995,cars.com/vehicledetail/detail/781324084/overview/
2019 ,Rolls Royce,Rolls-Royce Cullinan Base,New,0,407900,Black,Black,Automatic,AWD,Hi Tech Luxury Imports,3,2.3,136.0,407900,cars.com/vehicledetail/detail/785725015/overview/
2016 ,Rolls Royce,Rolls-Royce Ghost,Used,10924,0,Gold,Other,Automatic,RWD,Mark Motors,1,5.0,182.0,169888,cars.com/vehicledetail/detail/793706574/overview/
2010 ,Rolls Royce,Rolls-Royce Phantom Drophead Coupe,Used,10315,0,Silver,Other,Automatic,RWD,Porsche of West Houston,250,4.7,7.0,154494,cars.com/vehicledetail/detail/787246344/overview/
2019 ,Rolls Royce,Rolls-Royce Phantom Base,New,0,594675,Other,Other,Automatic,RWD,Hi Tech Luxury Imports,3,2.3,136.0,594675,cars.com/vehicledetail/detail/785725007/overview/
2013 ,Rolls Royce,Rolls-Royce Ghost,Used,24409,0,Other,Other,Automatic,RWD,Mark Motors,1,5.0,182.0,129888,cars.com/vehicledetail/detail/786526318/overview/
2010 ,Rolls Royce,Rolls-Royce Ghost,Used,36070,0,Black,Black,Automatic,RWD,Autonet,47,3.8,228.0,89999,cars.com/vehicledetail/detail/794351552/overview/
2007 ,Rolls Royce,Rolls-Royce Phantom VI Base,Used,15375,0,White,Other,Automatic,RWD,Tactical Fleet,3,5.0,235.0,119900,cars.com/vehicledetail/detail/790397724/overview/
2018 ,Rolls Royce,Rolls-Royce Wraith Base,Used,2669,0,White,Red,Automatic,RWD,Hi Tech Luxury Imports,3,2.3,136.0,299842,cars.com/vehicledetail/detail/782598998/overview/
2000 ,Rolls Royce,Rolls-Royce Silver Seraph,Used,31130,0,Silver,Black,Automatic,Unknown,Earth Motorcars,374,4.5,236.0,47970,cars.com/vehicledetail/detail/793291875/overview/
2016 ,Rolls Royce,Rolls-Royce Wraith Base,Used,6802,0,White,Black,Automatic,RWD,BMW of San Antonio,499,4.6,176.0,185968,cars.com/vehicledetail/detail/787496642/overview/
2017 ,Rolls Royce,Rolls-Royce Ghost,Used,31346,0,Silver,Beige,Automatic,RWD,BMW of San Antonio,499,4.6,176.0,170962,cars.com/vehicledetail/detail/782261260/overview/
2019 ,Rolls Royce,Rolls-Royce Wraith Base,New,0,438880,Black,Beige,Automatic,RWD,Hi Tech Luxury Imports,3,2.3,136.0,438880,cars.com/vehicledetail/detail/788095207/overview/
2016 ,Rolls Royce,Rolls-Royce Wraith Base,Used,8395,0,Black,Black,Automatic,RWD,Tactical Fleet,3,5.0,235.0,209900,cars.com/vehicledetail/detail/794581327/overview/
2015 ,Rolls Royce,Rolls-Royce Wraith Base,Used,14077,0,Black,Black,Automatic,RWD,BMW of San Antonio,499,4.6,176.0,170962,cars.com/vehicledetail/detail/790706442/overview/
2016 ,Rolls Royce,Rolls-Royce Ghost,Used,13161,0,Silver,Other,Automatic,RWD,BMW of San Antonio,499,4.6,176.0,165968,cars.com/vehicledetail/detail/779942836/overview/
2019 ,Rolls Royce,Rolls-Royce Dawn Base,New,0,418805,White,Beige,Automatic,RWD,Hi Tech Luxury Imports,3,2.3,136.0,418805,cars.com/vehicledetail/detail/785725009/overview/
2019 ,Rolls Royce,Rolls-Royce Dawn Base,New,0,386800,Blue,Beige,Automatic,RWD,Hi Tech Luxury Imports,3,2.3,136.0,386800,cars.com/vehicledetail/detail/785725014/overview/
2015 ,Rolls Royce,Rolls-Royce Phantom Base,Used,11450,0,White,Beige,Automatic,RWD,Tactical Fleet,3,5.0,235.0,259900,cars.com/vehicledetail/detail/792567985/overview/
2015 ,Rolls Royce,Rolls-Royce Ghost EWB,Used,56048,0,Other,Other,Automatic,RWD,ICON Exotics,2,5.0,10.0,139995,cars.com/vehicledetail/detail/795954742/overview/
2019 ,Rolls Royce,Rolls-Royce Ghost,Used,1860,0,Black,Red,Automatic,RWD,BMW of San Antonio,499,4.6,176.0,283964,cars.com/vehicledetail/detail/791072423/overview/
2017 ,Rolls Royce,Rolls-Royce Dawn Base,Used,33029,0,Black,Beige,Automatic,RWD,ICON Exotics,2,5.0,10.0,239995,cars.com/vehicledetail/detail/768445392/overview/
2013 ,Rolls Royce,Rolls-Royce Ghost,Used,22268,0,Blue,Beige,Automatic,RWD,Crave Luxury Auto,25,4.3,33.0,122750,cars.com/vehicledetail/detail/791250209/overview/
2016 ,Rolls Royce,Rolls-Royce Ghost 4dr Sdn,Used,849,0,White,Other,Automatic,RWD,Volvo Cars West Houston,64,5.0,6.0,219000,cars.com/vehicledetail/detail/785121295/overview/
2018 ,Rolls Royce,Rolls-Royce Ghost,Used,6843,0,White,Beige,Automatic,RWD,Hi Tech Luxury Imports,3,2.3,136.0,265000,cars.com/vehicledetail/detail/762719789/overview/
2016 ,Rolls Royce,Rolls-Royce Dawn Base,Used,14415,0,White,Other,Automatic,RWD,Hi Tech Luxury Imports,3,2.3,136.0,242800,cars.com/vehicledetail/detail/783044932/overview/
2016 ,Rolls Royce,Rolls-Royce Dawn Base,Used,4858,0,White,Beige,Automatic,RWD,Hi Tech Luxury Imports,3,2.3,136.0,255800,cars.com/vehicledetail/detail/765665432/overview/
2011 ,Rolls Royce,Rolls-Royce Phantom VI Base,Used,36123,0,Black,Beige,Automatic,RWD,ICON Exotics,2,5.0,10.0,139995,cars.com/vehicledetail/detail/768445197/overview/
2012 ,Rolls Royce,Rolls-Royce Ghost,Used,33850,0,Gray,Other,Automatic,RWD,Tactical Fleet,3,5.0,235.0,119900,cars.com/vehicledetail/detail/795129641/overview/
2012 ,Rolls Royce,Rolls-Royce Ghost,Used,27938,0,Other,Other,Automatic,RWD,Sundance Auto Sales L.L.C.,22,2.1,235.0,149999,cars.com/vehicledetail/detail/764901767/overview/
2019 ,Rolls Royce,Rolls-Royce Ghost,Used,1961,0,White,Other,Automatic,RWD,BMW of San Antonio,499,4.6,176.0,280968,cars.com/vehicledetail/detail/789948725/overview/
2018 ,Rolls Royce,Rolls-Royce Dawn Base,Used,1500,0,White,Black,Automatic,RWD,North Freeway Hyundai,533,4.9,28.0,299000,cars.com/vehicledetail/detail/796143644/overview/
2014 ,Rolls Royce,Rolls-Royce Base,Used,14589,0,Black,Black,Automatic,RWD,Texas Car World,62,4.5,230.0,279999,cars.com/vehicledetail/detail/709073176/overview/
2020 ,Rolls Royce,Rolls-Royce,New,0,0,Gray,Black,Other,Unknown,Hi Tech Luxury Imports,3,2.3,136.0,0,cars.com/vehicledetail/detail/796265834/overview/
1978 ,Rolls Royce,Rolls-Royce II,Used,1,0,Black,Red,Automatic,RWD,iDrive1 Motorcars,4,5.0,236.0,29577,cars.com/vehicledetail/detail/791741871/overview/
2020 ,Rolls Royce,Rolls-Royce Wraith Base,New,0,430400,Gray,Gray,Automatic,RWD,Hi Tech Luxury Imports,3,2.3,136.0,430400,cars.com/vehicledetail/detail/797557550/overview/
