Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
2008 ,Saturn,Sky Red Line,Used,55735,0,Silver,Black,Automatic,RWD,RPM Garage,2,5.0,232.0,11991,cars.com/vehicledetail/detail/786677402/overview/
2009 ,Saturn,Sky,Used,80847,0,Silver,Black,Automatic,RWD,Dallas Autos Direct,307,4.6,237.0,6990,cars.com/vehicledetail/detail/794696362/overview/
2008 ,Saturn,Astra XR,Used,81650,0,Black,Black,Automatic,FWD,Autonet,47,3.8,228.0,3955,cars.com/vehicledetail/detail/771320226/overview/
2007 ,Saturn,Sky Base,Used,62405,0,Red,Black,Automatic,RWD,Austin Direct Auto Sales,64,2.5,137.0,7500,cars.com/vehicledetail/detail/795167003/overview/
2008 ,Saturn,Sky,Used,73639,0,Green,Black,Automatic,RWD,Metroplex Auto Group,4,5.0,243.0,7500,cars.com/vehicledetail/detail/796291069/overview/
2008 ,Saturn,Sky,Used,77558,0,Black,Gray,Automatic,RWD,Classic Chevrolet,111,4.6,238.0,8000,cars.com/vehicledetail/detail/794370272/overview/
2008 ,Saturn,Vue XR,Used,128620,0,Silver,Gray,Automatic,FWD,Gillman Subaru,40,3.5,5.0,3497,cars.com/vehicledetail/detail/794946836/overview/
2003 ,Saturn,L 200,Used,115768,0,Gray,Gray,Automatic,FWD,Milam Kars,8,1.0,228.0,3650,cars.com/vehicledetail/detail/764792728/overview/
2003 ,Saturn,Ion 3,Used,100200,0,Blue,Beige,Automatic,FWD,Steve (Private Seller),0,0.0,10.0,3000,cars.com/vehicledetail/detail/788694661/overview/
2002 ,Saturn,L 300,Used,139649,0,Green,Black,Automatic,FWD,America's Auto Mall,20,5.0,224.0,3995,cars.com/vehicledetail/detail/781932134/overview/
2008 ,Saturn,Astra XR,Used,50976,0,White,Black,Automatic,FWD,Grapevine Motors,11,3.0,239.0,5995,cars.com/vehicledetail/detail/790802287/overview/
2007 ,Saturn,Sky Red Line,Used,74870,0,Red,Black,Automatic,RWD,Metroplex Auto Group,4,5.0,243.0,11995,cars.com/vehicledetail/detail/788904142/overview/
2007 ,Saturn,Aura XR,Used,79250,0,Blue,Black,Automatic,FWD,Fall Creek Motor Cars,0,0.0,26.0,6980,cars.com/vehicledetail/detail/785254655/overview/
2008 ,Saturn,Sky,Used,42656,0,Silver,Black,Automatic,RWD,Emmons Autoplex,364,4.4,33.0,11999,cars.com/vehicledetail/detail/793799416/overview/
