Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
2008 ,Scion,xD,Used,122420,0,Gray,Black,Automatic,FWD,Adam's Cars,163,4.4,1.0,4995,cars.com/vehicledetail/detail/772321554/overview/
2015 ,Scion,tC,Used,60685,0,Red,Other,Other,FWD,Gillman Subaru,40,3.5,5.0,10497,cars.com/vehicledetail/detail/794946839/overview/
2016 ,Scion,tC Base,Used,45969,0,Gray,Gray,Automatic,FWD,Helfman Ford - Stafford,174,4.3,5.0,13844,cars.com/vehicledetail/detail/794815697/overview/
2013 ,Scion,xD,Used,83827,0,White,Gray,Automatic,FWD,West Houston Subaru,29,5.0,6.0,6558,cars.com/vehicledetail/detail/784454624/overview/
2016 ,Scion,tC Base,Used,30719,0,White,Gray,Automatic,FWD,Sterling McCall Toyota,276,4.6,6.0,14745,cars.com/vehicledetail/detail/794953457/overview/
2015 ,Scion,xB,Used,109255,0,White,Gray,Automatic,FWD,Motors on Wheels,39,5.0,7.0,7991,cars.com/vehicledetail/detail/792589131/overview/
2016 ,Scion,FR-S,Used,73130,0,Blue,Black,Automatic,RWD,Motors on Wheels,39,5.0,7.0,12199,cars.com/vehicledetail/detail/770487307/overview/
2016 ,Scion,iA Base,Used,38515,0,Gray,Blue,Automatic,FWD,Sterling McCall Acura Sugar Land,10,4.7,7.0,9995,cars.com/vehicledetail/detail/791817712/overview/
2009 ,Scion,,Used,72580,0,Black,Gray,Automatic,FWD,Spring Branch Honda,37,4.6,8.0,6429,cars.com/vehicledetail/detail/796805763/overview/
2016 ,Scion,iM Base,Used,31969,0,Silver,Black,CVT,FWD,Sterling McCall Toyota Fort Bend,141,4.4,9.0,11494,cars.com/vehicledetail/detail/793322175/overview/
2016 ,Scion,iA Base,Used,10984,0,Silver,Blue,Automatic,FWD,Sterling McCall Toyota Fort Bend,141,4.4,9.0,12192,cars.com/vehicledetail/detail/794592028/overview/
2013 ,Scion,tC,Used,86981,0,White,Other,Automatic,FWD,DriveTime SW Freeway,1,5.0,9.0,12495,cars.com/vehicledetail/detail/789076538/overview/
2016 ,Scion,FR-S,Scion Certified,20164,0,Red,Black,Automatic,RWD,Sterling McCall Toyota Fort Bend,141,4.4,9.0,18891,cars.com/vehicledetail/detail/796468954/overview/
2010 ,Scion,tC,Used,92384,0,Gray,Black,Automatic,FWD,Gil Auto Sales Inc.,0,0.0,11.0,6995,cars.com/vehicledetail/detail/716838082/overview/
2010 ,Scion,tC Release Series 6.0,Used,150636,0,Gray,Black,Automatic,FWD,AUTOGREEN USA LLC,72,4.5,11.0,4900,cars.com/vehicledetail/detail/796842300/overview/
2016 ,Scion,tC Base,Used,51632,0,Black,Other,Automatic,FWD,DriveTime Gulf Freeway,2,1.0,25.0,15895,cars.com/vehicledetail/detail/792773434/overview/
2013 ,Scion,xB,Used,90770,0,Black,Gray,Other,FWD,Audi North Houston,46,2.9,26.0,7495,cars.com/vehicledetail/detail/794987390/overview/
2011 ,Scion,,Used,77616,0,Red,Black,Automatic,FWD,CarMax Gulf Freeway,0,0.0,26.0,9599,cars.com/vehicledetail/detail/796660202/overview/
2015 ,Scion,tC,Used,70902,0,Red,Other,Automatic,FWD,Nexcar,1277,4.8,28.0,11800,cars.com/vehicledetail/detail/788259120/overview/
2016 ,Scion,tC Base,Used,43636,0,Gray,Other,Automatic,FWD,Nexcar,1277,4.8,28.0,14600,cars.com/vehicledetail/detail/792640446/overview/
2008 ,Scion,xD,Used,96380,0,Silver,Black,Manual,FWD,Oasis Park and Sell,21,2.3,28.0,5950,cars.com/vehicledetail/detail/786411636/overview/
2013 ,Scion,tC,Used,75999,0,Gray,Other,Automatic,FWD,Nexcar,1277,4.8,28.0,10500,cars.com/vehicledetail/detail/795914669/overview/
2013 ,Scion,FR-S,Used,49772,0,Red,Black,Automatic,RWD,Emmons Autoplex,364,4.4,33.0,14998,cars.com/vehicledetail/detail/788667919/overview/
2013 ,Scion,FR-S,Used,64776,0,Silver,Black,Manual,RWD,Emmons Autoplex,364,4.4,33.0,14498,cars.com/vehicledetail/detail/787815814/overview/
2016 ,Scion,iM Base,Used,9220,0,Silver,Other,Automatic,FWD,Mac Haik Toyota,847,4.8,35.0,13894,cars.com/vehicledetail/detail/794963971/overview/
2014 ,Scion,tC 2dr HB Auto (Natl),Used,50644,0,Black,Gray,Automatic,FWD,Baytown Ford,222,4.5,39.0,10593,cars.com/vehicledetail/detail/793229350/overview/
2014 ,Scion,tC Base,Used,72237,0,Black,Gray,Manual,FWD,Community Honda,129,4.8,40.0,9499,cars.com/vehicledetail/detail/792639195/overview/
2016 ,Scion,iM Base,Used,45119,0,Green,Black,CVT,FWD,Bryan College Station Toyota,154,4.8,78.0,11929,cars.com/vehicledetail/detail/790907046/overview/
2016 ,Scion,tC Base,Used,42595,0,Blue,Gray,Automatic,FWD,Volvo Cars of Austin,28,4.6,130.0,13500,cars.com/vehicledetail/detail/793926387/overview/
2015 ,Scion,FR-S,Used,45508,0,Red,Black,Manual,RWD,Austin Auto Brokers,14,4.4,131.0,14840,cars.com/vehicledetail/detail/790661270/overview/
2013 ,Scion,FR-S Base,Used,95163,0,Silver,Black,Manual,RWD,Luxury Auto Works,3,5.0,131.0,10995,cars.com/vehicledetail/detail/794694239/overview/
2009 ,Scion,xB,Used,110026,0,Silver,Gray,Automatic,FWD,CAG - Austin INFINITI,663,4.9,132.0,5777,cars.com/vehicledetail/detail/792889385/overview/
2013 ,Scion,FR-S Base,Used,102483,0,White,Red,Manual,RWD,Austin Direct Auto Sales,64,2.5,137.0,17900,cars.com/vehicledetail/detail/775373358/overview/
2010 ,Scion,xD,Used,128549,0,Black,Other,Automatic,FWD,Shelley's Auto Sales,9,3.0,142.0,6995,cars.com/vehicledetail/detail/783653411/overview/
2013 ,Scion,FR-S Base,Used,110000,0,Blue,Black,Manual,RWD,Chaz (Private Seller),0,0.0,152.0,7500,cars.com/vehicledetail/detail/790684576/overview/
2015 ,Scion,tC,Used,59969,0,Gray,Gray,Automatic,FWD,All American Chevrolet of Killeen,171,4.9,156.0,10877,cars.com/vehicledetail/detail/793860168/overview/
2014 ,Scion,xB Base,Used,79754,0,Blue,Gray,Automatic,FWD,World Car Kia North,35,2.3,162.0,9000,cars.com/vehicledetail/detail/793879223/overview/
2013 ,Scion,xB,Used,85295,0,Blue,Black,Automatic,FWD,Alamo Car Center,27,3.9,166.0,6995,cars.com/vehicledetail/detail/794471102/overview/
2016 ,Scion,tC Base,Used,38965,0,Gray,Other,Automatic,FWD,DriveTime Corpus Christi,1,5.0,171.0,15895,cars.com/vehicledetail/detail/794315033/overview/
2009 ,Scion,xB,Used,130041,0,Silver,Gray,Automatic,FWD,AutoNation USA Corpus Christi,23,3.7,172.0,4908,cars.com/vehicledetail/detail/796706413/overview/
2016 ,Scion,iA Base,Used,58145,0,Gray,Other,Automatic,FWD,World Car Hyundai Kia South,21,4.0,174.0,11000,cars.com/vehicledetail/detail/796728013/overview/
2016 ,Scion,iA Base,Used,40001,0,Gray,Blue,Other,FWD,Mike Shaw Toyota,503,4.7,175.0,10740,cars.com/vehicledetail/detail/796321438/overview/
2012 ,Scion,xB 5-SPD,Used,95761,0,Black,Black,Manual,FWD,Dado Motors LLC,52,5.0,179.0,6695,cars.com/vehicledetail/detail/790053437/overview/
