Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
1929 ,Studebaker,Dictator,Used,20000,0,Red,Beige,Manual,Unknown,Bill DeLuca Chevrolet Cadillac,96,2.0,1621.0,29995,cars.com/vehicledetail/detail/776532999/overview/
1963 ,Studebaker,Avanti,Used,92477,0,White,Black,Manual,RWD,De Pere Auto Center,166,4.9,1098.0,19950,cars.com/vehicledetail/detail/792547379/overview/
1959 ,Studebaker,Lark Regal,Used,90000,0,Blue,Black,Automatic,RWD,Stan (Private Seller),0,0.0,1657.0,5400,cars.com/vehicledetail/detail/793273081/overview/
1956 ,Studebaker,President,Used,6235,0,Black,White,Automatic,Unknown,GR Auto Gallery,108,4.1,1066.0,29900,cars.com/vehicledetail/detail/786423302/overview/
1947 ,Studebaker,Pickup,Used,295,0,Yellow,Gray,Automatic,4x4/4-wheel,Dylan (Private Seller),0,0.0,1340.0,16000,cars.com/vehicledetail/detail/798012896/overview/
1959 ,Studebaker,Gorgeous Pickup Runs Great,Used,0,0,Yellow,Other,Manual,Unknown,Stevens Creek Toyota,341,4.7,1596.0,13900,cars.com/vehicledetail/detail/788897878/overview/
1964 ,Studebaker,Avanti,Used,53000,0,Gray,Red,Automatic,RWD,Michael (Private Seller),0,0.0,742.0,17000,cars.com/vehicledetail/detail/797801403/overview/
1964 ,Studebaker,Cruiser,Used,100000,0,Blue,Blue,Automatic,FWD,Brock (Private Seller),0,0.0,869.0,5500,cars.com/vehicledetail/detail/797321036/overview/
1966 ,Studebaker,Cruiser,Used,100000,0,Blue,Blue,Automatic,FWD,Brock (Private Seller),0,0.0,869.0,5500,cars.com/vehicledetail/detail/797322330/overview/
1947 ,Studebaker,Pickup,Used,9423,0,Red,Black,Manual,RWD,Frankfort Auto Haus,87,3.0,924.0,39997,cars.com/vehicledetail/detail/793658342/overview/
1963 ,Studebaker,Avanti,Used,99300,0,Red,Beige,Automatic,RWD,Gary (Private Seller),0,0.0,1296.0,23500,cars.com/vehicledetail/detail/797922920/overview/
1963 ,Studebaker,Avanti,Used,91551,0,Silver,Black,Automatic,RWD,Jonathan (Private Seller),0,0.0,1365.0,34900,cars.com/vehicledetail/detail/779508095/overview/
