Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
2018 ,Subaru,WRX STI Limited,Subaru Certified,12373,0,Silver,Black,Manual,AWD,Gillman Subaru,40,3.5,5.0,31997,cars.com/vehicledetail/detail/793860585/overview/
2020 ,Subaru,Outback Premium,New,0,33947,Gray,White,CVT,AWD,Gillman Subaru,40,3.5,5.0,33947,cars.com/vehicledetail/detail/795645375/overview/
2019 ,Subaru,Legacy 2.5i Limited,New,0,30546,Gray,White,CVT,AWD,Gillman Subaru,40,3.5,5.0,30546,cars.com/vehicledetail/detail/795668623/overview/
2020 ,Subaru,Forester Touring,New,0,37161,Silver,Black,CVT,AWD,Gillman Subaru,40,3.5,5.0,37161,cars.com/vehicledetail/detail/794245054/overview/
2017 ,Subaru,Legacy Sport,Subaru Certified,15557,0,White,Other,CVT,AWD,Gillman Subaru,40,3.5,5.0,18992,cars.com/vehicledetail/detail/795625438/overview/
2020 ,Subaru,Legacy,New,0,33422,Black,White,CVT,AWD,West Houston Subaru,29,5.0,6.0,31493,cars.com/vehicledetail/detail/788699793/overview/
2016 ,Subaru,Legacy 3.6R Limited,Used,31242,0,White,Black,CVT,AWD,Momentum BMW MINI,370,3.4,6.0,16484,cars.com/vehicledetail/detail/791862426/overview/
2020 ,Subaru,Ascent Premium 8-Passenger,New,0,40719,White,Black,CVT,AWD,West Houston Subaru,29,5.0,6.0,37954,cars.com/vehicledetail/detail/788461932/overview/
2016 ,Subaru,BRZ Limited,Used,59489,0,Black,Other,Automatic,RWD,Unique Auto Group,29,5.0,7.0,16995,cars.com/vehicledetail/detail/783674818/overview/
2014 ,Subaru,XV Crosstrek 2.0i Premium,Used,50865,0,Red,Beige,CVT,AWD,Houston Direct Auto,218,4.3,7.0,13691,cars.com/vehicledetail/detail/790128568/overview/
2019 ,Subaru,Legacy 2.5i,Used,26663,0,Gray,Black,CVT,AWD,Houston Direct Auto,218,4.3,7.0,18291,cars.com/vehicledetail/detail/793067576/overview/
2013 ,Subaru,XV Crosstrek 2.0i Limited,Used,114986,0,Silver,Gray,CVT,AWD,Audi West Houston,527,4.6,7.0,8994,cars.com/vehicledetail/detail/792381084/overview/
2015 ,Subaru,WRX STI Base,Used,75394,0,Gray,Black,Manual,AWD,R&T Expo,19,4.3,7.0,23995,cars.com/vehicledetail/detail/789829404/overview/
2019 ,Subaru,Forester Sport,Used,5677,0,White,Gray,CVT,AWD,River Oaks Chrysler Jeep Dodge RAM,74,3.4,14.0,28900,cars.com/vehicledetail/detail/793002395/overview/
2014 ,Subaru,BRZ Limited,Used,91594,0,Red,Black,Manual,RWD,Audi North Houston,46,2.9,26.0,12480,cars.com/vehicledetail/detail/794233017/overview/
2017 ,Subaru,Outback 3.6R Limited,Used,22153,0,White,White,CVT,AWD,Honda of Spring,553,4.2,26.0,25288,cars.com/vehicledetail/detail/791607982/overview/
2019 ,Subaru,Ascent Limited 8-Passenger,Used,10994,0,Black,White,CVT,AWD,North Freeway Hyundai,533,4.9,28.0,37988,cars.com/vehicledetail/detail/796143525/overview/
2017 ,Subaru,Legacy 3.6R Limited,Used,17504,0,Black,White,CVT,AWD,Texas Auto South,79,3.5,32.0,21998,cars.com/vehicledetail/detail/794969526/overview/
2013 ,Subaru,BRZ Limited,Used,43083,0,Gray,Gray,Manual,RWD,Emmons Autoplex,364,4.4,33.0,17999,cars.com/vehicledetail/detail/792999590/overview/
2019 ,Subaru,Outback 2.5i Premium,Used,22492,0,Gray,White,CVT,AWD,Volvo Cars of Austin,28,4.6,130.0,23750,cars.com/vehicledetail/detail/790576810/overview/
2014 ,Subaru,Impreza WRX STI,Used,62343,0,White,Black,Manual,AWD,Austin Auto Brokers,14,4.4,131.0,24750,cars.com/vehicledetail/detail/794827607/overview/
2020 ,Subaru,Legacy Premium,New,0,26449,Blue,Black,CVT,AWD,CAG - Austin Subaru,548,4.9,132.0,25649,cars.com/vehicledetail/detail/792406839/overview/
2020 ,Subaru,Outback Premium,New,0,34026,Black,Black,CVT,AWD,CAG - Austin Subaru,548,4.9,132.0,31916,cars.com/vehicledetail/detail/793972114/overview/
2020 ,Subaru,Legacy,New,0,33044,Red,Black,CVT,AWD,CAG - Austin Subaru,548,4.9,132.0,31548,cars.com/vehicledetail/detail/795044072/overview/
2020 ,Subaru,Legacy,New,0,30999,Gray,Black,CVT,AWD,CAG - Austin Subaru,548,4.9,132.0,29843,cars.com/vehicledetail/detail/789204215/overview/
2020 ,Subaru,Forester Sport,New,0,33256,Gray,Gray,CVT,AWD,CAG - Austin Subaru,548,4.9,132.0,31419,cars.com/vehicledetail/detail/792406771/overview/
2020 ,Subaru,Impreza Premium,New,0,25843,White,White,CVT,AWD,CAG - Austin Subaru,548,4.9,132.0,24837,cars.com/vehicledetail/detail/795171521/overview/
2020 ,Subaru,Legacy Premium,New,0,26449,Black,Black,CVT,AWD,CAG - Austin Subaru,548,4.9,132.0,25649,cars.com/vehicledetail/detail/792406773/overview/
2019 ,Subaru,Ascent Premium 8-Passenger,Used,5039,0,Red,Black,CVT,AWD,CAG - Austin Subaru,548,4.9,132.0,33488,cars.com/vehicledetail/detail/791749920/overview/
2018 ,Subaru,Crosstrek 2.0i Premium,Used,17188,0,Blue,Gray,Manual,AWD,CAG - Austin Subaru,548,4.9,132.0,24488,cars.com/vehicledetail/detail/796143549/overview/
2019 ,Subaru,Outback 2.5i Touring,New,0,38795,White,Brown,CVT,AWD,CAG - Austin Subaru,548,4.9,132.0,36057,cars.com/vehicledetail/detail/795282798/overview/
2020 ,Subaru,Outback Premium,New,0,33473,Green,Black,CVT,AWD,CAG - Austin Subaru,548,4.9,132.0,31558,cars.com/vehicledetail/detail/794330798/overview/
2020 ,Subaru,Legacy Premium,New,0,27449,White,Black,CVT,AWD,CAG - Austin Subaru,548,4.9,132.0,26483,cars.com/vehicledetail/detail/793268463/overview/
2020 ,Subaru,Ascent Premium 8-Passenger,New,0,40285,White,Black,CVT,AWD,CAG - Austin Subaru,548,4.9,132.0,37672,cars.com/vehicledetail/detail/788508408/overview/
