Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
2012 ,Suzuki,GSXR,Used,0,0,Black,Other,Other,Unknown,Covert Cadillac,1414,4.6,134.0,0,cars.com/vehicledetail/detail/797912141/overview/
2004 ,Suzuki,Aerio SX,Used,142357,0,Silver,Other,Other,FWD,Gillman Honda Houston,38,1.7,5.0,3995,cars.com/vehicledetail/detail/796850280/overview/
2008 ,Suzuki,Forenza AT,Used,95978,0,Red,Other,Automatic,FWD,Gillman Honda Houston,38,1.7,5.0,3995,cars.com/vehicledetail/detail/796274085/overview/
2008 ,Suzuki,XL7 Luxury,Used,122000,0,Black,Other,Automatic,AWD,H-Town Car Sales,68,4.1,6.0,4900,cars.com/vehicledetail/detail/794195471/overview/
2008 ,Suzuki,SX4 Base,Used,115200,0,Red,Black,Automatic,Unknown,Carlos (Private Seller),0,0.0,156.0,3100,cars.com/vehicledetail/detail/797858948/overview/
2008 ,Suzuki,SX4 Base,Used,111190,0,Red,Other,Automatic,FWD,Pary's Auto Sales,36,4.4,226.0,4999,cars.com/vehicledetail/detail/794965094/overview/
2010 ,Suzuki,Kizashi SE,Used,90915,0,Blue,Other,CVT,FWD,Pary's Auto Sales,36,4.4,226.0,5999,cars.com/vehicledetail/detail/794965097/overview/
2012 ,Suzuki,SX4 Base,Used,63564,0,Blue,Black,CVT,FWD,Toyota of Fort Worth,287,2.0,234.0,6991,cars.com/vehicledetail/detail/797638354/overview/
2007 ,Suzuki,XL7 Luxury,Used,121816,0,Silver,Gray,Automatic,FWD,Sundance Auto Sales L.L.C.,22,2.1,235.0,9708,cars.com/vehicledetail/detail/797268196/overview/
2008 ,Suzuki,XL7 Premium,Used,0,0,Black,Other,Automatic,FWD,Sundance Auto Sales L.L.C.,22,2.1,235.0,7860,cars.com/vehicledetail/detail/797553151/overview/
2008 ,Suzuki,XL7,Used,115884,0,White,Other,Automatic,FWD,Sundance Auto Sales L.L.C.,22,2.1,235.0,3899,cars.com/vehicledetail/detail/797268214/overview/
2006 ,Suzuki,Forenza,Used,151088,0,Black,Gray,Manual,FWD,AutoNation Chevrolet North Richland Hills,367,4.4,235.0,2989,cars.com/vehicledetail/detail/795486974/overview/
