Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
2017 ,Volkswagen,Touareg V6 Wolfsburg Edition,Used,26157,0,Silver,Black,Automatic,AWD,ABZ Motors,52,4.0,5.0,29995,cars.com/vehicledetail/detail/788236338/overview/
2012 ,Volkswagen,Eos Komfort,Used,92430,0,Red,Beige,Automatic,FWD,AutoNation USA Katy,8,3.1,6.0,8383,cars.com/vehicledetail/detail/792000417/overview/
2013 ,Volkswagen,CC 2.0T Lux,Used,35658,0,Blue,Beige,Automatic,FWD,Houston Direct Auto,218,4.3,7.0,11491,cars.com/vehicledetail/detail/795478199/overview/
2015 ,Volkswagen,Eos Executive Edition,Used,110599,0,Black,Beige,Automatic,FWD,Houston Direct Auto,218,4.3,7.0,11891,cars.com/vehicledetail/detail/790450121/overview/
2012 ,Volkswagen,CC Lux,Used,89371,0,Gray,Black,Automatic,FWD,Quality Motorcars,41,3.0,10.0,6500,cars.com/vehicledetail/detail/794149584/overview/
2019 ,Volkswagen,Jetta GLI 2.0T S,New,0,27925,White,Black,Automatic,FWD,Momentum Volkswagen of Upper Kirby,113,4.6,14.0,25392,cars.com/vehicledetail/detail/784904339/overview/
2019 ,Volkswagen,Arteon 2.0T SEL R-Line,New,0,43315,White,Black,Automatic,FWD,Momentum Volkswagen of Upper Kirby,113,4.6,14.0,39292,cars.com/vehicledetail/detail/781792551/overview/
2019 ,Volkswagen,Arteon 2.0T SE R-Line,New,0,39075,Black,Black,Automatic,FWD,Momentum Volkswagen of Upper Kirby,113,4.6,14.0,35192,cars.com/vehicledetail/detail/781932635/overview/
2019 ,Volkswagen,Arteon 2.0T SEL R-Line,New,0,43315,Other,Black,Automatic,FWD,Momentum Volkswagen of Upper Kirby,113,4.6,14.0,39292,cars.com/vehicledetail/detail/784203048/overview/
2019 ,Volkswagen,Golf Alltrack TSI SEL,New,0,37700,Black,Black,Automatic,AWD,Momentum Volkswagen of Upper Kirby,113,4.6,14.0,33893,cars.com/vehicledetail/detail/779766375/overview/
2019 ,Volkswagen,Atlas 3.6L SEL,New,0,44030,Gray,Black,Automatic,FWD,Momentum Volkswagen of Upper Kirby,113,4.6,14.0,37692,cars.com/vehicledetail/detail/785879307/overview/
2017 ,Volkswagen,Golf Alltrack TSI SEL,Volkswagen Certified,18959,0,White,Black,Automatic,AWD,Momentum Volkswagen of Upper Kirby,113,4.6,14.0,21582,cars.com/vehicledetail/detail/795667767/overview/
2019 ,Volkswagen,Jetta 1.4T R-Line,New,0,0,White,Black,Automatic,FWD,DeMontrond Houston,85,3.8,23.0,20131,cars.com/vehicledetail/detail/790324180/overview/
2019 ,Volkswagen,Atlas 3.6L V6 SE w/Technology,Used,21354,0,White,Black,Automatic,FWD,AutoNation Chevrolet Gulf Freeway,297,4.7,27.0,27498,cars.com/vehicledetail/detail/794108932/overview/
2015 ,Volkswagen,Golf TDI 4-Door,Used,71469,0,Red,Other,Automatic,FWD,Auto Boutique Texas,21,3.9,33.0,9995,cars.com/vehicledetail/detail/788082565/overview/
2014 ,Volkswagen,Eos Komfort Edition,Used,96099,0,White,Other,Automatic,FWD,Mac Haik Toyota,847,4.8,35.0,9794,cars.com/vehicledetail/detail/793810962/overview/
2011 ,Volkswagen,CC Sport,Used,20644,0,Black,Black,Manual,FWD,Glenn (Private Seller),0,0.0,35.0,5000,cars.com/vehicledetail/detail/783670900/overview/
2019 ,Volkswagen,Jetta 1.4T R-Line,New,0,24700,Silver,Black,Automatic,FWD,Charles Maund Volkswagen,249,4.9,132.0,19916,cars.com/vehicledetail/detail/786795935/overview/
2019 ,Volkswagen,Arteon 2.0T SEL R-Line,New,0,43225,White,Other,Automatic,FWD,Charles Maund Volkswagen,249,4.9,132.0,38483,cars.com/vehicledetail/detail/777787940/overview/
2019 ,Volkswagen,Jetta 1.4T S,New,0,21125,Blue,Gray,Automatic,FWD,Charles Maund Volkswagen,249,4.9,132.0,17262,cars.com/vehicledetail/detail/787999099/overview/
2019 ,Volkswagen,Jetta GLI 2.0T Autobahn,New,0,31425,Black,Black,Automatic,FWD,Volkswagen of Lake Charles,439,4.8,151.0,31425,cars.com/vehicledetail/detail/779735557/overview/
2019 ,Volkswagen,Arteon 2.0T SEL Premium R-Line,New,0,47675,White,Other,Automatic,AWD,Volkswagen of Lake Charles,439,4.8,151.0,47675,cars.com/vehicledetail/detail/773971323/overview/
2014 ,Volkswagen,Jetta SportWagen TDI,Used,47805,0,Red,Black,Automatic,FWD,Greg May Honda,484,4.7,154.0,11980,cars.com/vehicledetail/detail/792782249/overview/
2019 ,Volkswagen,Atlas 3.6L SE w/Technology,Used,4309,0,White,Beige,Automatic,FWD,Automax,318,4.0,155.0,33780,cars.com/vehicledetail/detail/791239663/overview/
2019 ,Volkswagen,Jetta 1.4T SE,New,0,23850,Silver,Black,Automatic,FWD,Automax,318,4.0,155.0,19849,cars.com/vehicledetail/detail/787086287/overview/
2019 ,Volkswagen,Jetta 1.4T S,New,0,21635,Orange,Gray,Automatic,FWD,Automax,318,4.0,155.0,17727,cars.com/vehicledetail/detail/790481448/overview/
2019 ,Volkswagen,Jetta 1.4T S,New,0,21340,Gray,Black,Automatic,FWD,Automax,318,4.0,155.0,17444,cars.com/vehicledetail/detail/792128131/overview/
2019 ,Volkswagen,Jetta 1.4T S,New,0,21340,White,Black,Automatic,FWD,Automax,318,4.0,155.0,17444,cars.com/vehicledetail/detail/791351313/overview/
2019 ,Volkswagen,Jetta 1.4T S,New,0,21635,Orange,Black,Automatic,FWD,Volkswagen of Alamo Heights,109,4.1,168.0,17727,cars.com/vehicledetail/detail/783441752/overview/
2019 ,Volkswagen,Passat 2.0T Wolfsburg,New,0,27800,White,Other,Automatic,FWD,Ancira Volkswagen,575,3.5,177.0,19988,cars.com/vehicledetail/detail/778763661/overview/
2019 ,Volkswagen,3.6L SE,New,0,39410,White,Beige,Automatic,AWD,Ancira Volkswagen,575,3.5,177.0,32936,cars.com/vehicledetail/detail/777108935/overview/
2019 ,Volkswagen,Jetta 1.4T S,New,0,21420,Orange,Gray,Automatic,FWD,Ancira Volkswagen,575,3.5,177.0,17512,cars.com/vehicledetail/detail/784394776/overview/
2019 ,Volkswagen,Jetta 1.4T S,New,0,20325,White,Black,Manual,FWD,Ancira Volkswagen,575,3.5,177.0,16462,cars.com/vehicledetail/detail/784394792/overview/
2019 ,Volkswagen,Jetta 1.4T S,New,0,21010,White,Black,Manual,FWD,Ancira Volkswagen,575,3.5,177.0,17034,cars.com/vehicledetail/detail/783345159/overview/
2019 ,Volkswagen,Atlas 3.6L SE w/Technology,New,0,40300,Red,Black,Automatic,FWD,Ancira Volkswagen,575,3.5,177.0,31188,cars.com/vehicledetail/detail/788677094/overview/
2020 ,Volkswagen,2.0T R-Line,New,0,29885,White,Black,Automatic,FWD,Ancira Volkswagen,575,3.5,177.0,28141,cars.com/vehicledetail/detail/795875418/overview/
2019 ,Volkswagen,Jetta 1.4T S,New,0,21420,Orange,Black,Automatic,FWD,Ancira Volkswagen,575,3.5,177.0,17512,cars.com/vehicledetail/detail/787660283/overview/
2018 ,Volkswagen,3.6L SE,Used,44428,0,Silver,Black,Automatic,FWD,Meador Pre-Owned Supercenter,4,5.0,226.0,23829,cars.com/vehicledetail/detail/788404670/overview/
2019 ,Volkswagen,Jetta 1.4T S,New,0,21160,Black,Black,Automatic,FWD,Rusty Wallis Volkswagen,535,4.5,226.0,17504,cars.com/vehicledetail/detail/772317717/overview/
2019 ,Volkswagen,Jetta 1.4T S,New,0,21375,Silver,Black,Automatic,FWD,Rusty Wallis Volkswagen,535,4.5,226.0,17469,cars.com/vehicledetail/detail/776404476/overview/
2011 ,Volkswagen,Routan SEL Premium,Used,92196,0,White,Gray,Automatic,FWD,NESCO,37,3.9,227.0,7995,cars.com/vehicledetail/detail/794460877/overview/
2019 ,Volkswagen,Tiguan 2.0T SEL R-Line Black,Used,5181,0,Black,Black,Automatic,FWD,Dallas Chrysler Dodge Jeep RAM,558,4.3,227.0,28280,cars.com/vehicledetail/detail/792854017/overview/
2019 ,Volkswagen,Golf SportWagen 1.4T SE,New,0,31535,Gray,Black,Automatic,FWD,Principle Volkswagen,0,0.0,230.0,25788,cars.com/vehicledetail/detail/788962183/overview/
2016 ,Volkswagen,Golf TSI S 4-Door,Used,27878,0,White,Black,Automatic,FWD,Vehicle Warehouse,2,5.0,230.0,12990,cars.com/vehicledetail/detail/792850894/overview/
2015 ,Volkswagen,Jetta Auto S w/Technology,Used,33985,0,Gray,Black,Automatic,FWD,Metro Automobiles,16,3.4,231.0,7999,cars.com/vehicledetail/detail/788620312/overview/
2011 ,Volkswagen,Touareg COMFORTLINE,Used,107853,0,Silver,Black,Automatic,AWD,Top Line Auto,65,4.6,231.0,9992,cars.com/vehicledetail/detail/787660102/overview/
2009 ,Volkswagen,Routan SEL,Used,133290,0,White,Beige,Automatic,FWD,Fidelity Ventures,94,3.7,232.0,5990,cars.com/vehicledetail/detail/733846963/overview/
2006 ,Volkswagen,GTI 2.0T,Used,99615,0,Silver,Blue,Automatic,FWD,1and 2 Automotive,283,3.7,232.0,5788,cars.com/vehicledetail/detail/791957865/overview/
2018 ,Volkswagen,Atlas 2.0T S,Used,14451,0,Black,Black,Automatic,FWD,Central Autohaus,53,4.5,233.0,21988,cars.com/vehicledetail/detail/793857204/overview/
2013 ,Volkswagen,Passat 2.0 TDI SE,Used,64060,0,Silver,Black,Automatic,FWD,"OttoSource, Corp.",148,3.9,233.0,8999,cars.com/vehicledetail/detail/791465186/overview/
2019 ,Volkswagen,Jetta 1.4T S,Used,14316,0,White,Black,Automatic,FWD,Central Autohaus,53,4.5,233.0,14988,cars.com/vehicledetail/detail/784298410/overview/
2015 ,Volkswagen,CC DSG R-Line,Used,55574,0,Black,Beige,Automatic,FWD,Central Autohaus,53,4.5,233.0,13988,cars.com/vehicledetail/detail/789327987/overview/
2013 ,Volkswagen,Passat 2.0 TDI SEL Premium,Used,35999,0,Black,Black,Automatic,FWD,"OttoSource, Corp.",148,3.9,233.0,10959,cars.com/vehicledetail/detail/794689189/overview/
2015 ,Volkswagen,Golf R 4-Door,Used,29956,0,White,Black,Automatic,AWD,Destination Motorcars,19,5.0,234.0,26495,cars.com/vehicledetail/detail/793550903/overview/
2014 ,Volkswagen,CC 2.0T R-Line,Used,53091,0,Black,Other,Automatic,FWD,Sundance Auto Sales L.L.C.,22,2.1,235.0,8999,cars.com/vehicledetail/detail/765367607/overview/
2013 ,Volkswagen,Golf 2.5L,Used,66787,0,Black,Black,Automatic,FWD,Manuel Used Car Superstore,15,4.0,235.0,9988,cars.com/vehicledetail/detail/790123501/overview/
2017 ,Volkswagen,Jetta 1.4T S,Used,41300,0,Gray,Other,Automatic,FWD,Texas Car One,90,4.9,235.0,12996,cars.com/vehicledetail/detail/793043076/overview/
2012 ,Volkswagen,GTI W/SUNROOF&NAVI,Used,112745,0,White,Other,Manual,FWD,Sundance Auto Sales L.L.C.,22,2.1,235.0,6788,cars.com/vehicledetail/detail/779041893/overview/
2014 ,Volkswagen,Passat 1.8T SE,Used,55797,0,Black,Black,Automatic,FWD,Greenville Hyundai,206,4.1,236.0,11793,cars.com/vehicledetail/detail/795698030/overview/
2017 ,Volkswagen,Golf GTI Sport 4-Door,Used,30758,0,Gray,Black,Manual,FWD,Alfa Romeo of Fort Worth,100,4.3,237.0,19495,cars.com/vehicledetail/detail/792580867/overview/
2013 ,Volkswagen,Passat 2.0 TDI SEL Premium,Used,69936,0,Silver,Beige,Automatic,FWD,German Motor Care and Sales,0,0.0,237.0,8950,cars.com/vehicledetail/detail/793040013/overview/
2018 ,Volkswagen,3.6L SE,Used,14113,0,Silver,Black,Automatic,FWD,McDavid Ford,920,2.8,237.0,23591,cars.com/vehicledetail/detail/794526033/overview/
2014 ,Volkswagen,Jetta Hybrid DSG SEL,Used,58583,0,Black,Black,Automatic,FWD,Auto Merchants Inc.,105,3.5,238.0,12800,cars.com/vehicledetail/detail/789117120/overview/
2017 ,Volkswagen,Golf Alltrack TSI SE,Used,27107,0,White,Brown,Automatic,AWD,Auto Merchants Inc.,105,3.5,238.0,17900,cars.com/vehicledetail/detail/772591701/overview/
2015 ,Volkswagen,Touareg Executive,Used,46307,0,Black,Beige,Automatic,AWD,Auto Merchants Inc.,105,3.5,238.0,23900,cars.com/vehicledetail/detail/778130678/overview/
2018 ,Volkswagen,Tiguan 2.0T SEL,Used,20613,0,Green,Black,Automatic,FWD,Auto Merchants Inc.,105,3.5,238.0,19900,cars.com/vehicledetail/detail/793818366/overview/
2016 ,Volkswagen,Golf SportWagen TSI Limited Edition,Used,34628,0,Black,Black,Automatic,FWD,Auto Merchants Inc.,105,3.5,238.0,14900,cars.com/vehicledetail/detail/774998800/overview/
2012 ,Volkswagen,Golf 2.5L,Used,48943,0,Gray,Black,Automatic,FWD,Auto Merchants Inc.,105,3.5,238.0,7900,cars.com/vehicledetail/detail/769050493/overview/
2015 ,Volkswagen,Golf Auto TSI SE,Used,41915,0,White,Gray,Automatic,FWD,Auto Merchants Inc.,105,3.5,238.0,13800,cars.com/vehicledetail/detail/789900403/overview/
2019 ,Volkswagen,Atlas 2.0T S,Used,7700,0,Silver,Black,Automatic,FWD,Autos of Dallas,1117,4.1,238.0,26590,cars.com/vehicledetail/detail/792950152/overview/
2016 ,Volkswagen,Golf TSI SEL 4-Door,Used,28073,0,Gray,Other,Automatic,FWD,Auto Merchants Inc.,105,3.5,238.0,13900,cars.com/vehicledetail/detail/791976794/overview/
2019 ,Volkswagen,Tiguan 2.0T SEL,Used,2134,0,Gray,Black,Automatic,AWD,Auto Merchants Inc.,105,3.5,238.0,26900,cars.com/vehicledetail/detail/794470564/overview/
2018 ,Volkswagen,Atlas 3.6L SEL,Used,15548,0,Gray,Black,Automatic,FWD,Auto Merchants Inc.,105,3.5,238.0,28900,cars.com/vehicledetail/detail/790825048/overview/
2016 ,Volkswagen,Golf TSI S 4-Door,Used,38362,0,Black,Gray,Automatic,FWD,Auto Merchants Inc.,105,3.5,238.0,12990,cars.com/vehicledetail/detail/778130384/overview/
2016 ,Volkswagen,Passat 1.8T SEL Premium,Used,31312,0,Black,Black,Automatic,FWD,Auto Merchants Inc.,105,3.5,238.0,15900,cars.com/vehicledetail/detail/784205561/overview/
2008 ,Volkswagen,R32,Used,74423,0,Gray,Black,Automatic,AWD,Metroplex Auto Group,4,5.0,243.0,13995,cars.com/vehicledetail/detail/788904141/overview/
