Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
2019 ,Volvo,XC60 Hybrid T8 R-Design,New,0,65475,Black,Gray,Automatic,AWD,Volvo Cars West Houston,64,5.0,6.0,65475,cars.com/vehicledetail/detail/774264771/overview/
2020 ,Volvo,V90 Cross Country T6,New,0,65950,White,Beige,Automatic,AWD,Momentum Jaguar Volvo Cars Land Rover,197,4.2,6.0,63152,cars.com/vehicledetail/detail/784675634/overview/
2020 ,Volvo,V60 Cross Country T5,New,0,50800,White,Orange,Automatic,AWD,Momentum Jaguar Volvo Cars Land Rover,197,4.2,6.0,48763,cars.com/vehicledetail/detail/778209107/overview/
2020 ,Volvo,S60 T5 Momentum,New,0,41690,White,Gray,Automatic,FWD,Momentum Jaguar Volvo Cars Land Rover,197,4.2,6.0,38231,cars.com/vehicledetail/detail/788044406/overview/
2020 ,Volvo,XC90 T6 Momentum 7 Passenger,New,0,59490,White,Gray,Automatic,AWD,Momentum Jaguar Volvo Cars Land Rover,197,4.2,6.0,59490,cars.com/vehicledetail/detail/796107894/overview/
2018 ,Volvo,V60 Cross Country T5,New,0,47385,Silver,Black,Automatic,AWD,Momentum Jaguar Volvo Cars Land Rover,197,4.2,6.0,39992,cars.com/vehicledetail/detail/784894180/overview/
2020 ,Volvo,V60 Cross Country T5,New,0,48100,Blue,Beige,Automatic,AWD,Volvo Cars West Houston,64,5.0,6.0,48100,cars.com/vehicledetail/detail/787615218/overview/
2016 ,Volvo,XC60 T6 Drive-E,Volvo Certified,35967,0,Gray,Black,Automatic,AWD,Momentum Jaguar Volvo Cars Land Rover,197,4.2,6.0,25893,cars.com/vehicledetail/detail/793721438/overview/
2020 ,Volvo,XC90 T6 Inscription,New,0,69205,Black,Gray,Automatic,AWD,Volvo Cars West Houston,64,5.0,6.0,69205,cars.com/vehicledetail/detail/795446617/overview/
2020 ,Volvo,XC40 Momentum,New,0,36595,White,Beige,Automatic,FWD,Volvo Cars West Houston,64,5.0,6.0,36595,cars.com/vehicledetail/detail/787443577/overview/
